"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"ES-W1B-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1B-01 BULK","Bulk","0.0011","kg"
"ES-W1B-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1B-02 BULK","Bulk","0.0011","kg"
"ES-W1B-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1B-03 BULK","Bulk","0.0011","kg"
"ES-W1C-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1C-01 BULK","Bulk","0.0011","kg"
"ES-W1C-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1C-02 BULK","Bulk","0.0011","kg"
"ES-W1C-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1C-03 BULK","Bulk","0.0011","kg"
"ES-W1C3RNFS1,3W-W","3","ES-W1C-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1D-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1D-02 BULK","Bulk","0.0011","kg"
"ES-W1E-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1E-02 BULK","Bulk","0.0011","kg"
"ES-W1E-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1E-03 BULK","Bulk","0.0011","kg"
"ES-W1E01RNFS1,3-W","2","ES-W1E-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1E02RNFS1,3-W","2","ES-W1E-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1E3RNFS1,3W-W","2","ES-W1E-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1F-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1F-01 BULK","Bulk","0.0011","kg"
"ES-W1F-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1F-02 BULK","Bulk","0.0011","kg"
"ES-W1F-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1F-03 BULK","Bulk","0.0011","kg"
"ES-W1F01RNFS1,3-W","2","ES-W1F-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1F02RNFS1,3-W","2","ES-W1F-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1F3RNFS1,3W-W","2","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"","","ES-W1F-03 BULK","Bulk","0.00133","kg"
"ES-W1G-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1G-01 BULK","Bulk","0.0011","kg"
"ES-W1C01RNFS1,3-W","3","ES-W1C-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1C02RNFS1,3-W","3","ES-W1C-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1D-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1D-01 BULK","Bulk","0.0011","kg"
"ES-W1G-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1G-02 BULK","Bulk","0.0011","kg"
"ES-W1G-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1G-03 BULK","Bulk","0.0011","kg"
"ES-W1G01RNFS1,3-W","3","ES-W1G-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1G02RNFS1,3-W","3","ES-W1G-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1G3RNFS1,3W-W","3","ES-W1G-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1K01RNFS1,3-W","2","ES-W0K-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1K02RNFS1,3-W","2","ES-W0K-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1K3RNFS1,3-W","2","ES-W0K-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1L01RNFS1,3-W","3","ES-W0L-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1L02RNFS1,3-W","3","ES-W0L-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1L3RNFS1,3-W","3","ES-W0L-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"BO-02IPRNFSN3,5-MO","4","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SIP02-BULK","Bulk","0.004","kg"
"BO-03PP1RNFS3,5-MO","4","BO-SPS03-BULK","Bulk","0.004","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
