"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"MY-CUSCLCF-W","2","CUS-CLPGCF-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PALLCR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Packaging Material","0.02083","Pc(s)"
"ES-W0I-W3,3GR","5","ES-W0I-01-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","ES-W0I-02-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","ES-W0I-03-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-ESEW-SAN","Packaging Material","1.0","Pc(s)"
"","","KUAS-ESSNBRWP2K-BT","Packaging Material","1.0","Pc(s)"
"","","PLAS-DMESBOR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTESIR0-WPSM","Packaging Material","1.0","Pc(s)"
"","","PS-PVCEESBOR1-WPVC","Packaging Material","1.0","Pc(s)"
"","","KB-W6040R2-W","Packaging Material","0.00833","Pc(s)"
"MY-RMPBNS-W","4","KB-WLS20R2-KMK125CF","Packaging Material","0.02778","Pc(s)"
"","","M-RPBNS-W20ML","Finished Goods","1.0","Pc(s)"
"","","STIC-PALR1-EM","Packaging Material","1.0","Pc(s)"
"S-USSEC-W","2","STIC-WHTS170-W","Packaging Material","1.0","Pc(s)"
"","","CAP-BHFTS1702R0-WPP","Packaging Material","1.0","Pc(s)"
"","","KB-W200R1-W","Packaging Material","0.04166","Pc(s)"
"","","BOTO-HFTS1702R3-W","Packaging Material","1.0","Pc(s)"
"","","S-USS-BULK","Semi Finished Goods","0.17","kg"
"LT-MPSG-EM5.5ML","6","LT-MPSG-BULK","Semi Finished Goods","0.0055","kg"
"","","CAPA-MPR0-EM","Packaging Material","1.0","Pc(s)"
"","","BOTO-MPR1-EM","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTMPSGR1-E","Packaging Material","1.0","Pc(s)"
"","","DUS-MP02SGR3-E","Packaging Material","1.0","Pc(s)"
"","","IBOX-12EE-ED31","Packaging Material","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","Packaging Material","0.00758","Pc(s)"
"L-EMC11DP-W","2 (INLINE)","L-EMC11-BULK","Semi Finished Goods","0.004","kg"
"","","BOTP-EMLCR0-W","Intermediate","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTEMLC11R2-W","Packaging Material","1.0","Pc(s)"
"","","DUS-EMLC11R1-W","Packaging Material","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","Packaging Material","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","Packaging Material","0.00694","Pc(s)"
"A-BPCB-W20G","5","A-BPCB-BULK","Semi Finished Goods","0.02","kg"
"","","CAP-CABPCB-WASABS","Packaging Material","1.0","Pc(s)"
"","","CONT-ABPCB-WASABS","Packaging Material","1.0","Pc(s)"
