"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-01-08 14:38:34","2021-05-03 05:43:25","STIC-BCLPF13RR0-W","STIC-BCLPF13RR0-W","Sticker Bottom Crystallure PLS Powder Foundation 13 Refill Wardah.PETSilverMatte.2W.45x35mm.Gold.VarMatte","Sticker Bottom Crystallure PLS Powder Foundation 13 Refill W","Packaging Material","Pc(s)","0.0","Crystallure","","STICKER","Irregular","Pc(s)"
"2022-01-08 14:38:36","2021-05-03 05:44:18","STIC-BCLPF14RR0-W","STIC-BCLPF14RR0-W","Sticker Bottom Crystallure PLS Powder Foundation 14 Refill Wardah.PETSilverMatte.2W.45x35mm.Gold.VarMatte","Sticker Bottom Crystallure PLS Powder Foundation 14 Refill W","Packaging Material","Pc(s)","0.0","Crystallure","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:35:56","2022-06-30 08:41:23","STIC-BEIML01R0-IP","STIC-BEIML01R0-IP","Sticker Bottom EIM Liquid 01 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 01 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:37:00","2022-06-30 08:42:23","STIC-BEIML02R0-IP","STIC-BEIML02R0-IP","Sticker Bottom EIM Liquid 02 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 02 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:38:19","2022-06-30 08:43:56","STIC-BEIML03R0-IP","STIC-BEIML03R0-IP","Sticker Bottom EIM Liquid 03 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 03 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:39:21","2022-06-30 08:44:54","STIC-BEIML04R0-IP","STIC-BEIML04R0-IP","Sticker Bottom EIM Liquid 04 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 04 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:40:46","2022-06-30 08:45:46","STIC-BEIML05R0-IP","STIC-BEIML05R0-IP","Sticker Bottom EIM Liquid 05 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 05 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:42:36","2022-06-30 08:47:15","STIC-BEIML06R0-IP","STIC-BEIML06R0-IP","Sticker Bottom EIM Liquid 06 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 06 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:43:46","2022-06-30 08:48:10","STIC-BEIML07R0-IP","STIC-BEIML07R0-IP","Sticker Bottom EIM Liquid 07 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 07 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-07-01 04:45:01","2022-06-30 08:49:11","STIC-BEIML08R0-IP","STIC-BEIML08R0-IP","Sticker Bottom EIM Liquid 08 Instaperfect,PP White,1W,d=12mm,NoFinishing,RollForm3","Sticker Bottom EIM Liquid 08 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
