"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-07-13 01:07:42","2022-07-02 07:45:57","BO-RBCS-BULK","MAKE OVER BO Single 06 Caribbean Sunset Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:08:12","2022-07-04 07:05:15","BO-RBSS-BULK","MAKE OVER BO Single 07 Scarlet Sheen Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:08:37","2022-07-04 07:07:40","BO-RBCC-BULK","MAKE OVER BO Single 08 Cruise Coral Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:09:02","2022-07-04 07:09:45","BO-RBST-BULK","MAKE OVER BO Single 09 Summer Twist Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:09:27","2022-07-04 07:11:32","BO-RBPPI-BULK","MAKE OVER BO Single 10 Passion Pink Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-18 01:40:10","2022-07-15 04:57:36","B-EXLP-BULK","MAKE OVER Expert Loose Powder","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:40:26","2022-07-15 03:25:25","ES-RTNN-01-BULK","MAKE OVER Eyeshadow Relaunch 03 Natural Nude 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:40:55","2022-07-15 03:26:02","ES-RTNN-02-BULK","MAKE OVER Eyeshadow Relaunch 03 Natural Nude 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:46:01","2022-07-15 03:27:02","ES-RTNN-03-BULK","MAKE OVER Eyeshadow Relaunch 03 Natural Nude 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-13 01:09:52","2022-07-05 02:09:18","TC-RVPC01-BULK","MAKE OVER Perfect Cover TWC 01 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:10:17","2022-07-05 02:12:02","TC-RVPC02-BULK","MAKE OVER Perfect Cover TWC 02 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:10:41","2022-07-05 02:18:03","TC-RVPC03-BULK","MAKE OVER Perfect Cover TWC 03 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:11:02","2022-07-05 02:19:42","TC-RVPC04-BULK","MAKE OVER Perfect Cover TWC 04 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:11:28","2022-07-05 02:21:36","TC-RVPC05-BULK","MAKE OVER Perfect Cover TWC 05 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:11:52","2022-07-05 02:23:10","TC-RVPC06-BULK","MAKE OVER Perfect Cover TWC 06 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:12:11","2022-07-05 02:33:40","TC-RVPC07-BULK","MAKE OVER Perfect Cover TWC 07 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:12:37","2022-07-05 02:40:13","TC-RVPC08-BULK","MAKE OVER Perfect Cover TWC 08 Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-16 02:11:29","2021-11-10 03:51:58","F-RVLPWC21-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation C21 Pink Ivory","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:15:47","2021-11-10 04:00:07","F-RVLPWFC31-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation C31 Pink Beige","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:22:25","2021-11-10 04:03:08","F-RVLPWC41-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation C41 Cool Sand","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:25:09","2021-11-10 04:06:01","F-RVLPWC51-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation C51 Cool Tan","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:26:26","2021-11-10 04:08:08","F-RVLPWC62-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation C62 Rich Cocoa","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:02:46","2021-11-10 03:48:58","F-RVLPWN10-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation N10 Marble","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:10:33","2021-11-10 03:50:55","F-RVLPWN20-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation N20 Ivory","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:15:09","2021-11-10 03:59:12","F-RVLPWN30-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation N30 Natural Beige","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:00:46","2021-10-29 08:07:54","F-RVLPWN40-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation N40 Sand","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:24:20","2021-11-10 04:04:55","F-RVLPWN50-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation N50 Tan","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:01:58","2021-11-10 03:47:51","F-RVLPWW12-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W12 Warm Marble","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:03:39","2021-11-10 03:50:01","F-RVLPWW21-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W21 Coral Ivory","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 01:50:52","2021-10-29 08:04:51","F-RVLPWW22-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W22 Warm Ivory","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:14:25","2021-11-10 03:58:10","F-RVLPWW30-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W30 Creme Beige","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:13:41","2021-11-10 03:57:03","F-RVLPWW32-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W32 Warm Beige","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:12:10","2021-11-10 03:53:13","F-RVLPWW33-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W33 Honey Beige","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:17:44","2021-11-10 04:02:01","F-RVLPWW41-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W41 Coral Sand","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:17:00","2021-11-10 04:01:03","F-RVLPWW42-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W42 Warm Sand","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:23:06","2021-11-10 04:03:58","F-RVLPWW50-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W50 Creme Tan","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-16 02:25:47","2021-11-10 04:06:59","F-RVLPWW60-BULK","MAKE OVER Powerstay 24H Weightless Liquid Foundation W60 Creme Cocoa","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-18 01:46:14","2022-07-15 02:56:04","ES-RTIS-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 01 Indian Summer 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:46:28","2022-07-15 02:58:19","ES-RTIS-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 01 Indian Summer 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:47:21","2022-07-15 02:59:20","ES-RTIS-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 01 Indian Summer 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:47:43","2022-07-15 03:01:44","ES-RTEB-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:47:57","2022-07-15 03:03:52","ES-RTEB-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:48:09","2022-07-15 03:04:31","ES-RTEB-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:48:51","2022-07-15 03:28:49","ES-RTNS-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:07","2022-07-15 03:30:29","ES-RTNS-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:18","2022-07-15 03:31:13","ES-RTNS-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:39","2022-07-15 03:32:57","ES-RTGE-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 05 Golden Espress 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:50:24","2022-07-15 03:34:15","ES-RTGE-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 05 Golden Espress 02","Semi Finished Goods","Bulk","g","","0.0","",""
