Attribute number;Attribute value;Attribute description;Attribute name
10;Malaysia Wardah Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g;Malaysia Wardah Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g;Product Name
10;Malaysia Wardah Exclusive Flawless Cover Cushion 04 Natural 15 g;Malaysia Wardah Exclusive Flawless Cover Cushion 04 Natural 15 g;Product Name
10;Malaysia Wardah Exclusive Glowing Highlighter 6.5 g;Malaysia Wardah Exclusive Glowing Highlighter 6.5 g;Product Name
10;Malaysia Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml;Malaysia Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml;Product Name
10;Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml;Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml;Product Name
10;Malaysia Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml;Malaysia Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml;Product Name
10;Malaysia Wardah Exclusive Liquid Foundation 04 Natural 20 ml;Malaysia Wardah Exclusive Liquid Foundation 04 Natural 20 ml;Product Name
10;Malaysia Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml;Malaysia Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 g;Malaysia Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 g;Malaysia Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 03 See You Latte 4 g;Malaysia Wardah Exclusive Matte Lip Cream 03 See You Latte 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 04 Pink Me 4 g;Malaysia Wardah Exclusive Matte Lip Cream 04 Pink Me 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 05 Speachless 4 g;Malaysia Wardah Exclusive Matte Lip Cream 05 Speachless 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 g;Malaysia Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 07 Hello, Ruby. 4 g;Malaysia Wardah Exclusive Matte Lip Cream 07 Hello, Ruby. 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 g;Malaysia Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 09 Mauve On! 4 g;Malaysia Wardah Exclusive Matte Lip Cream 09 Mauve On! 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 g;Malaysia Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 11 Oh So Nude! 4 g;Malaysia Wardah Exclusive Matte Lip Cream 11 Oh So Nude! 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 g;Malaysia Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 g;Malaysia Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4 g;Malaysia Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4 g;Malaysia Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 16 Heartbeet 4 g;Malaysia Wardah Exclusive Matte Lip Cream 16 Heartbeet 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4 g;Malaysia Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4 g;Malaysia Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 03 Red 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 03 Red 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 04 Orange 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 04 Orange 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 05 Peach 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 05 Peach 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 09 True Red 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 09 True Red 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 17 Gorgeous Pink 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 17 Gorgeous Pink 3.5 g;Product Name
10;Malaysia Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g;Malaysia Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 21 Orchid Pink 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 21 Orchid Pink 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 23 Ruby Red 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 23 Ruby Red 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 26 Mango 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 26 Mango 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 30 Golden Coral 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 30 Golden Coral 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 36 Sugary Pink 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 36 Sugary Pink 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 41 Charming Red 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 41 Charming Red 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 43 Magnificent Red 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 43 Magnificent Red 3.5 g;Product Name
10;Malaysia Wardah Exclusive Moist Lipstick 46 Chic Magenta 3.5 g;Malaysia Wardah Exclusive Moist Lipstick 46 Chic Magenta 3.5 g;Product Name
10;Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g;Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g;Product Name
10;Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g;Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g;Product Name
10;Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g;Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g;Product Name
10;Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g;Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g;Product Name
10;Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g;Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g;Product Name
10;Malaysia Wardah Eye Shadow A 3.3 g;Malaysia Wardah Eye Shadow A 3.3 g;Product Name
10;Malaysia Wardah Eye Shadow G 3.3 g;Malaysia Wardah Eye Shadow G 3.3 g;Product Name
10;Malaysia Wardah Eye Shadow I 3.3 g;Malaysia Wardah Eye Shadow I 3.3 g;Product Name
10;Malaysia Wardah EyeXpert Aqua Lash Mascara 6 g;Malaysia Wardah EyeXpert Aqua Lash Mascara 6 g;Product Name
10;Malaysia Wardah EyeXpert Eye & Lip Makeup Remover 100 ml;Malaysia Wardah EyeXpert Eye & Lip Makeup Remover 100 ml;Product Name
10;Malaysia Wardah EyeXpert Eyebrow Kit 3 g;Malaysia Wardah EyeXpert Eyebrow Kit 3 g;Product Name
10;Malaysia Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister);Malaysia Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister);Product Name
10;Malaysia Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister);Malaysia Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister);Product Name
10;Malaysia Wardah EyeXpert Eyeshadow Classic 3.3 gr;Malaysia Wardah EyeXpert Eyeshadow Classic 3.3 gr;Product Name
10;Malaysia Wardah EyeXpert Eyeshadow Passionate 3.3 gr;Malaysia Wardah EyeXpert Eyeshadow Passionate 3.3 gr;Product Name
10;Malaysia Wardah EyeXpert Matic Brow Definer 02 DARK BROWN 0.25 g;Malaysia Wardah EyeXpert Matic Brow Definer 02 DARK BROWN 0.25 g;Product Name
10;Malaysia Wardah EyeXpert Matic Brow Definer 03 DARK GREY 0.25 g;Malaysia Wardah EyeXpert Matic Brow Definer 03 DARK GREY 0.25 g;Product Name
10;Malaysia Wardah EyeXpert Optimum Hi-Black Liner 1 g;Malaysia Wardah EyeXpert Optimum Hi-Black Liner 1 g;Product Name
10;Malaysia Wardah EyeXpert Perfectcurl Mascara 7 g;Malaysia Wardah EyeXpert Perfectcurl Mascara 7 g;Product Name
10;Malaysia Wardah EyeXpert Staylast Liquid Eyeliner 3.5 g;Malaysia Wardah EyeXpert Staylast Liquid Eyeliner 3.5 g;Product Name
10;Malaysia Wardah EyeXpert The Volume Expert Mascara 7 g;Malaysia Wardah EyeXpert The Volume Expert Mascara 7 g;Product Name
10;Malaysia Wardah Eyeliner Pencil Black 1.14 g;Malaysia Wardah Eyeliner Pencil Black 1.14 g;Product Name
10;Malaysia Wardah Eyexpert Lash and Brow Serum 10 ml;Malaysia Wardah Eyexpert Lash and Brow Serum 10 ml;Product Name
10;Malaysia Wardah Eyexpert Matic Brow Definer 01 LIGHT BROWN 0.25 g;Malaysia Wardah Eyexpert Matic Brow Definer 01 LIGHT BROWN 0.25 g;Product Name
10;Malaysia Wardah GWP Everyday Fruity Sheer Lip Balm Holder Grape;Malaysia Wardah GWP Everyday Fruity Sheer Lip Balm Holder Grape;Product Name
10;Malaysia Wardah GWP Everyday Fruity Sheer Lip Balm Holder Strawberry;Malaysia Wardah GWP Everyday Fruity Sheer Lip Balm Holder Strawberry;Product Name
10;Malaysia Wardah GWP Everyday Moisture Lip Nutrition Holder Green Tea;Malaysia Wardah GWP Everyday Moisture Lip Nutrition Holder Green Tea;Product Name
10;Malaysia Wardah GWP Everyday Moisture Lip Nutrition Holder Honey;Malaysia Wardah GWP Everyday Moisture Lip Nutrition Holder Honey;Product Name
10;Malaysia Wardah Hydra Rose Dewy Aqua Day Gel 40 g;Malaysia Wardah Hydra Rose Dewy Aqua Day Gel 40 g;Product Name
10;Malaysia Wardah Hydra Rose Dewy Skin Starter Kit (Facial Wash 20 ml, Toner 30 ml, Day Gel 8 ml);Malaysia Wardah Hydra Rose Dewy Skin Starter Kit (Facial Wash 20 ml, Toner 30 ml, Day Gel 8 ml);Product Name
10;Malaysia Wardah Hydra Rose Gel to Foam Cleanser 100 ml;Malaysia Wardah Hydra Rose Gel to Foam Cleanser 100 ml;Product Name
10;Malaysia Wardah Hydra Rose Micro Gel Serum 30 ml;Malaysia Wardah Hydra Rose Micro Gel Serum 30 ml;Product Name
10;Malaysia Wardah Hydra Rose Moisture Rich Night Gel 40 g;Malaysia Wardah Hydra Rose Moisture Rich Night Gel 40 g;Product Name
10;Malaysia Wardah Hydra Rose Petal Infused Toner 100 ml;Malaysia Wardah Hydra Rose Petal Infused Toner 100 ml;Product Name
10;Malaysia Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g;Malaysia Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g;Product Name
10;Malaysia Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 02. DEEP GREY 5.5 g;Malaysia Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 02. DEEP GREY 5.5 g;Product Name
10;Malaysia Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 01 True Brown 0.6 g;Malaysia Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 01 True Brown 0.6 g;Product Name
10;Malaysia Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 02 Ash Brown 0.6 g;Malaysia Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 02 Ash Brown 0.6 g;Product Name
10;Malaysia Wardah Instaperfect Concealer 01 5 ml;Malaysia Wardah Instaperfect Concealer 01 5 ml;Product Name
10;Malaysia Wardah Instaperfect Concealer 02 5 ml;Malaysia Wardah Instaperfect Concealer 02 5 ml;Product Name
10;Malaysia Wardah Instaperfect Concealer 03 5 ml;Malaysia Wardah Instaperfect Concealer 03 5 ml;Product Name
10;Malaysia Wardah Instaperfect Concealer 04 5 ml;Malaysia Wardah Instaperfect Concealer 04 5 ml;Product Name
10;Malaysia Wardah Instaperfect Concealer 05 5 ml;Malaysia Wardah Instaperfect Concealer 05 5 ml;Product Name
10;Malaysia Wardah Instaperfect Concealer 06 5 ml;Malaysia Wardah Instaperfect Concealer 06 5 ml;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 02 TIMELESS 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 02 TIMELESS 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 03 SURREAL 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 03 SURREAL 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 04 GRANDE 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 04 GRANDE 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 06 AUTHENTIC 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 06 AUTHENTIC 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 07 EFFORTLESS 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 07 EFFORTLESS 4.2 g;Product Name
10;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g;Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g;Product Name
10;Malaysia Wardah Instaperfect HYPERGETIC Precise Black Liner 1 g;Malaysia Wardah Instaperfect HYPERGETIC Precise Black Liner 1 g;Product Name
10;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 11 FAIR 13 g;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 11 FAIR 13 g;Product Name
10;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 12 IVORY 13 g;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 12 IVORY 13 g;Product Name
10;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 13 BEIGE 13 g;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 13 BEIGE 13 g;Product Name
10;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 14 CRÉME13 g;Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 14 CRÉME13 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 01. GLEE 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 01. GLEE 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 02. DEAR 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 02. DEAR 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 05. HYPE 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 05. HYPE 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 06. FLAIR 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 06. FLAIR 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 07. DAZZLE 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 07. DAZZLE 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 08. EDGE 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 08. EDGE 5.5 g;Product Name
10;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 09. ICON 5.5 g;Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 09. ICON 5.5 g;Product Name
10;Malaysia Wardah Instaperfect POREFECTION Skin Primer 20 ml;Malaysia Wardah Instaperfect POREFECTION Skin Primer 20 ml;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 11 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 11 10 g;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 12 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 12 10 g;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 13 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 13 10 g;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 14 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 14 10 g;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 15 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 15 10 g;Product Name
10;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 16 10 g;Malaysia Wardah Instaperfect QUICKMATTE Setting Powder 16 10 g;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 11 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 11 30 ml;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 12 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 12 30 ml;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 13 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 13 30 ml;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 14 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 14 30 ml;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 15 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 15 30 ml;Product Name
10;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 16 30 ml;Malaysia Wardah Instaperfect SKINFOCUS Cover Foundation 16 30 ml;Product Name
10;Malaysia Wardah Lightening BB Cream Light 15 ml;Malaysia Wardah Lightening BB Cream Light 15 ml;Product Name
10;Malaysia Wardah Lightening BB Cream Light 30 ml;Malaysia Wardah Lightening BB Cream Light 30 ml;Product Name
10;Malaysia Wardah Lightening BB Cream Natural 15 ml;Malaysia Wardah Lightening BB Cream Natural 15 ml;Product Name
10;Malaysia Wardah Lightening BB Cream Natural 30 ml;Malaysia Wardah Lightening BB Cream Natural 30 ml;Product Name
10;Malaysia Wardah Lightening Blue Clay Mask 50 g;Malaysia Wardah Lightening Blue Clay Mask 50 g;Product Name
10;Malaysia Wardah Lightening Day Cream Advanced Niacinamide 30 g;Malaysia Wardah Lightening Day Cream Advanced Niacinamide 30 g;Product Name
10;Malaysia Wardah Lightening Day Gel 30 g;Malaysia Wardah Lightening Day Gel 30 g;Product Name
10;Malaysia Wardah Lightening Essence Sheet Mask 20 ml;Malaysia Wardah Lightening Essence Sheet Mask 20 ml;Product Name
10;Malaysia Wardah Lightening Face Mist 60 ml;Malaysia Wardah Lightening Face Mist 60 ml;Product Name
10;Malaysia Wardah Lightening Face Toner 125 ml;Malaysia Wardah Lightening Face Toner 125 ml;Product Name
10;Malaysia Wardah Lightening Gentle Exfoliator 50 ml;Malaysia Wardah Lightening Gentle Exfoliator 50 ml;Product Name
10;Malaysia Wardah Lightening Hampers Ramadan Untuk Mencerahkan;Malaysia Wardah Lightening Hampers Ramadan Untuk Mencerahkan;Product Name
10;Malaysia Wardah Lightening Liquid Concealer 01 Light 7 g (Blister);Malaysia Wardah Lightening Liquid Concealer 01 Light 7 g (Blister);Product Name
10;Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister);Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister);Product Name
10;Malaysia Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister);Malaysia Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister);Product Name
10;Malaysia Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister);Malaysia Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister);Product Name
10;Malaysia Wardah Lightening Liquid Foundation 03. Ivory 25 ml (Blister);Malaysia Wardah Lightening Liquid Foundation 03. Ivory 25 ml (Blister);Product Name
10;Malaysia Wardah Lightening Liquid Foundation 04. Natural 25 ml (Blister);Malaysia Wardah Lightening Liquid Foundation 04. Natural 25 ml (Blister);Product Name
10;Malaysia Wardah Lightening Micellar Gentle Wash 100 ml;Malaysia Wardah Lightening Micellar Gentle Wash 100 ml;Product Name
10;Malaysia Wardah Lightening Night Cream Advanced Niacinamide 30 g;Malaysia Wardah Lightening Night Cream Advanced Niacinamide 30 g;Product Name
10;Malaysia Wardah Lightening Oil-Infused Micellar Water 100 ml;Malaysia Wardah Lightening Oil-Infused Micellar Water 100 ml;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g;Product Name
10;Malaysia Wardah Lightening Powder Foundation Light Feel 07 Honey Beige 12 g;Malaysia Wardah Lightening Powder Foundation Light Feel 07 Honey Beige 12 g;Product Name
10;Malaysia Wardah Lightening Serum Ampoule 30 ml;Malaysia Wardah Lightening Serum Ampoule 30 ml;Product Name
10;Malaysia Wardah Lightening Whip Facial Foam 100 ml;Malaysia Wardah Lightening Whip Facial Foam 100 ml;Product Name
10;Malaysia Wardah NFS Acnederm Acne Care Serum 2 ml;Malaysia Wardah NFS Acnederm Acne Care Serum 2 ml;Product Name
10;Malaysia Wardah NFS Bundling Crystal Secret Brightening Day Cream 30 g + Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 3 ml Sachet;Malaysia Wardah NFS Bundling Crystal Secret Brightening Day Cream 30 g + Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 3 ml Sachet;Product Name
10;Malaysia Wardah NFS Bundling Hydra Rose gel-to-foam Cleanser 2 ml + Hydra Rose Micro Gel Serum 2 ml;Malaysia Wardah NFS Bundling Hydra Rose gel-to-foam Cleanser 2 ml + Hydra Rose Micro Gel Serum 2 ml;Product Name
10;Malaysia Wardah NFS Crystallure Supreme Activating Booster Essence 6 ml;Malaysia Wardah NFS Crystallure Supreme Activating Booster Essence 6 ml;Product Name
10;Malaysia Wardah NFS Perfect Bright Jelly Face Wash 3 ml;Malaysia Wardah NFS Perfect Bright Jelly Face Wash 3 ml;Product Name
10;Malaysia Wardah NFS Perfect Bright Night Cream 3 ml;Malaysia Wardah NFS Perfect Bright Night Cream 3 ml;Product Name
10;Malaysia Wardah NFS Renew You Anti Aging Intensive Serum 2 ml (Pc(s));Malaysia Wardah NFS Renew You Anti Aging Intensive Serum 2 ml (Pc(s));Product Name
10;Malaysia Wardah NFS Renew You Anti Aging Night Cream 2 ml (Pc(s));Malaysia Wardah NFS Renew You Anti Aging Night Cream 2 ml (Pc(s));Product Name
10;Malaysia Wardah NFS Renew You Anti Aging Night Cream 3 ml (Pc(s));Malaysia Wardah NFS Renew You Anti Aging Night Cream 3 ml (Pc(s));Product Name
10;Malaysia Wardah Nature Daily Aloe Hydramild Essence Toner 100 ml;Malaysia Wardah Nature Daily Aloe Hydramild Essence Toner 100 ml;Product Name
10;Malaysia Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml;Malaysia Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml;Product Name
10;Malaysia Wardah Nature Daily Aloe Hydramild Moisturizer Cream 40 ml;Malaysia Wardah Nature Daily Aloe Hydramild Moisturizer Cream 40 ml;Product Name
10;Malaysia Wardah Nature Daily Aloe Hydramild Multifunction Gel 100 ml;Malaysia Wardah Nature Daily Aloe Hydramild Multifunction Gel 100 ml;Product Name
10;Malaysia Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml;Malaysia Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml;Product Name
10;Malaysia Wardah Nature Daily Seaweed Balancing Facial Wash 60 ml;Malaysia Wardah Nature Daily Seaweed Balancing Facial Wash 60 ml;Product Name
10;Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 100 ml;Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 100 ml;Product Name
10;Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml;Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml;Product Name
10;Malaysia Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml;Malaysia Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml;Product Name
10;Malaysia Wardah Perfect Bright BB Powder 50 g;Malaysia Wardah Perfect Bright BB Powder 50 g;Product Name
10;Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml;Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml;Product Name
10;Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml Revamp;Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml Revamp;Product Name
