Attribute number;Attribute value;Attribute description;Attribute name
10;Bare With Me Mineral Loose Powder 02 Light Beige (LPL);Bare With Me Mineral Loose Powder 02 Light Beige (LPL);Product Name
10;Bare With Me Mineral Loose Powder 03 Amber (LPA);Bare With Me Mineral Loose Powder 03 Amber (LPA);Product Name
10;Bare With Me Mineral Loose Powder 04 Ebony (LPE);Bare With Me Mineral Loose Powder 04 Ebony (LPE);Product Name
10;Base Box Lip Package A W;Base Box Lip Package A W;Product Name
10;Base Box Lip Package B W;Base Box Lip Package B W;Product Name
10;Base Box Lip Package C W;Base Box Lip Package C W;Product Name
10;Base Box Lip Package D W;Base Box Lip Package D W;Product Name
10;Base CLB Stick Peach E;Base CLB Stick Peach E;Product Name
10;Base CLB Stick Pink E;Base CLB Stick Pink E;Product Name
10;Base CLH Stick Nudetwinkle E;Base CLH Stick Nudetwinkle E;Product Name
10;Base Closure UVS Sunscreen Stick W;Base Closure UVS Sunscreen Stick W;Product Name
10;Base Container Crystallure PG Radiance Powder W;Base Container Crystallure PG Radiance Powder W;Product Name
10;Base Multifix Matte Blusher 01 MO;Base Multifix Matte Blusher 01 MO;Product Name
10;Base Multifix Matte Blusher 02 MO;Base Multifix Matte Blusher 02 MO;Product Name
10;Base Multifix Matte Blusher 03 MO;Base Multifix Matte Blusher 03 MO;Product Name
10;Base Multifix Matte Blusher 04 MO;Base Multifix Matte Blusher 04 MO;Product Name
10;Base Multifix Matte Blusher 05 MO;Base Multifix Matte Blusher 05 MO;Product Name
10;Base Perfect Cover Two Way Cake;Base Perfect Cover Two Way Cake;Product Name
10;Base Powerstay Matte Powder Foundation;Base Powerstay Matte Powder Foundation;Product Name
10;Base Wardah Lightening Matte Powder;Base Wardah Lightening Matte Powder;Product Name
10;Base Wardah Lightening Powder Foundation Light Feel;Base Wardah Lightening Powder Foundation Light Feel;Product Name
10;Base musk;Base musk;Product Name
10;Beauty Bliss BB Cream Light Bulk;Beauty Bliss BB Cream Light Bulk;Product Name
10;Beauty Bliss BB Cream Natural;Beauty Bliss BB Cream Natural;Product Name
10;Bedak Shading Netto 12gr Refill Not For Sale Wardah (Pc(s));Bedak Shading Netto 12gr Refill Not For Sale Wardah (Pc(s));Product Name
