"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"BOTO-G150WSELG-WHD","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-G150WSPBCG-WHD","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-GBSRS20-L","2302356","9","2","FREE ON BOARD"
"","2302356","9","2","FREE ON BOARD"
"BOTO-GBHT100R0-L","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"BOTO-GBHT30-L","2200004","5","2","DELIVERED DUTY PAID"
"","2200004","5","2","DELIVERED DUTY PAID"
"BOTO-GBHT30PSF-L","2200004","4","2","DELIVERED DUTY PAID"
"BOTO-GAACS15R1-W","2306553","9","2","DELIVERED DUTY PAID"
"BOTO-GAACS15R2-W","2306553","9","2","DELIVERED DUTY PAID"
"BOTO-GAACS20-W","2306553","9","2","DELIVERED DUTY PAID"
"","2306553","9","2","DELIVERED DUTY PAID"
"","2306553","9","2","DELIVERED DUTY PAID"
"","2306553","9","2","DELIVERED DUTY PAID"
"","2306553","9","2","DELIVERED DUTY PAID"
"","2306553","9","2","DELIVERED DUTY PAID"
"BOTO-GCDSW-GPOP2W","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"BOTO-GELFRLR0-W","2306553","12","2","DELIVERED DUTY PAID"
"","2306553","12","2","DELIVERED DUTY PAID"
"","2306553","12","2","DELIVERED DUTY PAID"
"","2306553","12","2","DELIVERED DUTY PAID"
"","2306553","12","2","DELIVERED DUTY PAID"
"","2306553","12","2","DELIVERED DUTY PAID"
"BOTO-GELF20ML-GFRO","2310113","25","2","FREE ON BOARD"
"","2303688","26","2","FREE ON BOARD"
"BOTO-GNSMS30-T","2200025","10","2","FREE ON BOARD"
"BOTO-GMOF986FTD-P2W","2303688","26","2","FREE ON BOARD"
"","2310113","25","2","FREE ON BOARD"
"BOTO-GMUAF-MO","2200025","4","2","EX WORKS"
"","2200113","6","2","EX WORKS"
"BOTO-GMUATB-MO","2200025","4","2","EX WORKS"
"BOTO-GPGS20R0-OMG","2306553","14","2","DELIVERED DUTY PAID"
"BOTO-GRYAASW-GPPP1WH","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"BOTO-GA1302R1-MOF","2200025","26","2","FREE ON BOARD"
"","2303688","26","2","FREE ON BOARD"
"BOTO-GWSMS30-T","2200025","10","2","FREE ON BOARD"
"BOTO-GWSEW-GPW","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200151","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"","2200119","15","2","FREE ON BOARD"
"BOTO-HDPEBC250L-X","2302356","10","2","FREE ON BOARD"
"BOTO-HW100NP-DK12033","2200004","6","2","DELIVERED DUTY PAID"
"","2200004","6","2","DELIVERED DUTY PAID"
"","2200004","6","2","DELIVERED DUTY PAID"
"BOTO-HWR0-BD","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-GHGFFR0-MO","2200025","13","2","FREE ON BOARD"
"","2200025","13","2","FREE ON BOARD"
"","2200025","13","2","FREE ON BOARD"
"BOTO-GHLTBR0-MO","2200025","15","2","FREE ON BOARD"
"","2200113","15","2","FREE ON BOARD"
"","2200113","15","2","FREE ON BOARD"
"","2200025","15","2","FREE ON BOARD"
"","2200025","15","2","FREE ON BOARD"
"","2200113","15","2","FREE ON BOARD"
"BOTO-KMUMFS-X","2200141","4","2","DELIVERED DUTY PAID"
"","2200141","4","2","DELIVERED DUTY PAID"
"BOTO-K200PET-X","2200008","4","2","DELIVERED DUTY PAID"
