SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
M-NFSRWSDCS-W;Wardah NFS Crystal Secret Brightening Day Cream 3 ml Sachet;;;Pc(s);3.0;g;;g;;;448;KOLI;;PLT;;TRL;FG;sample;Wardah;;;JTK02;OTHERS;OTHERS;OTHERS;M-NFSRWSDCS-W;a;x;;202129;202147;;;local;STD;False;;;;;False;;Pc(s);;;
MY-FWNFSPBJ-W;Malaysia Wardah NFS Perfect Bright Jelly Face Wash 3 ml;;;Pc(s);3.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;initial;;JTK06;OTHERS;OTHERS;OTHERS;MY-FWNFSPBJ-W;a;x;;202233;202233;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-MNFSAGNC3-W;Malaysia Wardah NFS Renew You Anti Aging Night Cream 3 ml (Pc(s));;;Pc(s);3.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;initial;;JTK06;OTHERS;OTHERS;OTHERS;MY-MNFSAGNC3-W;a;x;;;;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-MNFSPBNC-W;Malaysia Wardah NFS Perfect Bright Night Cream 3 ml;;;Pc(s);3.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;initial;;JTK06;OTHERS;OTHERS;OTHERS;MY-MNFSPBNC-W;a;x;;202233;202233;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-PNFSBCSDCFW-W;Malaysia Wardah NFS Bundling Crystal Secret Brightening Day Cream 30 g + Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 3 ml Sachet;;;Pc(s);33.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;to be discontinued;local;JTK06;OTHERS;OTHERS;OTHERS;MY-PNFSBCSDCFW-W;b;x;;202150;202150;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-PNFSBHRFWSRM-W;Malaysia Wardah NFS Bundling Hydra Rose gel-to-foam Cleanser 2 ml + Hydra Rose Micro Gel Serum 2 ml;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;to be discontinued;local;JTK06;OTHERS;OTHERS;OTHERS;MY-PNFSBHRFWSRM-W;b;x;;202201;202201;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-SRMNFSAGIS2-W;Malaysia Wardah NFS Renew You Anti Aging Intensive Serum 2 ml (Pc(s));;;Pc(s);2.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;initial;;JTK06;OTHERS;OTHERS;OTHERS;MY-SRMNFSAGIS2-W;a;x;;202229;202229;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-SRMNFSASRM-W;Malaysia Wardah NFS Acnederm Acne Care Serum 2 ml;;;Pc(s);2.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;initial;;JTK06;OTHERS;OTHERS;OTHERS;MY-SRMNFSASRM-W;a;x;;202227;202227;;;eksported;STD;False;;;;;False;;Pc(s);;;
MY-SSNFSUVSAFE-W;Malaysia NFS Wardah UV Shield Aqua Fresh Essence SPF 50 5 ml;;;Pc(s);5.0;g;;g;;;44;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;;;JTK06;OTHERS;OTHERS;OTHERS;MY-SSNFSUVSAFE-W;a;x;;202201;202201;;;eksported;STD;False;;;;;False;;Pc(s);;;
P-NFSBCSDCFW-W;Wardah NFS Crystal Secret Foaming Cleanser with Natural AHA+PHA 3 ml;;;Pc(s);1.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;;;JTK02;OTHERS;OTHERS;OTHERS;P-NFSBCSDCFW-W;a;x;;202138;202146;;;local;STD;False;;;;;False;;Pc(s);;;
