"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-06-06 01:06:55","2021-09-23 02:35:33","04080","CUS-RVPDMCW33-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W33 Honey Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-09-23 02:37:26","04082","CUS-RVPDMCW41-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W41 Coral Sand 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-14","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-09-23 02:00:40","04076","CUS-RVPDMCW42-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W42 Warm Sand 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-06-16 02:55:32","03780","CUS-PDMCW50-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W50 Creme Tan 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-04-11","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-06-16 02:56:45","03781","CUS-PDMCW60-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W60 Creme Cocoa 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-31","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-04-22 01:54:20","02024","ES-PARR-MO","MAKE OVER Powerstay Royal Rose Eye Palette 12 x 0.4 g","Finished Goods","Pc(s)","4.8","g","134.8","132","0","0","Sellable","Make Over","existing","JTK06","EYE MAKE UP","EYE SHADOW","MAKE OVER POWERSTAY EYE SHADOW PALETTE","B","X","Local","OEMNDC","","MASSTIGE","","0","0.0","","","","4.8"
"2022-06-06 01:06:55","2021-08-24 06:05:19","03915","EB-R2SEDA-MO","Make Over Brow Styler Eye Definer Americano 0.13 g","Finished Goods","Pc(s)","0.13","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","MAKE OVER EYEBROW MATIC","A","Y","Local","OEMNDC","","MASSTIGE","","0","0.0","","","","0.13"
"2022-06-06 01:06:55","2021-08-24 06:01:38","03914","EB-R2SEDM-MO","Make Over Brow Styler Eye Definer Mocha 0.13 g","Finished Goods","Pc(s)","0.13","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","MAKE OVER EYEBROW MATIC","A","Y","Local","OEMNDC","","MASSTIGE","","0","0.0","","","","0.13"
"2022-07-01 08:40:44","2021-08-04 02:49:01","03856","ES-PEPFTG-MO","Make Over Powerstay Eye Palette Futurist Gleam 12 x 1.5 g","Finished Goods","Pc(s)","18.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYE PALETTE","MAKE OVER POWERSTAY EYE SHADOW PALETTE","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2022-04-23","2023-01-16","2022-04-22","18.0"
"2022-07-01 08:40:44","2021-08-04 02:47:33","03855","ES-PEP24K-MO","Make Over Powerstay Eye Palette Hall Of Stars 12 x 1.5 g","Finished Goods","Pc(s)","18.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYE PALETTE","MAKE OVER POWERSTAY EYE SHADOW PALETTE","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2022-04-23","2023-01-16","2022-04-22","18.0"
"2022-06-15 04:32:35","2021-10-22 04:31:18","04439","MY-FTBSE-EM","Malaysia Emina Bright Stuff Exfoliating Toner 100 ml","Finished Goods","Pc(s)","100.0","ml","0.0","0","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-08-15","2022-10-10","","104.0"
"2022-06-09 02:19:56","2021-10-22 04:32:28","04440","MY-MBSNC-EM","Malaysia Emina Bright Stuff Night Cream 20 g","Finished Goods","Pc(s)","20.0","g","0.0","0","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-08-15","2022-10-10","","20.0"
"2022-06-08 04:35:44","2021-04-22 02:42:10","03078","MY-BRUSEBS-EM","Malaysia Emina Brush Set (Set)","Finished Goods","Pc(s)","1.0","g","0.0","16","0","0","Sellable","Emina","existing","JTK06","MAKE UP TOOLS","BRUSH","EMINA MALAYSIA BRUSH SET","B","X","Eksported","STD","","MASS","","0","0.0","2021-05-17","2021-06-06","2021-04-13","1.0"
"2022-07-07 04:50:52","2022-06-20 01:07:47","04912","MY-LCUMKORA-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g","Finished Goods","Pc(s)","3.6","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","","","","3.6"
"2022-07-07 04:50:59","2022-06-20 01:11:11","04913","MY-LCUMKORB-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 10 Stunning Seoul 3.6 g","Finished Goods","Pc(s)","3.6","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","","","","3.6"
"2022-07-07 04:51:16","2022-06-20 01:29:41","04914","MY-LCUMKORC-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 11 Sunkissed Jeju 3.6 g","Finished Goods","Pc(s)","3.6","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","","","","3.6"
"2022-07-07 04:51:25","2022-06-20 01:33:57","04915","MY-LCUMKORD-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g","Finished Goods","Pc(s)","3.6","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","","","","3.6"
"2022-07-07 04:51:31","2022-06-20 01:36:40","04916","MY-LCUMKORE-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","Finished Goods","Pc(s)","3.6","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","","","","3.6"
"2022-07-06 17:05:35","2021-04-22 02:39:53","03322","MY-EBREPBL-W","Malaysia Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister)","Finished Goods","Pc(s)","1.14","g","0.0","48","0","0","Sellable","Wardah","existing","JTK06","EYE MAKE UP","EYEBROW PENCIL BLISTER","WARDAH MALAYSIA EYEXPERT EYEBROW PENCIL BLISTER","A","X","Eksported","STD","","MASS","","0","0.0","2021-06-28","2021-07-05","2021-04-29","1.14"
"2022-07-06 17:05:35","2021-04-22 02:39:54","03323","MY-EBREPBR-W","Malaysia Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister)","Finished Goods","Pc(s)","1.14","g","0.0","48","0","0","Sellable","Wardah","existing","JTK06","EYE MAKE UP","EYEBROW PENCIL BLISTER","WARDAH MALAYSIA EYEXPERT EYEBROW PENCIL BLISTER","A","X","Eksported","STD","","MASS","","0","0.0","2021-06-28","2021-07-05","2021-04-29","1.14"
"2022-07-08 10:05:14","2021-05-03 18:09:31","03606","MY-EBEXPMBD02-W","Malaysia Wardah EyeXpert Matic Brow Definer 02 DARK BROWN 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH MALAYSIA EYEXPERT MATIC BROW DEFINER","A","X","Eksported","STD","","MASS","","0","0.0","2022-08-01","2022-08-08","2022-03-21","0.25"
"2022-07-08 10:05:14","2021-05-03 18:09:33","03607","MY-EBEXPMBD03-W","Malaysia Wardah EyeXpert Matic Brow Definer 03 DARK GREY 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH MALAYSIA EYEXPERT MATIC BROW DEFINER","A","X","Eksported","STD","","MASS","","0","0.0","2022-08-01","2022-08-08","2022-03-21","0.25"
"2022-07-08 10:05:15","2021-05-03 18:09:30","03605","MY-EBEXPMBD01-W","Malaysia Wardah Eyexpert Matic Brow Definer 01 LIGHT BROWN 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH MALAYSIA EYEXPERT MATIC BROW DEFINER","A","X","Eksported","STD","","MASS","","0","0.0","2022-08-01","2022-08-08","2022-03-21","0.25"
"2022-07-01 08:40:48","2022-02-11 09:33:50","04664","MY-FTNDATE-W","Malaysia Wardah Nature Daily Aloe Hydramild Essence Toner 100 ml","Finished Goods","Pc(s)","100.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","","","","A","X","Eksported","","","","","3","0.0","2022-07-25","2022-08-08","","100.0"
"2022-07-08 02:46:28","2022-06-08 00:34:10","04823","MY-SRMRAGIS-W","Malaysia Wardah Renew You Anti Aging Intensive Serum 17 ml (Pc(s))","Finished Goods","Pc(s)","17.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK02","","","","A","X","Eksported","STD","","","","0","0.0","2022-07-25","2022-11-07","","16.15"
"2022-06-16 00:22:26","2021-11-23 04:26:46","04567","SRM-CDSI-W","Wardah C-Defense Serum 17 ml","Finished Goods","Pc(s)","17.0","ml","0.0","0","0","0","Sellable","Wardah","inactive","JTK02","FACE MOISTURIZER","SERUM","WARDAH C-DEFENSE SERUM","A","X","Local","STD","","MASS","","3","0.0","","","","18.36"
"2022-06-07 01:24:57","2021-04-22 02:28:49","00264","BUT-W0LG-W50ML","Wardah Creamy Body Butter With Lavender & Ginger 50 ml (pc(s))","Finished Goods","Pc(s)","50.0","ml","0.0","32","0","0","Sellable","Wardah","to be discontinued","JTK02","BODY BUTTER","BODY BUTTER","WARDAH SPA BODY BUTTER","A","X","Local","STD","","MASS","","3","0.0","","","","48.5145"
"2022-07-08 04:56:50","2022-03-21 08:27:38","04745","L-R2EMC01-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 01 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 08:51:49","04747","L-R2EMC03-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 03 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 08:56:08","04749","L-R2EMC05-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 05 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 08:59:45","04750","L-R2EMC06-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 06 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 09:02:27","04751","L-R2EMC07-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 07 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 09:04:26","04752","L-R2EMC08-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 08 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 09:08:13","04753","L-R2EMC09-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 09 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 09:58:10","04755","L-R2EMC11-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 11 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:00:46","04756","L-R2EMC12-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 12 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:03:16","04757","L-R2EMC13-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 13 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
