SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
DUS-CSDQ-EILG;Dus CSDQ MFT Dancing Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSDQ-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSDQADR0-EILG;Dus Dus CSDQ Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSDQADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSDQR1-EILD;DUS CSDQ R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSDQR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSDSBS20-W;Dus CS Dark Spot & Brightening Serum 20 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSDSBS20-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSDSBS20R1-W;Dus CS Dark Spot & Brightening Serum 20 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSDSBS20R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSDSBS20R2-W;Dus CS Dark Spot & Brightening Serum 20 R2 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSDSBS20R2-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CSEDCC10-W;Dus CS Eyes Dark Circle Corrector 10 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSEDCC10-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSEDCC10R1-W;Dus CS Eyes Dark Circle Corrector 10 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSEDCC10R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSET125-W;Dus CS Exfoliating Toner 125 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSET125-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSET125R1-W;Dus CS Exfoliating Toner 125 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSET125R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CSFR0-W;Dus Crystallure PR Serum Foundation W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Crystallure;;local;;;;;DUS-CSFR0-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC1R0-MOILG;Dus Color Stick Gloss Crayon 101 Veronica MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC1R0-MOILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
