Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
DUS-LPL02R1-W,2200043,0.5,4,2,50000,100,"KALINGGA JAYA, CV",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL02R1-W,2200152,0.5,4,2,50000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL02R2-W,2200070,1,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL02R2-W,2200152,0,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL03R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL03R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2022-01-22,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL03R1-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-04-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL03R2-W,2200070,1,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL03R2-W,2200152,0,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL04R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-01-25,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL04R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2022-01-22,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL04R1-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-04-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL04R2-W,2200070,1,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL04R2-W,2200152,0,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-11,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL05R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL05R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2022-01-22,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL05R1-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-04-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL05R2-W,2200070,0.7,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL05R2-W,2200152,0.3,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL06R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL06R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2022-01-22,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL06R2-W,2200070,0.7,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL06R2-W,2200152,0.3,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R0-W,2200043,0.5,4,2,50000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R0-W,2200070,0.5,4,2,100000,100,"PRINTINDO UTAMA, PT",2022-01-22,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R0-W,2200152,0.5,4,2,50000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R2-W,2200070,0.7,4,2,100000,100,"PRINTINDO UTAMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPL07R2-W,2200152,0.3,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-10-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRE01R0-W,2200043,1,4,2,20000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRE01R0-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
