SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
DUS-CPLPBR0-W;2200126;1;4;2;10000;100;DNP Indonesia, PT;1956;202104;
DUS-CPRLR0-W;2200126;1;4;2;20000;100;DNP Indonesia, PT;1957;202104;
DUS-CRGFHR0-MO;2306641;1;4;2;10000;100;Adhinata Karya, PT;1958;202127;
DUS-CSAESR0-W;2200072;1;4;2;25000;100;Pura Barutama, PT (Offset);1959;202104;
DUS-CSAESR1-W;2200072;1;4;2;25000;100;Pura Barutama, PT (Offset);1960;;
DUS-CSBANC15R1-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1961;202123;
DUS-CSBANC15R2-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1962;202138;
DUS-CSBANC30R1-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1963;202125;
DUS-CSBANC30R2-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1964;202138;
DUS-CSBDC15R1-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1965;202123;
DUS-CSBDC15R2-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1966;202135;
DUS-CSBDC30R1-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1967;202123;
DUS-CSBDC30R2-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1968;202139;
DUS-CSBDC9-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1969;202119;
DUS-CSDSBS20R1-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1970;202125;
DUS-CSDSBS20R2-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1971;202138;
DUS-CSEDCC10R1-W;2200126;1;4;2;15000;100;DNP Indonesia, PT;1972;202125;
DUS-CSET125R1-W;2200126;1;4;2;20000;100;DNP Indonesia, PT;1973;202123;
DUS-CSFR0-W;2200126;1;4;2;20000;100;DNP Indonesia, PT;1974;;
DUS-CSGC1R2-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1975;202104;
DUS-CSGC2R2-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1976;202104;
DUS-CSGC3R1-MO;2200053;1;4;2;3000;100;Mega Putra, PT;1977;202136;
DUS-CSGC3R2-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1978;202104;
DUS-CSGC4R2-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1979;202104;
DUS-CSGC5R2-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1980;202104;
DUS-CSPTE100R1-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1981;202125;
DUS-CSPTE30-W;2200126;1;4;2;50000;100;DNP Indonesia, PT;1982;202130;
DUS-CSPTE50R1-W;2200126;1;4;2;20000;100;DNP Indonesia, PT;1983;202123;
DUS-CSRDG15R1-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1984;202125;
DUS-CSRDG15R2-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1985;202136;
DUS-CSRDG30R1-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1986;202125;
DUS-CSRDG30R2-W;2200126;1;4;2;20000;100;DNP Indonesia, PT;1987;202138;
DUS-CSRSSKR0-W;2200126;1;4;2;30000;100;DNP Indonesia, PT;1988;202119;
DUS-CT1R0-E;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1989;202104;
DUS-CT2R0-E;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1990;202104;
DUS-CT3R0-E;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1991;202104;
DUS-CT4R0-E;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1992;202104;
DUS-CT5R0-E;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1993;202104;
DUS-CT6R0-E;2200043;1;4;2;20000;100;Kalingga Jaya, CV;1994;202104;
DUS-CT7R0-E;2200043;1;4;2;20000;100;Kalingga Jaya, CV;1995;202104;
THIC-NDXTP-X;2100040;1;10;2;10;10;IMCD Indonesia, PT;1996;202104;
THIC-NOVEEC1L-;2100085;1;20;2;113.4;113.4;Tritunggal Artha Makmur, PT;1997;202104;
THIC-OLKS-X;2100085;1;20;2;22.7;22.7;Tritunggal Artha Makmur, PT;1998;202107;
THIC-PAL-;2100013;1;20;2;25;25;Bronson & Jacobs Indonesia, PT;1999;202104;
THIC-RMGSO4-X;2100111;1;18;7;25;25;Azelis Indonesia Distribusi, PT;2000;202147;
THIC-SPVE10-X;2100057;1;16;2;25;25;Mega Setia Agung Kimia, PT;2001;202104;
THIC-TCLC-X;2100071;1;20;2;1;1;Pitala Gunawan Raya, PT;2002;202104;
