SKU code;Packing line code;DATE;Qty
F-LPWW22-MO33ML;EMP15;20229;1750
F-LPWW22-MO33ML;EMP15;20229;4600
F-LPWW41-MO33ML;BOP10;202211;600
F-LPWW42-MO33ML;BOP10;202211;575
F-LUC01-MO33ML;BOP10;202211;600
F-LUC01-MO33ML;BOP10;202211;1020
F-LUC02-MO33ML;EMP15;202211;2760
F-LUC03-MO33ML;EMP15;202211;1300
F-LUC04-MO33ML;EMP15;202210;700
F-LUC05-MO33ML;EMP15;202211;1340
F-LUC05-MO33ML;EMP15;202211;440
F-LUC08-MO33ML;BOP10;202211;360
F-LUC08-MO33ML;BOP10;202211;380
F-LUC09-MO33ML;EMP15;202211;440
FM-CDS-W;JAP01;202211;1200
FMI-AV-EM;EMP02;202211;2765
FMI-CDFM-W55ML;BOP09;202210;1920
FMI-CDFM-W55ML;BOP09;202211;14800
FMI-LGT-W;BOP04;202210;15680
FMI-LGT-W;BOP04;202210;23080
FMI-LGT-W;BOP04;202211;15680
FMI-LGT-W;BOP04;202211;15240
FM-MCC-W60ML;TUP05;202210;13176
FM-MCC-W60ML;TUP04;202211;12852
FM-NDTOC-W;EMP01;202210;72
FM-NDTOC-W;EMP03;202210;1332
F-PTCMCC62-MO;FOP03;202210;182
F-PTCMCC62-MO;FOP03;202210;203
F-PTCMCN10-MO;FOP03;202210;188
F-PTCMCW33-MO;LIP10;202211;96
F-RELF01-W;EMP15;202210;8764
F-RELF05-W;BOP10;20229;784
FS-RLN2-W;TUP09;202211;0
FS-RLN2-W;TUP09;202211;18750
FT-BST-EM;BOP04;202210;3750
FT-BST-EM;BOP04;20229;18475
FT-BSTN2-EM;BOP04;202210;18256
FT-BSTN2-EM;BOP04;202210;18089
FT-BSTN2-EM;BOP04;202210;11034.776
FT-FT-OMG;VST01;202210;11496
FT-FT-OMG;VST01;202210;11561
FT-FT-OMG;VST01;202211;11509
FT-FT-OMG;VST01;202211;11569
FT-FTVC-OMG;VST01;202210;11496
FT-FTVC-OMG;VST01;202210;11561
FT-FTVC-OMG;EMP07;202210;11556
FT-FTVC-OMG;VST01;202211;11509
FT-FTVC-OMG;EMP07;202211;11412
FT-FTVC-OMG;VST01;202211;11569
FT-GT-TA;EMP07;202210;2488
FT-LFT-W;BOP02;202210;3584
FT-LFT-W;BOP02;202210;21816
FT-LFT-W;BOP02;202210;22176
FT-LFT-W;BOP02;202211;43248
FT-LFT-W;BOP02;202211;22776
FT-PHASN1-EM;BOP04;202211;17920
FT-PHASN2-EM;BOP04;202211;8950
FT-RWSABHA-W;BOP09;20229;440
FT-RWSABHA-W;BOP09;202210;7620
FT-SBFT-EM;BOP04;202211;7125
FW-3IN1PC-KA;TUP03;202210;9315
FW-3IN1PC-KA;TUP03;202210;8565
FW-AH-W100ML;TUP01;202211;8460
FW-AH-W100ML;TUP02;202211;990
FW-AH-W100ML;TUP01;202211;18480
FW-AH-W60ML;TUP05;202210;46872
FW-BSACNE-EM;TUP01;202210;9200
FW-BSACNE-EM;TUP01;202210;9200
FW-BSACNE-EM;TUP01;202210;9720
FW-BSACNE-EM;TUP01;202211;9220
FW-BSACNE-EM;TUP01;202211;9200
FW-BSACNE-EM;TUP01;202211;9400
FW-BSACNEN2-EM;TUP01;202211;23350
FW-BSACNEN2-EM;TUP09;202210;18500
FW-BSACNEN2-EM;TUP06;202210;18500
FW-BSACNEN2-EM;TUP06;202210;18700
FW-BSACNEN2-EM;TUP02;202211;40600
FW-BSACNEN2-EM;TUP01;202211;15000
FW-BSACNEN2-EM;TUP02;202211;18550
FW-BSACNEN2-EM;TUP02;202211;18600
FW-BSACNEN2-EM;TUP02;202211;18550
FW-BS-EM50ML;TUP02;202210;20050
FW-BS-EM50ML;TUP09;202210;38500
FW-BS-EM50ML;TUP06;202210;23150
FW-BS-EM50ML;TUP09;202210;33850
FW-BS-EM50ML;TUP02;202211;37400
FW-BS-EM50ML;TUP09;202211;21150
FW-BS-EM50ML;TUP02;202211;58200
FW-BSN2-EM;TUP01;202210;0
FW-BSN2-EM;TUP02;202210;6640
FW-BSN2-EM;TUP02;202210;29660
FW-BSN2-EM;TUP01;202211;29660
FW-BSW-EM;TUP09;202211;18200
FW-CD-W100ML;TUP03;202210;27990
FW-CD-W100ML;TUP03;202210;28470
FW-CD-W100ML;TUP02;202211;21270
FW-CD-W100ML;TUP03;202211;4200
FW-CD-W60ML;TUP04;202211;1152
FW-CD-W60ML;TUP04;202211;46368
FW-FW01-KA;TUP03;202210;615
FW-FW01-KA;TUP03;202210;315
FW-FW01-KA;TUP03;202210;2310
FW-FW01-KA;TUP03;202210;9195
FW-FW01-KA;TUP03;202210;9570
FW-FW01-KA;TUP01;202211;9240
FW-FW01-KA;TUP03;202211;9120
FW-FWN1-OMG;LVMN01;202211;68640
FW-FWN2-OMG;TUP09;202211;28616
FW-FWN2VC-OMG;TUP09;202211;9240
FW-LMGWN1-W;TUP04;202211;0
FW-LMGWN1-W;TUP01;202211;17400
FW-LMGWN1-W;TUP02;202210;17350
FW-LMGWN1-W;TUP09;202210;37750
FW-LMGWN2-W;TUP01;202210;1400
FW-LWFN2-W;TUP01;202210;9275
FW-LWFN2-W;TUP01;202210;9275
FW-LWFN2-W;TUP01;202210;9415
FW-LWFN2-W;TUP01;202210;9275
FW-LWFN2-W;TUP01;202210;9275
FW-LWFN2-W;TUP01;202210;9135
FW-MCF-W100ML;TUP01;202211;360
FW-MCF-W100ML;TUP01;202211;450
FW-MCF-W60ML;TUP04;202211;15624
FW-PBCFLO100-W;TUP01;202210;19410
FW-PBCFLO100-W;TUP02;202210;19230
FW-PBCFLO100-W;TUP02;202210;19230
FW-PBCFLO100-W;TUP02;202210;19170
FW-PBCFLO100-W;TUP01;202211;19230
FW-PBCFLO100-W;TUP01;202211;19590
FW-PBCFLO100-W;TUP01;202211;19440
FW-PBCFLS100-W;TUP01;202211;28920
FW-PBCFLS100-W;TUP01;202211;29220
FW-PBCFLS50-W;TUP01;20229;7452
FW-PBCFLS50-W;TUP09;202210;57150
FW-PBCFLS50-W;TUP06;202210;26712
FW-PBCFLS50-W;TUP09;202210;31320
FW-PBCFLS50-W;TUP02;202211;44568
FW-PBCFLS50-W;TUP09;202211;13068
FW-PBCFLSN3-W;LVMN01;202210;7290
FW-PBCFLSN3-W;TUP09;20229;34020
FW-PBCFLSN3-W;LVMN01;202210;7379
FW-PBCFLSN3-W;TUP07;202210;44211
FW-PBCFLSN3-W;LVMN01;202210;7372
FW-PBCFLSN3-W;TUP08;202210;44250
FW-PCSAC-KA;TUP03;202210;9585
FW-PCSAC-KA;TUP03;202211;9615
FW-PCSAC-KA;TUP03;202211;9510
FW-PCSAC-KA;TUP03;202211;9480
FW-PCSACSEC-KA;VMP10;202210;675
FW-PCSACSEC-KA;VMP10;202210;8692
FW-PCSACSEC-KA;VMP10;202210;0
FW-PCSACSEC-KA;VMP01;202210;7650
FW-PCSACSEC-KA;VMP10;202210;1809
FW-PCSACSEC-KA;TUP03;202211;9720
FW-PCSACSEC-KA;VMP01;202211;9705
FW-PCSRB-KA;TUP03;202210;9375
FW-PCSRB-KA;TUP03;202210;9300
FW-PCSRB-KA;TUP03;202210;9465
FW-PCSRB-KA;TUP03;202210;9750
FW-PCSRB-KA;TUP03;202211;9930
FW-PCSRBSEC-KA;TUP03;202211;9330
FW-PCSRBSEC-KA;VMP01;202211;7524
FW-PCSRBSEC-KA;VMP10;202211;1800
FW-PHAS-EM50ML;TUP09;202210;18050
FW-RHMF-W;TUP01;202210;390
FW-RHMF-W;TUP01;202210;27840
FW-RRYAG-W;TUP01;202210;27870
FW-RRYAG-W;VMP01;202210;1899
FW-RRYAG-W;VMP10;202210;12780
FW-RRYAG-W;VMP10;202210;10170
FW-RRYAG-W;VMP10;202210;2820
FW-RWSABHA-W;TUP01;202210;42480
FW-RWSABHA-W;TUP01;202210;1800
FW-RWSABHA-W;TUP01;202211;25620
FW-RWSABHA-W;TUP01;202211;27030
FW-RWSABHA-W;TUP01;202211;27390
FW-RWSABHA-W;TUP01;202211;27420
FW-RWSABHA-W;TUP01;202211;27420
FW-RWSABHA-W;TUP01;202211;27450
FW-RWSABHA-W;TUP01;202211;27450
FW-SBRDBR-EM;TUP03;202211;9000
FW-SB-W60ML;TUP03;202211;8784
FW-SB-W60ML;TUP05;202211;15372
HBL-AHMG-W100ML;TUP01;202210;9420
HBL-AHMG-W100ML;TUP02;202210;16800
HBL-AHMG-W100ML;VMP01;202211;2213
HBL-AHMG-W100ML;VMP10;202210;9720
HBL-AHMG-W100ML;VMP10;202210;12720
HBL-AHMG-W100ML;VMP10;202210;6000
HBL-AHMG-W100ML;TUP01;202211;26430
HBL-AHMG-W100ML;VMP01;202211;5130
HBL-AHMG-W100ML;VMP10;202211;2310
HBL-AHMG-W100ML;VMP10;202211;6690
HBL-AHMG-W100ML;VMP10;202211;6690
HBL-AHMG-W100ML;VSN01;202211;1830
HBL-AHMG-W100ML;VSN02;202211;2880
HBL-V1-WL;EMP03;202211;48
HBL-V4-WL;EMP03;202211;48
HBW-BWN1A-BD;CUP01;202210;414
HBW-BWN1A-BD;EMP03;202210;2952
HBW-BWN1A-BD;EMP03;202211;3258
HBW-BWN1D-BD;EMP01;202211;108
HBW-BWN1D-BD;EMP03;202211;2916
HBW-BWN1D-BD;EMP07;202211;288
HBW-BWN1D-BD;EMP02;202210;839
HBW-BWN1D-BD;EMP03;202210;324
HBW-HWN2B-BD;EMP03;202210;3732
HBW-HWN2-BD;EMP03;202211;3744
HBW-RHB-KA;EMP03;202210;4704
HC-HF-W170ML;TUP01;202210;5382
HC-NS-W170ML;TUP01;202210;5490
HC-P1A2-P200;EMP03;202211;2712
HC-P1A2-P450;EMP03;202210;2184
HC-P1F-P200;BOP09;202210;480
HC-P1F-P200;EMP03;202210;480
HC-P1F-P2;EMP02;202210;141
HT-P1G1-P2;EMP02;202210;519
HT-P1G1-P2;EMP16;202211;585
HT-P1G-P450;EMP02;202211;2316
LB-EVFSG-W4G;LIP16;202210;576
LB-EVFSG-W4G;LIP14;202210;5136
LB-EVFSG-W4G;LIP16;202210;15168
LB-EVFSG-W4G;LIP16;202210;4296
LB-EVFSG-W4G;LIP16;202211;4296
LB-EVFSG-W4G;LIP16;202211;4296
LB-EVFSS-W4G;LIP14;202210;958
LB-EVFSS-W4G;LIP16;202210;8184
LB-EVFSS-W4G;LIP16;202210;8460
LB-EVFSS-W4G;SAP01;202210;84
LB-EVLNGT-W4G;LIP16;202210;8375
LB-EVLNH-W4G;LIP16;202210;8450
LB-EVLNH-W4G;LIP18;202211;10800
LB-EVLNH-W4G;OSP01;202211;100
LB-EVLNH-W4G;LIP18;202211;0
LB-LMPB-EM;SBP01;202211;1200
LB-LMPB-EM;SBP01;202210;0
LB-LMPB-EM;SBP01;202210;18130
LB-LMPB-EM;SBP01;202210;18413
LB-LMPB-EM;SBP01;202211;18624
LB-LMPR-EM;SBP01;202210;672
LB-LMPR-EM;SBP01;202210;1580
LB-LMPR-EM;SBP01;202210;2342
LB-SCJ-EM3.7GR;JRP02;202211;2016
LB-SR-EM4.2GR;FOP03;202210;4032
LB-SR-EM4.2GR;FOP03;202211;864
LB-SR-EM4.2GR;FOP03;202211;4896
LB-SR-EM4.2GR;FOP03;202211;4896
LB-STSPB-EM;LIP14;202211;9184
LB-STSPC-EM;LIP14;202210;9207
L-CHC04-MO;LIP08;202210;72
L-CHC04-MO;LIP10;202210;214
L-CHC05-MO;LIP08;202210;216
L-CHC05-MO;LIP12;202210;540
L-CHC05-MO;LIP12;202210;540
