"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Vendor/Display Name","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms","Variant Seller/Company/Display Name"
"","2303754","1.0","20","2","190.0","190.0","EVONIK INDONESIA, PT","2021-05-10","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ABIL-W9801-X","2303754","1.0","20","2","180.0","180.0","EVONIK INDONESIA, PT","2021-01-25","2022-01-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2303754","1.0","20","2","180.0","180.0","EVONIK INDONESIA, PT","2021-01-25","2022-05-13","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WAX-ABWAX-X","2100018","1.0","16","2","25.0","25.0","COLORINDO CHEMTRA, PT","2021-01-25","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100018","1.0","16","2","25.0","25.0","COLORINDO CHEMTRA, PT","2021-01-25","2022-03-11","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"THIC-ACP9L-X","2200024","1.0","8","2","20.0","20.0","CHEMCO PRIMA MANDIRI, PT","","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EMU-ACT-X","2100042","1.0","20","2","8.0","8.0","INFINISIA SUMBER SEMESTA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EKS-ACFPH-X","2100044","1.0","2","7","4.0","4.0","INTERCHEM PRIMA MITRA, PT","2021-01-25","2021-04-11","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTM-CTLA-X","2100050","1.0","6","2","1.0","1.0","KEMIKO INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-AICE06-X","2100050","1.0","6","7","5.0","5.0","KEMIKO INDONESIA, PT","2021-09-16","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100050","1.0","6","7","1.0","1.0","KEMIKO INDONESIA, PT","2021-09-16","2021-11-26","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTM-Q10-X","2100050","1.0","6","2","1.0","1.0","KEMIKO INDONESIA, PT","2021-01-25","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTM-WHTL-X","2100050","1.0","6","2","1.0","1.0","KEMIKO INDONESIA, PT","2021-01-25","2021-05-09","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-ADNL-X","2300947","1.0","28","7","20.0","20.0","CLARIANT INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2300947","1.0","28","7","20.0","20.0","CLARIANT INDONESIA, PT","2021-01-25","2022-02-18","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-ADPL-X","2100057","1.0","16","2","5.0","5.0","MEGA SETIA AGUNG KIMIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SILC-AERSLR-X","2100046","1.0","12","2","10.0","10.0","JEBSEN JESSEN INGREDIENTS INDONESIA, PT","2021-09-06","2022-02-11","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100046","1.0","12","2","10.0","10.0","JEBSEN JESSEN INGREDIENTS INDONESIA, PT","2021-09-06","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AGF-9051-X","2100052","1.0","20","7","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","20","7","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","2022-01-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AJID--NL-K","2100052","1.0","12","2","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","12","2","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AJID-ZN100-X","2100052","1.0","12","2","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","2022-02-01","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","12","2","25.0","25.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PARF-ALCMS-X","2100028","1.0","8","","175.0","25.0","FIRMENICH INDONESIA, PT","2021-12-20","2022-07-22","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","8","","175.0","25.0","FIRMENICH INDONESIA, PT","2021-12-20","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","8","","25.0","25.0","FIRMENICH INDONESIA, PT","2021-12-20","2022-04-05","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EMUL-AP2P-X","2100085","1.0","14","2","200.0","200.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-26","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ALKO-ALKHCKI-X","2303739","1.0","2","2","160.0","200.0","KARSAVICTA SATYA, PT","","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"VIT-ATCAT-X","2100021","1.0","8","","200.0","20.0","DKSH INDONESIA, PT","2022-01-24","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","8","","200.0","20.0","DKSH INDONESIA, PT","2022-01-24","2022-06-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ALAN--AK-K","2100062","1.0","16","2","25.0","25.0","NARDEVCHEM KEMINDO, PT","2021-01-25","2022-06-24","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100062","1.0","16","2","25.0","25.0","NARDEVCHEM KEMINDO, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-AVG10X-X","2100037","1.0","4","7","25.0","25.0","HALDIN PACIFIC SEMESTA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EXTR-ALVGE-X","2100037","1.0","4","7","25.0","25.0","HALDIN PACIFIC SEMESTA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-AFEW-X","2100085","1.0","12","7","1.0","1.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100085","1.0","12","7","1.0","1.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","2021-06-16","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-ALARB-X","2100085","1.0","12","7","1.0","1.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SAMP-ALPBTN-X","2100085","1.0","6","2","1.0","1.0","TRITUNGGAL ARTHA MAKMUR, PT","","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"THIC-AMGM-X","2100013","1.0","10","7","10.0","10.0","BRONSON & JACOBS INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AMH-LL-X","2100052","1.0","12","7","10.0","10.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AMI-GCK12H-X","2100052","1.0","2","2","220.0","220.0","LAUTAN LUAS, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","2","2","220.0","220.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","2","2","220.0","220.0","LAUTAN LUAS, PT","2021-01-25","2022-03-23","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AMI-GCK12K-","2100052","1.0","20","2","200.0","200.0","LAUTAN LUAS, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100052","1.0","20","2","200.0","200.0","LAUTAN LUAS, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AMON-A-KS","2100021","1.0","6","2","200.0","200.0","DKSH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
