Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Korporat Code
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,ACTI-LTL-X,0.025
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,EXTR-DB-,0.095
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,PENG-PHC-X,0.003
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,VITA-DL E-MS,0.004
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,EMU-EPSR-X,0.001
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,ACTI-RBN-X,0.001
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,ACTI-ECTC-X,0.00001
P-CGK-W/SRM-CSRO-BULK,SRM-CSRO-BULK/FS.RND.W0056-VER.02,ACTI-MGCS-X,0.000001
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,EDT-B--K,0.001
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,ACTI-ECTC-X,0.003
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,"CARB--94022,68-K",0.0015
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,SILI-2005-DC-K,0.005
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,PENG-PNX-X,0.005
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,MOIS-TR100-X,0.01
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,PENG-CLRP-X,0.003
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,CRIL-C1-CRO,0.002
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,ACTI-MGCS-X,0.0015
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,SODA-C-ASA,0.000675
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,EMG-450-X,0.003
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,ALAN--AK-K,0.002
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,ACTI-HAOL-X,0.0001
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,BIO-HYAL-BIL,0.0005
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,ACTI-HYRP-X,0.001
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,LAR-WMHTG-BULK,0.00012
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,MATR-3000-X,0.03
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,WARN-K-BULK,0.00024
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,SILI-CES1104-X,0.055
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,PARF-CTPSMOD-X,0.00025
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,SILI-MCMA-X,0.04
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,"BUTY--DAI1,3",0.05
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,THIC-ARAVC-,0.01
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,FUCO-15PSLB-X,0.01
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,EMU-DTC7-X,0.03
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,GLYC--ECOS-K,0.02
M-CSAHG-W/M-CSAHG-BULK,M-CSAHG-BULK/FS.RND.W0299-VER.02,SILI-SFE-GE,0.006
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SUCR-AC01-X,0.073
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-BEL803-X,0.07
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-BDP-X,0.09
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,BENT-BGVS5PC-X,0.24
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,PURO-IDD-X,0.211699
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,HAIM-DIS-X,0.0425
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,BENT-BGISDV-X,0.04
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-MCMA-X,0.04
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,PARF-VMR-X,0.001
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,VIT-ATCAT-X,0.001
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,PEN-SENSC50-X,0.004
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,PENG-NPGEHP-X,0.008
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-TOA403-KF,0.022258
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,TITA-OTS2CR50-,0.030917
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-C19011-R7CL-K,0.004559
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-C19012-DCR6-K,0.019981
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SILC-SP500LS-X,0.0375
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,SILC-AERSLR-X,0.0225
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,POL-U151-X,0.02
L-NLCB-EM/L-NLCB-BULK,L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-COGO--K,0.021086
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,TALC-OSBRTPD-X,0.702606
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,CORN-SUNAR-X,0.2
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,TITA-C-STCR5-K,0.04
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,SERI-S-D-K,0.02
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,ZINC-STW-X,0.01
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,PEN-PRSVPE-X,0.008
