LIFE CYCLE,FACTORY,Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024,MPQ Kemas,MPQ Supply,Sum
initial,Powder factory,B-EL03-W,Wardah Elevate Loose Powder 03 15 g,100,6421,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6614,"6,421"
initial,Powder factory,B-EL04-W,Wardah Elevate Loose Powder 04 15 g,60,2890,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,2977,"2,890"
new product,Powder factory,B-EXLP-MO,MAKE OVER Expert Loose Powder 15 g,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,1962,981,0,1800,0,1800,0,0,1800,0,0,0,1800,0,0,0,0,1800,0,0,0,0,0,1800,0,0,0,0,0,1800,0,0,1,1,"16,524"
existing,Powder factory,B-HRFP-MO,MAKE OVER Hydrastay Radiant Finishing Powder 8 gr,10,1152,1172,1152,0,0,1152,1152,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,1152,1152,0,1152,1152,1152,0,0,0,0,0,1152,1172,"52,992"
new product,Powder factory,B-IPQSP11-W,Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g,7,528,548,0,0,0,0,0,528,0,528,0,528,0,528,0,0,528,0,528,0,528,0,528,0,0,528,0,528,0,528,0,528,0,0,528,0,528,0,528,0,528,0,528,0,0,528,0,528,0,528,0,528,0,0,528,0,528,0,528,0,0,528,0,0,528,0,0,0,0,0,0,528,548,"13,728"
new product,Powder factory,B-IPQSP12-W,Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g,7,528,548,1056,528,0,0,528,528,528,528,528,0,528,528,528,528,0,528,528,528,528,0,528,528,528,0,528,528,528,528,0,528,528,528,0,528,528,0,528,528,528,0,528,528,0,528,528,528,0,528,528,528,0,528,528,0,528,528,528,0,528,0,528,528,0,528,528,0,0,0,0,528,548,"25,872"
new product,Powder factory,B-IPQSP13-W,Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g,7,528,548,0,0,0,528,1056,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,0,528,528,528,528,528,528,528,528,528,528,528,0,528,528,528,528,528,528,528,528,528,0,528,528,528,528,528,528,528,528,528,528,0,528,528,528,0,528,528,528,0,0,0,0,528,548,"30,624"
new product,Powder factory,B-IPQSP14-W,Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g,7,528,548,0,0,0,528,528,528,528,0,528,528,528,0,528,528,0,528,528,0,528,528,0,528,528,0,528,528,0,528,0,528,528,0,528,0,528,528,0,528,0,528,528,0,528,0,528,0,528,528,0,528,0,528,528,0,528,0,528,528,0,0,528,0,528,0,528,0,0,0,0,528,548,"20,592"
new product,Powder factory,B-IPQSP15-W,Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g,7,528,548,0,0,0,0,0,0,0,0,0,528,0,528,0,0,528,0,528,0,528,0,0,528,0,528,0,0,528,0,0,528,0,0,528,0,0,528,0,528,0,0,528,0,0,528,0,0,528,0,0,528,0,0,528,0,0,528,0,0,528,0,0,0,0,528,0,0,0,0,0,528,548,"10,560"
new product,Powder factory,B-IPQSP16-W,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g,7,528,548,0,0,0,0,0,0,0,0,0,528,0,0,0,528,0,0,0,0,528,0,0,0,0,528,0,0,0,0,0,0,528,0,0,0,0,0,0,528,0,0,0,0,0,0,0,528,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,528,548,"4,752"
