Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
FW-AN1-EM/1,FW-AN1-EM,TUBE-GLNPGC100R0-E,Packaging Material,1,Pc(s),STIC-VMLMP9R0-IP,Liquid factory,FW-AN1-EM,FW-AN1-EM,,,FW-RPBCFLO-BULK,
FW-BS-EM50ML/8,FW-BS-EM50ML,TUBE-BSFW50R1-EPBL,Packaging Material,1,Pc(s),STIC-VPBDM01R1-MO,Liquid factory,FW-BS-EM50ML,FW-BS-EM50ML,,,TUBE-PBCFBOCRV50R1-W,
FW-BS-EM50ML/8,FW-BS-EM50ML,KB-EAR0-KMM125,Packaging Material,0.02,Pc(s),STIC-VPBDM02R1-MO,Liquid factory,FW-BS-EM50ML,FW-BS-EM50ML,,,KB-WLAMBDAR1-W,
FW-BS-EM50ML/8,FW-BS-EM50ML,FW-BS-BULK,Semi Finished Goods,0.05,kg,STIC-VPBDM03R1-MO,Liquid factory,FW-BS-EM50ML,FW-BS-EM50ML,,,FW-RPBCFLS-BULK,
FW-BSACNE-EM/2,FW-BSACNE-EM,KB-EBR1-KMK125CF,Packaging Material,0.05,Pc(s),STIC-VPCTWC01R1-MO,Liquid factory,FW-BSACNE-EM,FW-BSACNE-EM,,,TUBE-PBCFBSGRV100R1-W,
FW-BSACNE-EM/2,FW-BSACNE-EM,TUBE-BSAPFW100-EPBL,Packaging Material,1,Pc(s),STIC-VPCTWC02R1-MO,Liquid factory,FW-BSACNE-EM,FW-BSACNE-EM,,,KB-WT100R1-KMM125BF,
FW-BSACNE-EM/2,FW-BSACNE-EM,FW-BSACNE-BULK,Semi Finished Goods,0.1,kg,STIC-VPCTWC03R1-MO,Liquid factory,FW-BSACNE-EM,FW-BSACNE-EM,,,FW-RPBCFLS-BULK,
FW-BSACNEN2-EM/2,FW-BSACNEN2-EM,KB-EAR0-KMM125,Packaging Material,0.02,Pc(s),STIC-VPCTWC04R1-MO,Liquid factory,FW-BSACNEN2-EM,FW-BSACNEN2-EM,,,KB-WLAMBDAR1-W,
FW-BSACNEN2-EM/2,FW-BSACNEN2-EM,FW-BSACNE-BULK,Semi Finished Goods,0.05,kg,STIC-VPCTWC05R1-MO,Liquid factory,FW-BSACNEN2-EM,FW-BSACNEN2-EM,,,TUBE-PBCFBSGRV50R1-W,
FW-BSACNEN2-EM/2,FW-BSACNEN2-EM,TUBE-BSAPFW50R1-EPBL,Packaging Material,1,Pc(s),STIC-VPCTWC06R1-MO,Liquid factory,FW-BSACNEN2-EM,FW-BSACNEN2-EM,,,FW-RPHAS-BULK,
FW-BSN2-EM/5,FW-BSN2-EM,TUBE-BSFW100R1-EPBL,Packaging Material,1,Pc(s),STIC-VPCTWC07R1-MO,Liquid factory,FW-BSN2-EM,FW-BSN2-EM,,,TUBE-RPHAS-E,
FW-BSN2-EM/5,FW-BSN2-EM,FW-BS-BULK,Semi Finished Goods,0.1,kg,STIC-VPCTWC08R1-MO,Liquid factory,FW-BSN2-EM,FW-BSN2-EM,,,KB-EAR0-KMM125,
FW-BSN2-EM/5,FW-BSN2-EM,KB-EBR1-KMK125CF,Packaging Material,0.05,Pc(s),STIC-VPCTWCR01R1-MO,Liquid factory,FW-BSN2-EM,FW-BSN2-EM,,,FW-RRYAG-BULK,
FW-BSW-EM/2,FW-BSW-EM,FW-BSW-BULK,Semi Finished Goods,0.05,kg,STIC-VPCTWCR02R1-MO,Liquid factory,FW-BSW-EM,FW-BSW-EM,,,KB-WT100R1-KMM125BF,
