"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","DUS-SMULM04R0-E","Regular","1.0","Pc(s)"
"","","KB-EAR0-KMM125","Regular","0.01389","Pc(s)"
"MY-RCUSEFC01-W","4 (INLINE)","CUS-EFC01-BULK","Bulk","0.015","kg"
"","","CONT-EFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BEFCC01R0-W","Regular","1.0","Pc(s)"
"","","DUS-EFCC01R2-W","Regular","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"MY-TCIPPF01-W","2 (INLINE)","TC-IPPF01-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR11R0-IP","Regular","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR11R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"MY-TCIPPF02-W","2 (INLINE)","TC-IPPF02-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR22R0-IP","Regular","1.0","Pc(s)"
