Product Korporat Code,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
ACTI-ECFA-X,5.825242718,5.825242718,7.14695861,5.412639609,6.324061568,6.676536651,0,4.854368932,5.825242718,4.854368932,5.825242718,6.27185926,5.004729834,6.122987079,5.008363555,5.978475364,5.828876439,5.008363555,6.135341731,4.867450327,5.836870625,5.839050858,5.166705212,5.99306112,4.874049165,5.993823097,5.022194601,5.843462195,5.991607631,5.171821491,5.843462195,4.870408176,5.994521876,5.99600333,5.023648089,5.845649695,5.172527537,5.84931865,5.847837195,5.17470777,6.003299842,4.883518641,6.003271876,6.152863533,4.882827131,6.00181112,5.030210589,5.852938939,6.153618243,5.025842857,5.850017428,5.029511811,5.99743612,6.001077108,5.029511811,5.99962362,4.879150909,6.143394056,5.993830365,4.874768641,5.844922951,5.022187333,6.149257778,5.998162864,4.87769742,2.116883184,1.140152944,2.108846497
ACTI-ECTC-X,8.097692065,6.079135558,11.15787113,1.775431197,1.610207104,5.306761081,1.084978785,2.733375966,8.43637966,3.002437656,1.570712317,2.191827369,6.324807938,1.431251008,9.166865345,6.454598737,18.65520846,6.651337229,15.23363763,0.6523725152,10.02890869,7.211497711,6.617691178,11.75860095,16.88040209,17.09712372,4.893089429,5.944511032,7.082738035,12.74616711,4.536545036,8.396369058,14.7710496,2.519048708,11.68515184,6.249865044,6.019468526,7.801242212,2.370074035,20.71526745,6.837290044,2.367419703,5.743664969,17.36945301,7.904550297,7.608272559,8.962382462,11.3434775,7.037070887,9.634384041,7.314575673,5.537311668,7.923938313,2.688604527,16.32140155,12.52192267,4.687876749,13.36305223,3.114338799,4.951396045,5.07726157,14.79699815,9.862489473,1.443933414,11.99861706,0.5353077935,9.174231024,6.742871928
ACTI-ECTNOL-X,92.4232158,46.1669024,0.5364659686,46.61395738,46.52454638,0,46.43513539,46.2563134,0.1788219895,46.2563134,46.2563134,46.1669024,0.2682329843,46.2563134,46.34572439,0.08941099476,46.1669024,46.34572439,0.08941099476,46.43513539,46.43513539,46.1669024,0.08941099476,46.1669024,46.2563134,46.61395738,0.08941099476,46.34572439,46.1669024,0.08941099476,46.2563134,0.08941099476,46.34572439,46.34572439,0,46.2563134,0.2682329843,46.1669024,0.08941099476,46.2563134,0.1788219895,46.34572439,0.08941099476,46.1669024,46.1669024,0.1788219895,46.34572439,0.08941099476,46.43513539,0.08941099476,46.1669024,0,46.43513539,0.08941099476,46.2563134,0.1788219895,46.1669024,46.43513539,0.1788219895,46.1669024,0.08941099476,46.1669024,0.1788219895,46.34572439,0.08941099476,0,46.2563134,0.08941099476
ACTI-GRPLMD-X,0,0,0,0,0,7.72,21.28270923,0,0,0,18.53538462,18.38769231,18.46153846,0.01787076923,18.46153846,0,0,0,18.53538462,18.46153846,0.1360823937,18.38769231,18.46153846,0,0,0.03940387481,18.46153846,18.59265926,0,0,36.84923077,0,0,18.46153846,0.09667851886,18.57478849,0.07880774963,0,18.50094234,0.03940387481,36.88863464,0.09667851886,0,18.57478849,0.03940387481,0.03940387481,36.92307692,0.01787076923,0,0.03940387481,18.46650006,0.03940387481,18.57478849,18.46153846,18.51881311,0,0,0.1182116244,0,18.42709618,37.03632695,0.01787076923,18.46153846,0.03940387481,0,0.1182116244,0.03940387481,0
ACTI-GRR-X,0,0,0,0,0,6.145242718,0,0,0,0,0,0,0,0,0,5.825242718,0,0,0,0,0,0,0,0,2.175922619,5.825242718,0,0,0,0,0,0,0,0,5.825242718,0,0,0,0,0,0,0,0,2.175922619,5.825242718,0,0,0,0,0,0,0,0,0,5.825242718,0,0,0,0,0,0,2.175922619,0,0,5.825242718,0,0,0
ACTI-HAOL-X,0.01569680618,0.009708795901,0,0.009708795901,0,0.009708795901,0,0.01569680618,0,0.009708795901,0.02856929955,0,0.009708795901,0.005988010277,0,0.2086524852,0,0.009708795901,0.02856929955,0,0.01569680618,0,0,0.009708795901,0,0,0.04426610573,0.1989436893,0.009708795901,0,0,0.009708795901,0.005988010277,0,0.03827809545,0,0,0.009708795901,0.005988010277,0.009708795901,0,0.1989436893,0.009708795901,0.02856929955,0.005988010277,0.009708795901,0,0,0.009708795901,0,0.01569680618,0.02856929955,0,0.009708795901,0.1989436893,0,0.01569680618,0,0,0.03827809545,0,0,0.01569680618,0,0.009708795901,0,0,0
ACTI-HDR-X,138.0256813,5.906749905,16.55207022,2.395954807,4.634805002,6.393798573,369.7983869,903.4403519,3.478084872,116.8619933,10.51699866,6.856420046,10.47974635,652.5223701,609.2309276,10.65280329,7.088310969,4.519585751,116.7394585,1255.134336,7.746527418,9.785403549,12.79818076,297.2339124,10.24802502,366.3489387,100.6356083,8.41816811,4421.493421,6.393798573,9.887597145,360.9579035,910.1321131,4005.553187,13.7418236,3.362621474,7.841732091,359.7433457,26.96652916,3910.437386,23.75449054,8.419816964,2.9,713.1309288,5058.372255,7.608361908,11.23088816,6.685011962,3.09029761,9.418868369,4189.962132,3.362621474,105.2275372,203.9751731,6.683118961,3822.634942,1265.104132,4.715350319,509.0848919,15.01686977,10.92830349,3815.842772,563.698592,12.91249735,4.230026734,0.2912133891,98.00776256,0
ACTI-HFG-X,3500.063842,2931.579564,253.3152074,2237.942775,632.1659187,1994.287867,504.2025641,2331.452956,4885.674841,2184.121242,2781.007309,2035.943345,2281.722051,173.8125715,5133.904994,265.2369815,68.43591703,551.7652557,524.2594019,274.0257888,3031.567193,3186.911331,3271.554038,311.3728293,2270.82868,614.8095011,2631.96992,3256.532828,489.2304279,2062.700478,996.3943218,278.3285657,2281.417161,3245.441597,311.03971,3450.993082,42.87169742,254.5329727,2349.886307,3273.737457,1012.681487,2272.641573,295.1448574,495.6143173,350.3402297,2055.520541,3998.620865,15.53174581,3001.943683,1557.377848,258.9205726,2335.883568,3245.255385,275.1568952,2049.179435,568.7113002,28.56785742,287.6341683,4942.678299,568.2282714,2214.741439,2225.991924,38.1561432,271.2076592,5191.037046,16.49737035,402.0149485,1.747093434
ACTI-HXCTEC-X,0,0,0,0,0,0,29.82640063,0,0,0,0,0,0,29.82640063,0,0,0.9949944744,0,2.984983423,30.82139511,0,0,0,0,0,29.82640063,0,0,0,0,0,29.82640063,0,0,0,0.9949944744,29.82640063,0.9949944744,0,0.9949944744,0,29.82640063,0.9949944744,0,0,0.9949944744,29.82640063,0,0,0.9949944744,0,0.9949944744,29.82640063,0.9949944744,0,0,0.9949944744,29.82640063,0,0.9949944744,0,0,30.82139511,0,0.9949944744,0,0,30.82139511
ACTI-HYRP-X,0,0,0,0,0,0,0,0,0,0,0.2856929955,0,0,0,0,0.01989436893,0,0,0.2856929955,0,0,0,0,0,0,0,0.2856929955,0.01989436893,0,0,0,0,0,0,0.2856929955,0,0,0,0,0,0,0.01989436893,0,0.2856929955,0,0,0,0,0,0,0,0.2856929955,0,0,0.01989436893,0,0,0,0,0.2856929955,0,0,0,0,0,0,0,0
