Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Material Type,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
A-NTM-W40ML/5,A-NTM-W40ML,TUBE-ANTM40R1-W,1,Pc(s),Regular,0,23670,0,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,0
A-PFC-W60ML/6,A-PFC-W60ML,KB-K100R1-W,0.02778,Pc(s),Regular,1337,1337,0,0,1337,1337,0,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,0,0,0
A-PFC-W60ML/6,A-PFC-W60ML,TUBE-APFC60R2-W,1,Pc(s),Regular,48102,48102,0,0,48102,48102,0,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,0,0,0
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,BOTO-BNG100PVC-,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,CAP-BNG100P-,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,DUS-APFT100R1-WILG,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,KB-W100BR2-KMM125BF,0.05,Pc(s),Regular,409,409,0,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,409,409,0,409,409,409,0,0,0,409
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,PLU-BB100N-,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-BAPRT100-WGCE,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-FAPRT100-WGCE,1,Pc(s),Regular,8170,8170,0,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,8170,8170,0,8170,8170,8170,0,0,0,8170
A-SATG-W15ML/6,A-SATG-W15ML,KB-W100BR2-KMM125BF,0.02381,Pc(s),Regular,0,434,0,0,434,0,0,434,0,434,0,434,0,0,434,0,434,0,434,0,0,434,0,434,0,0,434,0,434,0,0,434,0,434,0,434,0,0,434,0,434,0,0,434,0,434,0,0,434,0,434,0,434,0,0,434,0,434,0,0,434,0,0,434,0,0,0,0,0
A-SATG-W15ML/6,A-SATG-W15ML,TUBE-ASATG15-W19LN,1,Pc(s),Regular,0,18211,0,0,18211,0,0,18211,0,18211,0,18211,0,0,18211,0,18211,0,18211,0,0,18211,0,18211,0,0,18211,0,18211,0,0,18211,0,18211,0,18211,0,0,18211,0,18211,0,0,18211,0,18211,0,0,18211,0,18211,0,18211,0,0,18211,0,18211,0,0,18211,0,0,18211,0,0,0,0,0
B-BSLP-EM/7,B-BSLP-EM,CAPS-BSLPR2-EM,1,Pc(s),Regular,37184,37184,21248,31872,31872,37184,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,22549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-BSLP-EM/7,B-BSLP-EM,KB-ECR1-KMK125CF,0.02778,Pc(s),Regular,1033,1033,591,886,886,1033,886,886,1033,886,886,886,1033,886,886,886,1033,886,886,886,1033,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-BSLP-EM/7,B-BSLP-EM,SHIF-STBSLPR1-EBS,1,Pc(s),Regular,37184,37184,21248,31872,31872,37184,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,22549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-CLCLPA-W/4,B-CLCLPA-W,CAPP-CMPR0-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,DUS-CMPR2-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,KB-GKMK-W,0.02083,Pc(s),Regular,49,25,25,25,49,25,25,25,25,49,25,25,49,25,49,49,25,49,25,49,49,25,49,49,25,49,25,49,49,25,49,25,49,49,25,49,49,25,49,25,49,49,25,49,25,49,49,25,49,49,25,49,25,49,49,25,49,25,49,25,49,25,25,49,25,25,25,0,25
B-CLCLPA-W/4,B-CLCLPA-W,POT-CMPR0-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,PUFF-CMPR0-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,SHIF-CMPR0-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,STIC-BCMP22NR1-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPA-W/4,B-CLCLPA-W,STIC-VCMP22NR1-W,1,Pc(s),Regular,2344,1172,1172,1172,2344,1172,1172,1172,1172,2344,1172,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,1172,2344,1172,2344,1172,2344,1172,1172,2344,1172,1172,1172,0,1172
B-CLCLPB-W/4,B-CLCLPB-W,CAPP-CMPR0-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,DUS-CMPR2-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,KB-GKMK-W,0.02083,Pc(s),Regular,25,49,25,49,25,25,49,49,49,25,49,49,49,49,25,49,49,49,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,25,49,49,49,49,25,49,49,49,25,49,25,49,25,49,25,0,25,25
B-CLCLPB-W/4,B-CLCLPB-W,POT-CMPR0-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,PUFF-CMPR0-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,SHIF-CMPR0-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,STIC-BCMP23WR1-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPB-W/4,B-CLCLPB-W,STIC-VCMP23WR1-W,1,Pc(s),Regular,1172,2344,1172,2344,1172,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,1172,2344,1172,2344,1172,2344,1172,0,1172,1172
B-CLCLPC-W/4,B-CLCLPC-W,CAPP-CMPR0-W,1,Pc(s),Regular,2344,2344,1172,2344,1172,1172,2344,1172,2344,1172,2344,1172,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,0,1172,1172,0
B-CLCLPC-W/4,B-CLCLPC-W,DUS-CMPR2-W,1,Pc(s),Regular,2344,2344,1172,2344,1172,1172,2344,1172,2344,1172,2344,1172,2344,1172,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,2344,2344,1172,2344,2344,1172,2344,1172,2344,2344,0,1172,1172,0
B-CLCLPC-W/4,B-CLCLPC-W,KB-GKMK-W,0.02083,Pc(s),Regular,49,49,25,49,25,25,49,25,49,25,49,25,49,25,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,49,49,25,49,49,25,49,25,49,49,0,25,25,0
