Korporat Code,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024
PEPE-850021-X,0,0,19.423256,0,4.8,0,0,0,0,0,0,0,4.8,0,0,19.423256,0,0,0,0,4.8,0,0,0,0,0,0,4.8,0,0,19.423256,0,0,0,0,4.8,0,0,0,0,0,0,0,4.8,0,19.423256,0,0,0,0,0,4.8,0,0,0,0,0,0,0,24.223256,0,0,0,0,0,0,0,0
PERF-PL-,0.334,0.157026,0,0.167324,0.157026,0.002483,0.326833,0.161992,0.169807,0.326833,0.159509,0.339614,0.326833,0.161992,0.334648,0.329316,0.159509,0.339614,0.159509,0.337131,0.32435,0.159509,0.337131,0.329316,0.159509,0.337131,0.32435,0.159509,0.337131,0.159509,0.49664,0.167324,0.159509,0.494157,0.169807,0.159509,0.494157,0,0.329316,0.337131,0.159509,0.494157,0.169807,0.157026,0.494157,0.002483,0.329316,0.494157,0,0.326833,0.494157,0.002483,0.494157,0.159509,0.169807,0.494157,0.002483,0.326833,0.494157,0,0.326833,0.337131,0.159509,0.337131,0.159509,0,0,0.167324
PLAS-P-D400-K,9.303,12.904363,4.274116,13.734971,12.167613,38.989847,37.00535,30.759333,41.578738,15.422086,18.737331,17.078075,11.592206,27.778784,42.889494,23.754156,12.265595,39.416382,43.993768,14.200672,22.899895,13.635303,46.251764,24.226845,18.356298,10.900012,17.242497,43.195268,15.438609,29.17791,32.321485,18.010815,45.44026,9.959188,29.106877,20.243175,22.622879,35.861106,28.35327,28.170931,20.764391,19.210139,11.931377,28.278326,17.426925,38.468162,39.418495,33.240752,19.956494,22.120016,18.874884,23.699676,15.772424,22.313176,32.299683,28.440704,16.898148,31.280786,47.251943,13.551565,20.449979,15.329838,45.205691,12.658139,14.356366,0.977859,1.464698,2.1755
POL-TRTRY-X,0.039,0.311591,0.038864,0.077728,0,0.038864,0.038864,0.330086,0,0.077728,0,0.368964,0.038864,0,0.077728,0,0.077728,0,0.330086,0.038864,0.038864,0,0.038864,0.038864,0,0,0.291236,0,0,0,0.291222,0,0,0,0,0,0.272727,0,0,0,0,0,0.582458,0,0,0,0,0,0,0,0,0,0,0,0.291222,0,0,0,0.291236,0,0,0,0,0,0,0,0,0
POL-U151-X,17.485,19.904526,27.035487,19.721484,14.437636,32.35327,39.058328,42.569836,48.355542,37.636791,42.221079,38.260999,27.820625,33.277183,45.411009,37.72398,27.604286,46.561191,62.607211,58.876577,67.717055,51.68751,22.24835,86.126559,47.1749,21.655831,35.324004,24.710566,26.55094,65.931395,74.26701,23.993933,17.973373,23.413012,22.642408,77.244825,42.477704,28.524076,19.961935,20.254771,25.457046,20.466666,25.432631,61.42507,19.9124,19.855681,25.114075,24.935072,20.703996,48.869133,24.978974,20.404912,24.714385,18.803856,19.922301,38.317115,36.559935,34.241819,20.073539,15.598554,22.312989,46.277971,19.187558,18.953397,25.219714,6.265207,3.5352,30.918132
POLA--GP2-K,0,9.708411,0,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,9.708411,0,9.708411,0,0,9.708411,0,0,9.708411,0,9.708411,0,0,0
POLY-E-2/032451-K,42.997087,32.049821,0.731313,22.032769,32.781134,32.781134,21.102503,23.665985,32.781134,32.049821,32.781134,32.781134,33.683037,32.049821,22.764082,21.833816,20.96437,33.683037,32.781134,32.049821,32.781134,22.764082,32.049821,33.683037,10.748365,32.781134,32.049821,32.781134,23.665985,32.049821,32.781134,32.781134,21.102503,22.597586,32.781134,22.032769,32.781134,32.781134,32.781134,32.951724,32.781134,21.833816,10.947318,32.781134,33.683037,32.049821,32.781134,32.781134,32.049821,12.718667,32.781134,21.695683,32.049821,32.781134,32.781134,32.951724,22.764082,32.781134,21.102503,21.695683,33.683037,32.049821,32.781134,22.764082,32.781134,0,0,0
POLY-M-MP27-K,128.441174,160.692852,108.056668,151.076867,145.533443,180.297778,180.424461,180.19449,173.19717,200.559847,202.206698,190.088218,144.836177,174.570813,184.057532,167.747226,165.841475,176.288741,176.395562,174.942249,167.931212,152.947167,247.839394,149.258077,220.737621,122.991749,129.576481,163.338548,147.004554,162.800076,176.88146,145.336759,188.049763,159.374888,217.673842,149.668337,160.188357,175.40358,189.36513,202.334199,163.985584,156.447093,161.216577,168.026274,143.347905,143.386286,223.313161,162.35298,167.071648,183.445121,179.014907,167.654323,159.232246,168.076449,175.288225,156.144266,156.033261,186.641995,168.078627,160.789482,140.800155,194.826093,187.230086,138.438856,156.647015,64.356577,82.364974,68.150944
POLY-MICOJ400-,34.954,8.738882,0,26.215899,26.808218,34.954781,35.485222,26.216647,34.953915,26.215899,26.808791,34.954781,26.215781,35.485515,34.954488,26.216647,35.546352,17.477765,43.69337,26.746633,26.215781,34.954781,35.546925,26.215781,26.215899,18.008499,43.69337,34.953915,18.070202,26.215899,26.216354,34.953915,26.747381,26.808336,26.215899,26.216354,34.953915,26.216647,26.746633,26.808791,34.953915,17.477765,26.215899,26.216647,43.692504,27.33907,17.477765,26.215899,34.955236,26.215781,0,1.123171,0,0,0,0,0.592437,0.530734,0,0,0,0,0.592437,0,0.530734,0,0,0
POW-SP50S-X,0.298,0,0.894598,0.298199,0.896398,2.134896,0,0.894597,0.298199,0.596398,0.298199,0.894597,0.593721,0.596398,0.596398,0.89192,0.298199,1.190119,0.298199,0.89192,0.298199,0.894597,0.295522,0.894597,0.89192,0.298199,0.596398,0.596398,0.596398,0.298199,0.596398,0.894597,0,0.894597,0.298199,0.596398,0.596398,0.596398,0.298199,0.596398,0.596398,0.596398,0.298199,0.894597,0.298199,0.596398,0.298199,0.894597,0.298199,0.596398,0.596398,0.596398,0.298199,0.596398,0.596398,0.596398,0.298199,0.894597,0,0.894597,0.298199,0.596398,0.596398,0.596398,0.596398,0.298199,0,0
POWD-9701-,44.192705,35.847972,19.102608,34.707609,33.208498,54.662992,71.161843,28.363951,104.749652,58.801562,20.987281,65.630299,39.818422,42.331911,50.953097,24.711743,45.61172,28.120547,63.671766,27.533832,39.255507,60.342484,49.564467,36.528146,51.425822,17.652722,39.41394,60.148932,35.439632,27.66682,66.335054,21.09959,81.165589,17.692017,37.655836,69.878634,20.4825,33.987649,55.835195,43.805441,48.432658,45.754033,18.817648,31.325368,51.669057,32.310972,28.134635,69.748506,40.431372,20.844217,60.372084,31.187685,45.295088,41.820039,50.446086,41.313339,24.264344,23.419433,81.292612,13.642853,45.349173,22.936117,56.939024,54.929772,15.672305,34.872379,18.016329,5.078191
POWD-GH52-X,16.555299,16.525668,4.064944,14.456187,22.190316,47.942518,99.325408,159.125507,386.149634,360.364425,463.127888,256.456045,250.645546,283.111223,303.733829,272.225446,305.015577,326.05474,270.295606,321.101428,261.924831,381.196469,433.008269,413.486453,387.724403,210.888925,229.77032,204.019842,234.65647,187.851077,289.369847,315.980146,326.682951,302.36734,409.78195,338.074841,336.206526,305.657397,377.559009,376.229781,369.043666,304.250114,290.621496,260.354538,284.292422,228.592987,314.115281,335.087629,322.237851,313.874359,325.416818,344.801171,387.770932,321.413407,342.445109,256.328624,215.859933,294.050041,274.513366,238.892111,336.603219,367.618323,319.258619,316.972256,281.55615,221.987827,322.398193,259.280464
POWD-GHDS-X,105.539908,174.252866,85.738906,163.018758,142.47082,159.066037,169.345894,170.340797,147.266796,186.932544,180.417623,148.795368,178.446324,169.101764,160.982817,186.001073,140.638063,178.310753,178.197807,142.728423,191.131261,158.579757,170.835463,166.008329,126.935831,202.967935,166.98226,168.724415,163.504351,161.500193,175.987262,168.092633,163.851121,154.027502,166.739671,176.475224,170.299666,163.666252,156.541694,173.723354,172.856783,165.390066,155.528365,163.774883,181.155296,159.64346,176.828712,158.443869,179.53707,135.789448,189.133879,126.026482,190.357744,186.019755,148.407969,174.858472,161.96055,180.815762,141.840159,185.577589,154.766193,174.71415,171.796817,166.235413,168.460015,6.827116,37.060298,22.09319
