Kode Item,UOM,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
BOTO-ALMR1-WPETG,Pc(s),0,0,0,0,0,0,0,0,0,27456,0,0,0,0,0,0,27456,0,0,0,0,0,0,27456,0,0,0,0,0,27456,0,0,0,0,0,0,27456,0,0,0,0,0,0,27456,0,0,0,0,0,27456,0,0,0,0,0,0,27456,0,0,0,0,0,0,0,27456,0,0,0,0
BOTO-ALUGBFM100-L,Pc(s),0,0,0,0,0,0,5837,0,0,0,0,0,0,5837,0,0,0,0,0,0,5837,0,0,0,0,0,0,5837,0,0,0,0,0,5837,0,0,0,0,0,5837,0,0,0,0,0,5837,0,0,0,0,0,0,5837,0,0,0,0,0,5837,0,0,0,0,0,5837,0,0,0,0
BOTO-APDHCP60-W,Pc(s),3960,0,0,0,2410,0,2410,0,616,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-BADS30R0-K,Pc(s),17470,17470,0,8735,0,8735,8540,8735,8735,0,8735,0,8735,8735,0,8735,0,8735,0,8735,8735,0,8735,0,8735,0,8735,8735,0,8735,0,8735,8735,0,8735,0,8735,0,8735,8735,0,8735,0,8735,8735,0,8735,0,8735,0,8735,8735,0,8735,0,8735,8735,0,8735,0,8735,0,8735,8735,0,0,8735,0,0
BOTO-BCBW200R1-K,Pc(s),4680,4680,14040,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,4680,4680,4680,9360,0,4680,0,4680
BOTO-BDMR0-MOPTG,Pc(s),0,3600,0,0,0,3486,0,0,0,0,3560,0,0,0,0,0,3486,0,0,0,0,0,0,0,0,0,3560,0,3486,0,0,0,0,0,0,0,3600,0,0,3486,0,3560,0,0,0,0,0,0,0,0,0,3486,0,0,0,0,0,3560,0,0,0,0,3486,0,0,0,0,0,0
BOTO-BNG100PVC-,Pc(s),8170,8170,0,8170,8170,13394,3788,8170,13394,11958,8170,13394,3788,8170,13394,11958,8170,13394,3788,8170,13394,11958,8170,13394,3788,8170,13394,11958,8170,11958,5224,8170,11958,13394,8170,11958,1436,11958,11958,9606,11958,11958,9606,3788,11958,9606,11958,11958,9606,3788,11958,9606,11958,11958,9606,3788,11958,8170,9606,8170,8170,1436,8170,11958,9606,0,3788,0,8170
BOTO-BOSR0-B,Pc(s),0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000,0,0,0,0,2000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-BSLPR2-EM,Pc(s),37184,37184,21248,31872,31872,37184,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,31872,31872,31872,37184,22549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-BWGT550-BD,Pc(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,5324,0
