Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
A-FPW3-BULK/Reference 26,A-FPW3-BULK,SERI-S-D-K,Raw Material,0.24000,kg
A-FPW3-BULK/Reference 26,A-FPW3-BULK,PEN-PRSVPE-X,Raw Material,0.00800,kg
A-FPW3-BULK/Reference 26,A-FPW3-BULK,PEN-SENSC50-X,Raw Material,0.00400,kg
A-FPW3-BULK/Reference 26,A-FPW3-BULK,EXTR-FS-I-K,Raw Material,0.00100,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SILI-2005-DC-K,Raw Material,0.04000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SOLV-BGKHN-X,Raw Material,0.05500,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,GLYC--ECOS-K,Raw Material,0.04000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,ASAM-SCAD-X,Raw Material,0.00500,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PROP-PGESK-X,Raw Material,0.00500,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PENG-PHC-X,Raw Material,0.00500,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,TRI--DOW-K,Raw Material,0.00533,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,CRIL---K,Raw Material,0.00800,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,EMUL-S60-X,Raw Material,0.01000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,THIC-MNTVL-X,Raw Material,0.00800,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SALA-99--K,Raw Material,0.02000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,THIC-SPVE10-X,Raw Material,0.02000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SILI-VLVDLG-X,Raw Material,0.05000,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,VCIP---K,Raw Material,0.00020,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PARF-SILK-,Raw Material,0.00050,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,EDT-B--K,Raw Material,0.00100,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SEPI-SPCA5-X,Raw Material,0.00100,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,ACTI-MEBSA-X,Raw Material,0.00100,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,CABO-M5-X,Raw Material,0.00170,kg
A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SNSP-SIH51-X,Raw Material,0.00500,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,TEGO-L7-1--K,Raw Material,0.15000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,PROP-PGESK-X,Raw Material,0.05000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,CUTI---K,Raw Material,0.01000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,TEXA---K,Raw Material,0.10000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,AQUA---K,Raw Material,0.01000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,MEDI-MDL-MGS,Raw Material,0.05000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,THIC-GLD120T-X,Raw Material,0.01500,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,EMUL-PLUP-X,Raw Material,0.03000,kg
