product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
PLU-PSBLF25LR0-OMG,PLU-PSBLF25LR0-OMG,PS Plug Bottle Liquid Foundation 25 mL Light OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IK02794,400,Pc(s),0,0,,,,,,,
PART-IRRPTMKLCR1-OMG,PART-IRRPTMKLCR1-OMG,Partisi Inner Box RRP Tester Matte KLC R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IL311021,6035,Pc(s),3473.33333333333,20961566.6666667,,,,,,,
PS-OMGPGT100-OMG,PS-OMGPGT100-OMG,Shrink Label Oh My Glow PG Toner 100 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JA191069,1007,Pc(s),357,359499,,,,,,,
WIPE-PSLTSR0-OMG,WIPE-PSLTSR0-OMG,PS Wiper Lip Tint Serum OMG,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/JB091109,200,Pc(s),0,0,,,,,,,
BOTO-PSLTSR0-OMG,BOTO-PSLTSR0-OMG,PS Botol Lip Tint Serum OMG,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/JB091110,200,Pc(s),7370.88,1474176,,,,,,,
CAPA-PSFJKLTS05R0-OMG,CAPA-PSFJKLTS05R0-OMG,PS Final Cap Applicator Juicy Kiss Lip Tint Serum 05 OMG,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/JB091111,200,Pc(s),0,0,,,,,,,
STIC-VMKLCCE14R0-OMG,STIC-VMKLCCE14R0-OMG,Sticker Varian Matte KLC Coffee Edition 14 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JB091106,272,Pc(s),30.0566119800116,8175.39845856314,,,,,,,
STIC-BMKLCCE15R0-OMG,STIC-BMKLCCE15R0-OMG,Sticker Bottom Matte KLC Coffee Edition 15 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JB091104,289,Pc(s),25.6761268781302,7420.40066777963,,,,,,,
DUS-PGM25-OMG,DUS-PGM25-OMG,Dus Peach Glowing Cream 25 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B,GPMJT6C/JA26030,574,Pc(s),547.889666558457,314488.668604554,,,,,,,
SACH-PGM75-OMG,SACH-PGM75-OMG,Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JB251134,194,Pc(s),642.959561415011,124734.154914512,,,,,,,
