Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
DUS-EOBIUBR0-B,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,
DUS-EOBRABR0-B,0,0,0,0,0,2150,0,0,0,0,0,0,0,2150,0,0,
DUS-EOBRBR0-B,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,
DUS-EOBSEBR0-B,0,0,0,0,0,2150,0,0,0,0,0,2150,0,0,0,0,
DUS-EOBSUBR0-B,0,0,0,0,0,2150,0,0,0,0,0,0,0,2150,0,0,
DUS-EOBTTBBR0-B,0,0,0,0,0,2150,0,0,0,0,0,0,0,2150,0,0,
DUS-EOSCBR0-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,
DUS-EOSER0-B,0,0,0,0,0,0,450,0,450,0,450,450,0,450,0,450,
DUS-EOSLGR0-B,446,842,842,842,842,842,842,842,842,842,842,842,842,842,842,842,
DUS-EOSLR0-B,0,0,0,0,0,2114,0,0,0,0,0,2114,0,0,0,0,
DUS-EOSLVR0-B,0,0,0,2077,0,0,0,0,2077,0,0,0,0,2077,0,0,
DUS-EOSOR0-B,0,0,0,450,450,450,450,0,450,450,450,450,450,450,450,450,
DUS-EOSPR0-B,0,2040,0,0,2040,0,0,2040,0,0,0,2040,0,0,2040,0,
DUS-EOSTTR0-B,0,0,0,0,0,0,0,450,0,450,0,450,0,450,450,0,
DUS-ERBSAS30R1-T,0,4107,0,0,0,0,4107,0,0,0,0,4107,0,0,0,0,
DUS-ESFBBLP-WIMLD,1883,0,1883,3766,1883,3766,1883,1883,3766,1883,3766,3766,1883,3766,0,1883,
DUS-ESLEL-WIM,0,24948,0,24948,24948,0,24948,24948,0,24948,24948,24948,0,24948,24948,0,
DUS-ESPNR1-MO,820,820,1640,1640,1640,1640,1640,1640,1640,1640,1640,2460,1640,1640,1640,1640,
DUS-ESPSR1-MO,0,0,460,460,460,460,460,460,460,460,460,460,460,460,460,460,
DUS-ETWCR5-W,21280,47810,92810,83680,82820,97390,87930,57610,97710,83830,82140,98040,83590,79220,97330,74110,
DUS-ETWCRR5-W,45590,83310,182225,153230,175385,191195,167895,115130,205860,160675,153050,213530,145560,167940,198640,160675,
DUS-EXEBK-WILG,1652,8260,9912,9912,8260,11564,8260,8260,9912,9912,8260,11564,8260,9912,9912,6608,
DUS-FCKR1-MO,0,1528,5348,3820,3056,4584,3056,2292,4584,3056,3820,3820,3820,3056,4584,3056,
DUS-GBBRS7-L,0,0,0,0,0,2750,0,0,0,0,0,2750,0,0,0,0,
DUS-GBHT100R0-L,0,0,0,0,2802,0,0,0,2802,0,2802,0,0,0,2802,0,
DUS-GBHT30-L,0,0,0,0,0,0,3330,0,0,0,0,3310,0,0,0,0,
DUS-GBMC100-L,0,5418,0,0,5418,0,0,0,5418,0,0,5418,0,0,0,5418,
DUS-GBMC15R0-L,0,0,0,0,0,0,1494,0,1494,0,0,1494,0,0,1494,0,
DUS-GBSNG50R0-L,0,3625,0,0,0,3625,0,0,0,3625,0,0,0,3625,0,0,
DUS-GBSRS20-L,0,0,0,0,0,4710,0,0,0,4710,0,4710,0,0,0,4710,
DUS-GCMR0-B,0,0,0,0,3214,0,2146,3214,2146,2146,5360,3219,3219,5360,1073,0,
DUS-GSBRC50R0-L,0,465,4255,3404,2553,4410,3528,2646,4210,3993,3776,3869,3838,3745,4954,4334,
DUS-GSRV01R0-E,0,71342,71342,35671,71342,71342,35671,35671,71342,71342,35671,71342,71342,35671,71342,35671,
DUS-GSRV02R0-E,0,11523,23046,23046,23046,23046,23046,11523,23046,23046,11523,23046,23046,23046,23046,11523,
DUS-GSRV03R0-E,0,0,21878,0,0,21878,0,0,0,21878,0,21878,21878,21878,21878,0,
DUS-GSRV04R0-E,0,11523,23046,23046,11523,23046,11523,11523,23046,23046,11523,23046,23046,11523,23046,11523,
DUS-GSRV05R0-E,0,23046,11523,23046,11523,23046,11523,11523,11523,23046,11523,11523,23046,11523,11523,23046,
DUS-GSRV06R0-E,0,43756,43756,21878,21878,43756,21878,21878,43756,43756,21878,43756,21878,43756,21878,43756,
DUS-GSRV07R0-E,0,65634,43756,21878,43756,43756,43756,21878,43756,43756,21878,43756,43756,43756,43756,43756,
DUS-GSRV08R0-E,0,23046,34569,23046,11523,34569,23046,11523,23046,23046,23046,34569,23046,23046,23046,23046,
DUS-GSRV09R0-E,0,34569,23046,23046,23046,34569,23046,11523,34569,23046,23046,23046,34569,23046,23046,23046,
DUS-GSRV10R0-E,0,23046,11523,23046,11523,23046,11523,11523,11523,23046,11523,23046,11523,23046,11523,23046,
DUS-HGFFIVR0-MO,2404,2404,15123,9064,7862,11517,8463,7862,9665,9064,7862,11517,9064,9665,9064,10916,
DUS-HGFHLR0-IP,0,2243,2243,0,2243,2243,2243,2243,0,2243,2243,0,4486,0,0,0,
DUS-HLGCIVR1-MO,8582,12883,26704,25621,17011,37155,19647,17674,33991,25723,27133,25656,23365,26717,28359,29843,
DUS-HLTB15IVR1-MO,3461,0,3461,6922,3461,10383,6922,6922,3461,10383,3461,6922,3461,6922,10383,0,
DUS-HRDAD17R0-W,0,8271,8271,0,8271,8271,8271,0,8271,8271,8271,8271,8271,8271,8271,0,
DUS-HRDAD40R0-W,0,0,6631,6631,6631,9922,6631,6631,6631,6631,6631,9922,6631,6631,6631,3340,
DUS-HRKR0-W,0,0,2707,0,2707,2707,2707,2707,2707,0,0,0,0,0,0,0,
DUS-HRMGSR0-W,9264,0,18379,0,18379,8667,449,0,0,0,0,0,0,0,0,0,
DUS-HRMRN17R0-W,0,7832,0,7832,0,7832,0,7832,0,7832,0,7832,7832,0,7832,0,
DUS-HRMRN40R0-W,0,0,5254,3503,6130,6130,2627,6130,6130,2627,6130,6130,6130,3503,5254,0,
DUS-HRPITR0-W,0,0,5763,9996,5763,0,15759,0,5763,5763,9996,5763,5763,0,15759,0,
