data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"BOTO-AFRBW-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-AFRBW-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-AFRBW-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-AFRBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-AFRBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-AFRBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-AFRBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
BOTO-AHRMS30R0-WSHAMROCK (HK) LIMITED,BOTO-AHRMS30R0-W,SHAMROCK (HK) LIMITED,50000
BOTO-AHRMS30R0-WSHAMROCK (HK) LIMITED,BOTO-AHRMS30R0-W,SHAMROCK (HK) LIMITED,50000
"BOTO-AIOPTFS100R0-KNATAMAS PLAST, PT",BOTO-AIOPTFS100R0-K,"NATAMAS PLAST, PT",10000
"BOTO-AIOPTFS100R0-KNATAMAS PLAST, PT",BOTO-AIOPTFS100R0-K,"NATAMAS PLAST, PT",10000
"BOTO-AIOPTFS100R0-KNATAMAS PLAST, PT",BOTO-AIOPTFS100R0-K,"NATAMAS PLAST, PT",10000
"BOTO-AIOPTFS100R0-KNATAMAS PLAST, PT",BOTO-AIOPTFS100R0-K,"NATAMAS PLAST, PT",10000
BOTO-AIOPTFS100R1-K0,BOTO-AIOPTFS100R1-K,0,0
"BOTO-ALMR1-WPETGESMIN CO., LTD.",BOTO-ALMR1-WPETG,"ESMIN CO., LTD.",24000
BOTO-ALMW-PGFB0,BOTO-ALMW-PGFB,0,0
"BOTO-ALUGBFM100-LGOLDION ALUMINDO UTAMA, PT",BOTO-ALUGBFM100-L,"GOLDION ALUMINDO UTAMA, PT",30000
"BOTO-APDHCP60-WDYNAPLAST, PT",BOTO-APDHCP60-W,"DYNAPLAST, PT",26000
"BOTO-BADS30R0-KNINGBO SOMEWANG PACKAGING CO., LTD",BOTO-BADS30R0-K,"NINGBO SOMEWANG PACKAGING CO., LTD",10000
"BOTO-BCBW-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-BCBW-K,"HIDAYAT PUTRA INDUSTRI, PT",8000
"BOTO-BCBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-BCBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
