internal_name,qty_done,internal_category
"[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing",25200.0,Packaging Material
"[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing",25200.0,Packaging Material
"[EXTR-WTCHPF-X] Witch Hazel Extract PF ex. Bioland, Korea",20.0,Raw Material
"[PEN-SENSC50-X] SENSIVA SC 50 ex. Schulke & Mayr GmbH, Germany",50.0,Raw Material
"[SUNS-PRSHMS-X] Parsol HMS ex DSM Nutritional Products, Ltd., Taiwan",100.0,Raw Material
"[SUNS-PR340-X] Parsol 340 ex DSM Nutritional Product (Origin : Sinobest Cosmeceutical Co., Ltd), China",150.0,Raw Material
"[SUNS-PR340-X] Parsol 340 ex DSM Nutritional Product (Origin : Sinobest Cosmeceutical Co., Ltd), China",350.0,Raw Material
"[SUNS-PRSHD-X] Parsol Shield ex DSM, Switzerland",80.0,Raw Material
"[CAP-BSFT100-E] Cap BS Face Toner 100 Emina, PP Natural, Matte Etching",6720.0,Packaging Material
"[BOTO-LFT125R2-W] Bottle Lightening Face Toner 125 ml REV-2 Wardah, PET 23.5 g, Blue Transluscent, 24/410. 2 pass print, BLANC, + QR & Claim",21240.0,Packaging Material
