"Product","Done"
"[KB-WEPSIR1-W] Karton Box Wardah Epsilon R1","8.0"
"[KB-W200R1-W] Karton Box Wardah 200 R1 (Pc(s))","14.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","1.0"
"[STIC-QRLC02R0-E] Sticker QR Code Lip Cushion 02 E","29.0"
"[KB-W100BR2-KMM125BF] Karton Box Wardah 100 Biasa R2","7.0"
"[STIC-BLMP4RR0-W] Sticker Bottom Lightening Matte Powder 04 Roll W","8.0"
"[IBOX-12BR0-MO] Inner Box 12 B MO (Pc(s))","2.0"
"[STIC-BCHCL1R0-MO] Sticker Bottom CHC Lipmatte 01 MO (Pc(s))","10.0"
"[KB-WBETAR1-W] Karton Box Wardah Beta R1","1.0"
"[BOTO-PTMLCR1-MO] Bottle Powerstay TM Lip Cream R1 MO (Pc(s))","3.0"
"[CAPA-PTMLCR1-MO] Cap+Applicator Powerstay TM Lip Cream R1 MO","3.0"
"[IBOX-CR0-MO] Inner Box C MO (Pc(s))","2.0"
"[STIC-BPTMLC4R0-MO] Sticker Bottom Powerstay TM Lip Cream B04 MO (Pc(s))","5.0"
"[STIC-VBPTMLCB04R0-MO] Sticker Varian Barcode Powerstay TM Lip Cream B04 Make Over","16.0"
"[PUFF-CPALT2R0-WP] Case/Container Puff Compact Powder ALT2 W Wardah","5.0"
"[CONT-ELELMR0-W] Container Ellie Everyday Luminous Emboss W (Pc(s))","26.0"
"[DUS-PMPFN10R0-MOILD] Dus Powerstay Matte Powder Foundation N10 MO","4810.0"
"[DUS-CDS17-WILG] Dus C-Defense Serum 17 ml Wardah","453.0"
"[DUS-EDTPRR0-WILD] Dus EDT Purity W","130.0"
"[DUS-GS05SDR1-E] Dus Glossy Stain 05 R1 E","177.0"
"[PLU-PELCFEC-WLD] Plug Pot Everyday Luminous CF Extra Cover Tiger Wardah","136.0"
"[BOTO-BR100SO-W] Botol PET BR 100 Snap On W","174.0"
"[DUS-LSA30R1-W] Dus Lightening Serum Ampoule 30 R1 W","110.0"
"[TUBE-PBCFOC1SO-W2L] Tube PB CF Brightening Oil Control 100 SO W (Pc(s))","3360.0"
"[BOTO-GS04PSR0-E] Bottle Glossy Stain 04 E","3757.0"
"[CAP-LLFRH-W] Cap LLF (R HS) W","175.0"
"[KB-WMUR0-KMM125] Karton Box Wardah Mu","300.0"
"[KB-WMUR0-KMM125] Karton Box Wardah Mu","4.0"
"[KB-WMUR0-KMM125] Karton Box Wardah Mu","34.0"
"[BOTP-HTADREV120-P] Botol Print Hair tonic Anti Dandruf REv-1 200ml Putri","88.0"
"[DUS-SGESRPMO-I3LG] Dus Shiny Glam Eye Shadow Refill Pack 55x13x60mm Make over","4970.0"
"[DUS-SGESRPMO-I3LG] Dus Shiny Glam Eye Shadow Refill Pack 55x13x60mm Make over","4970.0"
"[DUS-EFSLGR1-WACLG] Dus Everyday Fruity Sheer Lip Balm Grape R1 W","70.0"
"[CONT-LLR2-WMS] Container Longlasting Lipstick R2 W","4929.0"
"[CAPA-PTMLCR0-MO] Cap+Applicator Powerstay TM Lip Cream MO (Pc(s))","25200.0"
"[CAPA-PTMLCR0-MO] Cap+Applicator Powerstay TM Lip Cream MO (Pc(s))","24800.0"
"[CAPA-PTMLCR0-MO] Cap+Applicator Powerstay TM Lip Cream MO (Pc(s))","9600.0"
"[CAPA-PTMLCR0-MO] Cap+Applicator Powerstay TM Lip Cream MO (Pc(s))","50400.0"
"[CAPA-PTMLCR0-MO] Cap+Applicator Powerstay TM Lip Cream MO (Pc(s))","2255.0"
"[DUS-LPRL01R1-W] Dus Lightening Powder Foundation Refill LF 01 R1 W","2017.0"
"[TUBE-CSMMC100R0-W] Tube CS Melting Milk Cleanser 100 W","69.0"
"[TUBE-PBTUC20R0-W2L] Tube Perfect Bright Tone Up Cream 20 W (Pc(s))","1122.0"
"[TUBE-TPSMR0-K] Tube Triple Protection Sunscreen Moisturizer 30 K","91.0"
"[POT-CSRRC50R0-W] Pot Crystallure SR Rich Cream 50 W (Pc(s))","1760.0"
"[POT-CSRRC50R0-W] Pot Crystallure SR Rich Cream 50 W (Pc(s))","110.0"
"[CAP-BLFT125-W] Cap Lightening Face Toner 125 W","14040.0"
"[BOTP-HTH-P200] Botol Print Hair Tonic Hijau 200 ml Elm. putri","90.0"
"[DUS-PTMLC1R0-MO] Dus Powerstay TM Lip Cream B01 MO (Pc(s))","173.0"
"[DUS-PTMLC1R0-MO] Dus Powerstay TM Lip Cream B01 MO (Pc(s))","196.0"
"[DUS-PTMLC1R0-MO] Dus Powerstay TM Lip Cream B01 MO (Pc(s))","3800.0"
"[CONT-LUHMBR0-MOB] Case/Container Container Lipstick UHM B Make over","1228.0"
"[BOTO-NSS170-WHDPE] Bottle Nutri Shine Shampoo 170 W","34.0"
"[IBOX-12LITWCRR1-WDNF] Dus Ibox 12 Lightening TWCR R1 W Wardah","12.0"
"[DUS-EFSLSR0-WACLG] Dus Everyday Fruity Sheer Lip Balm Strawberry W","108.0"
"[CAP-HGFTSO-W] Cap Botol PET BR 100 Snap On W","423.0"
"[DUS-PMPFW41R0-MOILD] Dus Powerstay Matte Powder Foundation W41 MO","1749.0"
"[DUS-PMPFW41R0-MOILD] Dus Powerstay Matte Powder Foundation W41 MO","381.0"
"[DUS-PMPFC62R0-MOILD] Dus Powerstay Matte Powder Foundation C62 MO","1378.0"
"[DUS-PMPFC62R0-MOILD] Dus Powerstay Matte Powder Foundation C62 MO","123.0"
"[DUS-PMPFC62R0-MOILD] Dus Powerstay Matte Powder Foundation C62 MO","2709.0"
"[DUS-PMPFC62R0-MOILD] Dus Powerstay Matte Powder Foundation C62 MO","408.0"
"[DUS-PMPFC62R0-MOILD] Dus Powerstay Matte Powder Foundation C62 MO","622.0"
"[DUS-PPN50R1-MO] Dus Powerstay Matte Powder Foundation N50 R1 MO","1651.0"
"[DUS-PPN50R1-MO] Dus Powerstay Matte Powder Foundation N50 R1 MO","69.0"
"[DUS-PPN50R1-MO] Dus Powerstay Matte Powder Foundation N50 R1 MO","1725.0"
"[DUS-PPFN20R0-MOILD] Dus Powerstay Matte Powder Foundation N20 MO","706.0"
"[DUS-PPFN20R0-MOILD] Dus Powerstay Matte Powder Foundation N20 MO","514.0"
"[IBOX-RRPMKLCR0-OMG] Inner Box RRP Matte Kiss Lip Cream OMG","63.0"
"[DUSS-ANTM40R1-WM] Dus Sticker Acnederm Night Treatment Moisturizer 40 R1 WM","1360.0"
"[TUBE-UVSGMR0-W] Tube SA UVS ES Gel Moist W","24.0"
"[DUS-LBBCL30C-WILD] Dus LBBC Light 30 Cartoning Wardah","93.0"
"[CAPA-BDMR0-MOABS] Cap Applicator Brow Definer Mascara MO (Pc(s))","1158.0"
"[SPT-LMR0-EPPNF] Spatula Lip Mask E (Pc(s))","1432.0"
"[DUS-ETWC5R1-WRL] Dus Exclusive TWC 05 RL R1 W (Pc(s))","125.0"
"[DUS-PMPFW42R0-MOILD] Dus Powerstay Matte Powder Foundation W42 MO","3541.0"
"[SPT-LMR0-EPPNF] Spatula Lip Mask E (Pc(s))","585.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","2634.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","3130.0"
"[DUS-PMPFW42R1-MOILD] Dus Powerstay Matte Powder Foundation W42 R1 MO","243.0"
"[DUS-PMPFW42R1-MOILD] Dus Powerstay Matte Powder Foundation W42 R1 MO","128.0"
"[DUS-PMPFW42R1-MOILD] Dus Powerstay Matte Powder Foundation W42 R1 MO","925.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","70.0"
"[DUS-PMPFW33R1-MOILD] Dus Powerstay Matte Powder Foundation W33 R1 MO","31.0"
"[DUS-PMPFN10R1-MOILD] Dus Powerstay Matte Powder Foundation N10 R1 MO","3000.0"
"[DUS-PMPFN10R1-MOILD] Dus Powerstay Matte Powder Foundation N10 R1 MO","32.0"
"[DUS-PWLFW41CS-MOILD] Dus Powerstay WLF W41 Coral Sand MO","14.0"
"[DUS-PWLFW41CS-MOILD] Dus Powerstay WLF W41 Coral Sand MO","102.0"
"[DUS-PWLFW41CS-MOILD] Dus Powerstay WLF W41 Coral Sand MO","965.0"
"[DUS-PWLFN10M-MOILD] Dus Powerstay WLF N10 Marble MO","1651.0"
"[DUS-PWLFN10M-MOILD] Dus Powerstay WLF N10 Marble MO","255.0"
"[DUS-ETWC5R1-WRL] Dus Exclusive TWC 05 RL R1 W (Pc(s))","80.0"
"[DUS-ETWC5R1-WRL] Dus Exclusive TWC 05 RL R1 W (Pc(s))","256.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","160.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","414.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","528.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","414.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","160.0"
"[DUS-ETWC4R1-WRL] Dus Exclusive TWC 04 RL R1 W (Pc(s))","11.0"
"[DUS-ETWC2R2-WRL] Dus Exclusive TWC 02 RL R2 W","26.0"
"[DUS-ETWC2R2-WRL] Dus Exclusive TWC 02 RL R2 W","26.0"
"[DUS-ETWC2R1-WRL] Dus Exclusive TWC 02 RL R1 W (Pc(s))","169.0"
"[DUS-ELF05CBR1-WVG] Dus Exclusive Liquid Foundation 05 CB RL R1 W (Pc(s))","5400.0"
"[DUS-LPL03R0-W] Dus Lightening Powder Foundation LF 03 W (Pc(s)","770.0"
"[DUS-LPL03R0-W] Dus Lightening Powder Foundation LF 03 W (Pc(s)","1075.0"
"[DUS-ETWCR1R1-WRL] Dus Exclusive TWCR 01 RL R1 CRT W (Pc(s))","739.0"
"[DUS-ETWCR1R1-WRL] Dus Exclusive TWCR 01 RL R1 CRT W (Pc(s))","1065.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","333.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","636.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","212.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","463.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","333.0"
"[DUS-ETWCR1R2-WRL] Dus Exclusive TWCR 01 RL R2 CRT W","393.0"
"[DUS-ETWCR3R2-WRL] Dus Exclusive TWCR 03 RL R2 CRT W","1629.0"
"[DUS-ETWCR3R2-WRL] Dus Exclusive TWCR 03 RL R2 CRT W","150.0"
"[DUS-ETWCR3R2-WRL] Dus Exclusive TWCR 03 RL R2 CRT W","330.0"
"[DUS-ETWCR3R2-WRL] Dus Exclusive TWCR 03 RL R2 CRT W","16.0"
"[DUS-ETWCR3R2-WRL] Dus Exclusive TWCR 03 RL R2 CRT W","26.0"
"[DUS-PCTWCRR2-MOILG] Dus Dus PC TWC Refill R2 MO Make over","20000.0"
"[DUS-APBB-WACLG] Dus Acnederm Pore Blackhead Balm Wardah","330.0"
"[DUS-LPRL07R0-W] Dus Lightening Powder Foundation Refill LF 07 W","43.0"
"[DUS-ETWCR4R2-WRL] Dus Exclusive TWCR 04 RL R2 CRT W","350.0"
"[DUS-LPL03R0-W] Dus Lightening Powder Foundation LF 03 W (Pc(s)","70.0"
"[DUS-LPL03R0-W] Dus Lightening Powder Foundation LF 03 W (Pc(s)","227.0"
"[KB-WEPSIR1-W] Karton Box Wardah Epsilon R1","4.0"
"[KB-MOEBPR1-MO] Karton Box MO Eye Brow Pencil R1","1.0"
"[STIC-BCHCL4R0-MO] Sticker Bottom CHC Lipmatte 04 MO (Pc(s))","14.0"
"[KB-MOLUHM-265K150] Karton Box Lipstick Ultra Hi-Matte Uk.265x226x100mm Make ov","1.0"
"[STIC-BCIMC8R1-MO] Sticker Barcode Intense Matte Lip Cream 08 R1 MO (Pc(s))","16.0"
"[STIC-BIMLC08R1-MOMSF] Sticker Bottom IM Lip Cream 008 R1 MO","7.0"
"[KB-MOTWC3252-K150M12] Karton Box Make Over TWC Uk.325x245x68mm","1.0"
"[STIC-BPCTWC08R2-MO] Sticker Bottom Perfect Cover TWC 08 R2 MO","19.0"
