Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
STIC-BTLL3R2-W,Sticker Bottom Longlasting Lipstick 03 R2 W (Pc(s)),,,6435,124.8574193,existing,5000,0,0,No,Reguler,2023,2023
STIC-BTLL8R2-W,Sticker Bottom Longlasting Lipstick 08 R2 W (Pc(s)),,,11852,187.1795848,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-BTLL9R2-W,Sticker Bottom Longlasting Lipstick 09 R2 W (Pc(s)),,,8248,334.7332854,existing,5000,0,6,Yes,Reguler,2023,2023
STIC-BTLLCDPR1-MOMSF,Sticker Bottom LLC Drop-Dead Pink R1 MO,,,6005,0,inactive,0,0,0,Yes,Reguler,< 2019,< 2019
STIC-BTLLCHZR1-MOMSF,Sticker Bottom LLC Hazelnut R1 MO,,,4652,11.9809692,inactive,20000,0,0,Yes,Reguler,< 2019,2021
STIC-BTLLCMOR1-MOMSF,Sticker Bottom LLC Mad Orange R1 MO,,,6204,77,inactive,0,0,0,Yes,Reguler,< 2019,2020
STIC-BTLLCRBR1-MOMSF,Sticker Bottom LLC Red Babydoll R1 MO,,,5200,85,inactive,,0,0,Yes,Reguler,2019,2020
STIC-BTLLCSPR1-MOMSF,Sticker Bottom LLC Sweet Peach R1 MO,,,4955,16,inactive,20000,0,0,Yes,Reguler,2020,2021
STIC-BTMBSR0-MOPPSM,Sticker Bottom Moisture Balm Stick MO,,,3000,0,0,30000,0,0,Yes,Reguler,< 2019,< 2019
STIC-BTNLLP2R0-W,Sticker Bottom NFS Lightening Loose Powder 02 W (Pc(s),,,12307,13,inactive,,0,0,Yes,Reguler,< 2019,< 2019
STIC-BTNLLP3R0-W,Sticker Bottom NFS Lightening Loose Powder 03 W (Pc(s),,,8675,13,inactive,,0,0,Yes,Reguler,< 2019,< 2019
STIC-BTOR3-MO,Sticker Back Toner R3 MO (Pc(s)),,,9118,1239.883156,inactive,5000,0,0,Yes,Reguler,2021,2022
STIC-BTPEPR0-MOPSM,Sticker Bottom Powerstay Eyeshadow Primer MO (Pc(s)),,,2553,57,existing,4000,0,0,Yes,Reguler,2022,2023
STIC-BTPLTCR0-MO,Sticker Bottom PSG Lip Top Coat MO (Pc(s)),,,6212,23.99516671,existing,3000,0,14,No,Reguler,2023,2023
STIC-BTPMPFC21R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation C21 MO,,,8363,150,existing,3000,0,28,No,Reguler,2023,2023
STIC-BTPMPFC62R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation C62 MO,,,7740,256.4497182,existing,3000,0,0,No,Reguler,2021,2023
STIC-BTPMPFN10R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation N10 MO,,,14311,249.8961206,existing,3000,10000,16,No,Reguler,2023,2023
STIC-BTPMPFN30R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation N30 MO,,,20391,303.113764,existing,3000,15000,0,No,Reguler,2023,2023
STIC-BTPMPFW22R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation W22 MO,,,28355,266.6048342,existing,3000,24500,67,No,Reguler,2023,2023
STIC-BTPMPFW33R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation W33 MO,,,17809,287.3265709,existing,3000,14000,29,No,Reguler,2023,2023
STIC-BTPMPFW41R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation W41 MO,,,7090,147.7579738,existing,3000,3000,134,No,Reguler,2023,2023
STIC-BTPMPFW42R-MOSC,Sticker Bottom Powerstay Matte Powder Foundation W42 MO,,,4387,99.86277258,existing,3000,3000,43,No,Reguler,2023,2023
STIC-BTPMTPR0-MOPPWD,Sticker Bottom Powerstay Mattifying Transparent Powder MO,,,8920,283.7402845,existing,10000,0,57,No,Reguler,2023,2023
STIC-BTPRTM10L-MOSM,Sticker Bottom Powerskin RTM 10 Light MO (Pc(s)),,,8130,87.23171389,existing,5000,0,0,No,Reguler,< 2019,2023
STIC-BTPRTM20LB-MOSM,Sticker Bottom Powerskin RTM 20 Light Beige MO (Pc(s)),,,12314,101.1679587,existing,5000,0,0,No,Reguler,2021,2023
STIC-BTPRTM30B-MOSM,Sticker Bottom Powerskin RTM 30 Beige MO (Pc(s)),,,11391,96,existing,5000,0,0,Yes,Reguler,2020,2023
