Kebutuhan packaging: closing DSR April 2023,,,,,,Kebutuhan Produksi (by Forecast),,,,,,,,,,,,,,,,,,,,,,DON’T SORT WITH FORMULAE,,,,,,,,,,,,,,,,cek,Akumulasi FC,,,,Stock L6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Item,Nama Internal,Jenis,Brand,Stock (Pcs),Value (IDR),May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total Kebutuhan next 6 month,Total Kebutuhan next 16 month,Status Pack,Umur Stok (Month),Kategori Umur Stok Slobs,"Status Stok, SLOB > 6 bln",Stock SLOB (Pcs),Value SLOB,Last Incoming,"Last
SMB",Keterangan,MOQ,Umur MOQ,Rank Value SLOBS,Status Report April 23,Qty Report April 23,Value Report April 23,Kebutuhan Total Report April 23,Selisih Qty,Selisih Value,Rank Selisih Value,Laptrima,Pemusnahan,Reason Stock Bergerak,Static Stock,Rank Value Static Stock,"Kategori FG (NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Report Mei 23,Report April 23,Report Mar 23,Report Feb 23,Report Jan 23,Report Dec 22,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total,,Composite Key,Composite Key
BOTO-ADS170IIR0-WHDP,Bottle Anti Dandruff Shampoo 170 (II) W,,,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>16,>16 Bulan,Slow Moving,653,0.00,< 2019,< 2019,Tidak ada kebutuhan 16 bulan ke depan,0,,"2,207",Slow Moving,653,0,0,0,0,265,  - ,  - ,,Yes,"2,199",Reguler,653,  653 ,  653 ,  653 ,  887 ,  887 ,,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0.00,0
BOTO-ADS170R2-WHDPE,Bottle Anti Dandruff Shampoo 170 R2 W (Pc(s),,,"15,286","14,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to be discontinued,>16,>16 Bulan,Slow Moving,"15,286","14,187.54",2022,2022,Tidak ada kebutuhan 16 bulan ke depan,,,272,Slow Moving,"15,286","21,687,066",0,0,"-21,672,879","4,439",  - ,  - ,,Yes,413,Reguler,"15,286","  15,286 ","  13,849 ","  13,827 ","  34,118 ","  34,118 ",,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,15286,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"14,187.54","14,188"
BOTO-ADS170R3-WHDPE,Bottle Anti Dandruff Shampoo 170 R3 W,,,"29,827","19,981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"29,827","19,980.96",2023,< 2019,Tidak ada kebutuhan 16 bulan ke depan,"50,000",,194,Slow Moving,"29,827","49,664,341",0,0,"-49,644,360","4,627",  - ,  - ,,Yes,354,Reguler,"29,827","  29,827 ","  29,827 ","  29,827 ","  29,827 ", -,,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,29827,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"19,980.96","19,981"
BOTO-AFRBW-K,Bottle Acne Fight and Relaxing Body Wash 200 K,,,936,"6,496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to be discontinued,>16,>16 Bulan,Slow Moving,936,"6,496.00",2022,2022,Tidak ada kebutuhan 16 bulan ke depan,"30,000",,434,Slow Moving,"1,011","1,641,864",0,-75,"-1,635,368","3,591",  - ,  - ,,Yes,555,Reguler,936,"  1,011 ",  553 ,  777 ,  777 ,  777 ,,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"6,496.00","6,496"
BOTO-AFRBW200R1-K,Bottle Acne Fight and Relaxing Body Wash 200 R1 K,,,"88,653","65,352","4,648","32,536","27,888","23,240","18,592","27,888","23,240","18,592","27,888","23,240","23,240","27,888","23,240","23,240","27,888","23,240","134,792","376,488",existing,4,<6 Bulan,OK,0,0.00,2023,2023,,"30,000",0.08,"2,207",OK,"4,949","8,511,214","297,472","-4,949","-8,511,214","4,200",  - ,  - ,,No,"2,199",Reguler,"88,653","  121,149 ","  125,594 ","  44,959 ","  23,885 ","  21,882 ",,84005,51469,23581,341,-18251,-46139,-69379,-87971,-115859,-139099,-162339,-190227,-213467,-236707,-264595,-287835,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0
BOTO-AHRMS30R0-W,Bottle H Rose MG Serum 30 W,,,"63,701","99,264","9,264",0,"18,379",0,"18,379","8,667",449,0,0,0,0,0,0,0,0,0,"54,689","55,138",existing,>16,>16 Bulan,Slow Moving,"9,012","14,043.26",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"50,000",0.91,274,Slow Moving,"16,705","97,541,766","67,566","-7,693","-97,527,723","4,731",  - ,  - ,,No,"2,199",Reguler,"63,701","  81,106 ","  79,642 ","  80,557 ","  98,185 ","  107,108 ",,54437,54437,36058,36058,17679,9012,8563,8563,8563,8563,8563,8563,8563,8563,8563,8563,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"14,043.26",0
BOTO-AIOPTFS100R0-K,Bottle All-in-One Power Toning Face Spray 100 K,,,"13,887","18,256","5,361","24,095","21,060","17,160","17,160","21,840","17,160","12,480","21,840","17,160","16,380","21,840","17,160","17,160","21,060","17,160","106,676","286,076",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"10,000",0.03,"2,207",OK,0,0,"226,980",0,0,265,"  10,000 ",  - ,,No,"2,199",Reguler,"13,887","  14,901 ","  8,586 ","  5,701 ","  10,363 ","  19,069 ",,8526,-15569,-36629,-53789,-70949,-92789,-109949,-122429,-144269,-161429,-177809,-199649,-216809,-233969,-255029,-272189,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
BOTO-ALMR1-WPETG,Botol/Pot Botol Aqua Lash Mascara REV-1 Wardah,,,"109,925","19,036",0,0,"27,456",0,"27,456",0,"27,456","27,456",0,"27,456",0,"27,456","27,456",0,"27,456","27,456","54,912","247,104",existing,9,7-12 Bulan,Slow Moving,"55,013","9,526.91",2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"24,000",0.10,349,Slow Moving,"70,591","167,647,381","219,648","-15,578","-167,637,855","4,795","  36,000 ",  - ,,No,"2,199",Reguler,"109,925","  125,503 ","  125,503 ","  126,381 ","  126,381 ","  155,993 ",,109925,109925,82469,82469,55013,55013,27557,101,101,-27355,-27355,-54811,-82267,-82267,-109723,-137179,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,,"9,526.91",0
BOTO-ALUGBFM100-L,Botol Alu GB Face Mist 100 L,,,29,"6,408",0,0,"5,837","5,837",0,"5,837",0,"5,837","5,837",0,"5,837","5,837",0,"5,837","5,837","5,837","17,511","58,370",new product,2,<6 Bulan,OK,0,0.00,2022,2023,,"30,000",0.51,"2,207",OK,0,0,"49,590",0,0,265,  - ,  - ,,Yes,557,Reguler,29,  29 ,"  13,153 ","  18,239 ","  23,801 ","  23,801 ",,29,29,-5808,-11645,-11645,-17482,-17482,-23319,-29156,-29156,-34993,-40830,-40830,-46667,-52504,-58341,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,"6,408"
BOTO-APDHCP60-W,Botol Anti-Perspirant Deodorant Hajj Care 60 W,,,"27,233","6,180","3,960","2,410","3,872","3,384","3,384","4,230","3,384","2,538","1,418",0,0,0,0,0,0,0,"21,240","28,580",new product,8,7-12 Bulan,Slow Moving,"5,993","1,359.99",2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"26,000",0.91,904,Slow Moving,"15,331","15,790,930","19,800","-9,338","-15,789,570","4,363",  - ,  - ,,No,"2,199",,"27,233","  31,171 ","  39,970 ", -, -, -,,23273,20863,16991,13607,10223,5993,2609,71,-1347,-1347,-1347,-1347,-1347,-1347,-1347,-1347,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,,"1,359.99",0
