Kebutuhan packaging: closing DSR April 2023,,,,,,Kebutuhan Produksi (by Forecast),,,,,,,,,,,,,,,,,,,,,,DON’T SORT WITH FORMULAE,,,,,,,,,,,,,,,,cek,Akumulasi FC,,,,Stock L6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Item,Nama Internal,Jenis,Brand,Stock (Pcs),Value (IDR),May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total Kebutuhan next 6 month,Total Kebutuhan next 16 month,Status Pack,Umur Stok (Month),Kategori Umur Stok Slobs,"Status Stok, SLOB > 6 bln",Stock SLOB (Pcs),Value SLOB,Last Incoming,"Last
SMB",Keterangan,MOQ,Umur MOQ,Rank Value SLOBS,Status Report April 23,Qty Report April 23,Value Report April 23,Kebutuhan Total Report April 23,Selisih Qty,Selisih Value,Rank Selisih Value,Laptrima,Pemusnahan,Reason Stock Bergerak,Static Stock,Rank Value Static Stock,"Kategori FG (NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Report Mei 23,Report April 23,Report Mar 23,Report Feb 23,Report Jan 23,Report Dec 22,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total,,Composite Key,Composite Key
LEAF-CRYSAOCR0-W,Leaflet Crystallure SA Overnight Cream W (Pc(s)),,,"84,543","1,395",0,0,"5,562",0,"5,562",0,0,"5,562",0,"5,562",0,"5,562",0,0,"5,562",0,"11,124","33,372",existing,>16,>16 Bulan,Slow Moving,"73,419","1,211.68",2020,2023,,"50,000",1.50,939,Slow Moving,"76,821","15,312,280","33,372","-3,402","-15,311,068","4,356",  - ,  - ,,No,"2,199",Reguler,"84,543","  87,945 ","  96,137 ","  100,238 ","  100,238 ","  99,273 ",,84543,84543,78981,78981,73419,73419,73419,67857,67857,62295,62295,56733,56733,56733,51171,51171,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,211.68",0
LEAF-CRYSROSR0-W,Leaflet Crystallure SR Oil Serum W (Pc(s)),,,"20,563",398,"1,871",0,"3,742","1,871","1,871","1,871","1,871","1,871","1,871","3,742","1,871","1,871","1,871","1,871","3,742","1,871","11,226","33,678",existing,9,7-12 Bulan,Slow Moving,"9,337",180.72,2020,2023,,"50,000",1.48,"1,616",Slow Moving,"9,202","1,831,198","37,420",135,"-1,831,017","3,641",  - ,  - ,,No,"2,199",Reguler,"20,563","  22,299 ","  24,573 ","  26,444 ","  29,887 ","  31,615 ",,18692,18692,14950,13079,11208,9337,7466,5595,3724,-18,-1889,-3760,-5631,-7502,-11244,-13115,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,,180.72,0
LEAF-CRYSRRCR0-W,Leaflet Crystallure SR Rich Cream W (Pc(s)),,,"10,833",826,0,"3,692","3,692",0,"3,692","3,692","3,692",0,"3,692","3,692","3,692",0,"3,692","3,692","3,692","3,692","14,768","44,304",existing,4,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.45,"2,207",OK,0,0,"40,612",0,0,265,  - ,  - ,,No,"2,199",Reguler,"10,833","  14,313 ","  18,374 ","  24,242 ","  24,250 ","  7,753 ",,10833,7141,3449,3449,-243,-3935,-7627,-7627,-11319,-15011,-18703,-18703,-22395,-26087,-29779,-33471,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0
LEAF-CSCSPR0-W,Leaflet CS Crystal Skin Package W,,,"14,079",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"14,079",400.00,2022,2023,Tidak ada kebutuhan 16 bulan ke depan,"39,000",,"1,387",Slow Moving,"14,079","5,631,600",0,0,"-5,631,200","4,039",  - ,  - ,,Yes,"1,480",Reguler,"14,079","  14,079 ","  14,079 ","  14,134 ","  20,892 ","  20,892 ",,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,14079,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,400.00,400
LEAF-FP22-L,Leaflet Greeting Card Festive Package 2022 L,,,125,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,125,"1,000.00",< 2019,2022,Tidak ada kebutuhan 16 bulan ke depan,550,,"1,019",Slow Moving,125,"125,000",0,0,"-124,000","2,581",  - ,  - ,,Yes,"1,105",Reguler,125,  125 ,  125 ,  125 ,  125 ,  125 ,,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,000.00","1,000"
LEAF-GCHF-K,Leaflet Greeting Card Humbling Forest K,,,"2,072","1,550","2,145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,145","2,145",new product,0,<6 Bulan,OK,0,0.00,2023,2023,,"8,000",3.73,"2,207",OK,0,0,"2,145",0,0,265,  - ,  - ,,Yes,945,One Shot,"2,072","  2,072 ","  2,072 ","  4,204 ","  4,185 ", -,,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"1,550"
LEAF-GCIW-K,Leaflet Greeting Card Invigorating Waterfall K,,,"9,512","2,325",0,"1,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,167","1,167",new product,>16,>16 Bulan,Slow Moving,"8,345","2,039.75",2023,2023,,"8,000",6.86,780,Slow Moving,"11,353","8,798,575",0,"-3,008","-8,796,535","4,213",  - ,  - ,,No,"2,199",One Shot,"9,512","  11,353 ","  11,353 ","  2,708 ","  8,637 ", -,,9512,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,8345,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"2,039.75",0
LEAF-GCPH-K,Leaflet Greeting Card Paket Haji K,,,"7,992",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,"7,992",900.00,2023,< 2019,Tidak ada kebutuhan 16 bulan ke depan,"7,500",,"2,207",Discontinue,"7,992","7,192,800",0,0,"-7,191,900","4,127",  - ,  - ,,Yes,"1,160",Reguler,"7,992","  7,992 ","  7,992 ","  7,992 ", -, -,,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,900
LEAF-GCRO-K,Leaflet Greeting Card True Revered Oud K,,,"1,861",775,0,"2,145","1,426",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,571","3,571",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"8,000",2.24,"2,207",OK,0,0,"3,571",0,0,265,  - ,  - ,,Yes,"1,234",One Shot,"1,861","  1,861 ","  1,861 ","  3,998 ","  7,992 ", -,,1861,-284,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,-1710,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,775
LEAF-GCTB-K,Leaflet Greeting Card True Brotherhood K,,,"2,204","1,550",0,"1,167","1,167",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,334","2,334",new product,2,<6 Bulan,OK,0,0.00,2023,2023,,"8,000",3.43,"2,207",OK,0,0,"2,334",0,0,265,  - ,  - ,,Yes,945,One Shot,"2,204","  2,204 ","  2,204 ","  2,196 ","  6,694 ", -,,2204,1037,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,"1,550"
LEAF-GGARK-CL,Leaflet Greatest Glow AA Routine Kit CL,,,"1,226","1,940",0,0,"1,032",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,032","1,032",new product,>16,>16 Bulan,Slow Moving,194,306.98,2022,2023,,"2,000",1.94,"1,475",Slow Moving,194,"376,360","1,032",0,"-376,053","2,930",  - ,  - ,,Yes,870,One Shot,"1,226","  1,226 ","  1,226 ","  1,226 ","  1,024 ","  3,088 ",,1226,1226,194,194,194,194,194,194,194,194,194,194,194,194,194,194,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,306.98,"1,940"
LEAF-HSB22-L,Leaflet Healthy Skin Barrier 2022 L,,,5,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,5,"2,000.00",< 2019,2022,Tidak ada kebutuhan 16 bulan ke depan,"1,000",,785,Slow Moving,5,"10,000",0,0,"-8,000","2,285",  - ,  - ,,Yes,855,Reguler,5,  5 ,  5 ,  5 ,  5 ,  5 ,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"2,000.00","2,000"
LEAF-HUEP-L,Leaflet Haji & Umroh Essential Package L,,,"1,720","4,500",0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,new product,>16,>16 Bulan,Slow Moving,"1,592","4,165.12",2022,2023,,"2,400",18.75,568,Slow Moving,"1,720","3,870,000",128,-128,"-3,865,835","3,908",  - ,  - ,,Yes,643,One Shot,"1,720","  1,720 ",  123 ,  3 ,  3 ,"  1,958 ",,1720,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"4,165.12","4,500"
LEAF-HUMP-L,Leaflet Haji & Umroh Mini Package L,,,"2,514","1,000",0,0,0,0,0,0,0,0,0,0,418,0,418,0,0,418,0,"1,254",new product,>16,>16 Bulan,Slow Moving,"2,514","1,000.00",2022,2023,,"4,500",3.59,"1,019",Slow Moving,"2,514","2,514,000",836,0,"-2,513,000","3,759",  - ,  - ,,No,"2,199",One Shot,"2,514","  2,514 ","  2,514 ","  2,758 ","  2,758 ","  2,758 ",,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2096,2096,1678,1678,1678,1260,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,000.00",0
LEAF-MOBSPR22-MO,Leaflet Make Over Big Size Package Ramadhan 2022,,,36,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,36,600.00,< 2019,2022,Tidak ada kebutuhan 16 bulan ke depan,"1,000",,"2,207",Discontinue,36,"21,600",0,0,"-21,000","2,343",  - ,  - ,,Yes,"1,322",Reguler,36,  36 ,  36 ,  36 ,  36 ,  36 ,,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,600
LEAF-NLLPR0-W,Leaflet NFS Lightening Loose Powder W (Pc(s)),,,"22,069",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,"22,069",72.00,< 2019,< 2019,Tidak ada kebutuhan 16 bulan ke depan,,,"2,207",Discontinue,"22,069","1,588,968",0,0,"-1,588,896","3,576",  - ,  - ,,Yes,"1,936",Reguler,"22,069","  22,069 ","  22,069 ","  22,069 ","  22,069 ","  22,069 ",,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,22069,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,72
LEAF-PCTWCMO-ALD,Brosur Leaflet Perfect Cover TWC 150x75mm Make over,,,"51,420","3,358","8,768","29,224","47,924","37,844","37,028","45,772","36,360","24,624","45,128","34,876","37,028","39,328","37,844","34,060","43,620","37,028","206,560","576,456",existing,2,<6 Bulan,OK,0,0.00,2023,2023,,"10,000",0.02,"2,207",OK,0,0,"559,720",0,0,265,  - ,  - ,,No,"2,199",Reguler,"51,420","  84,337 ","  113,510 ","  64,589 ","  48,473 ","  37,400 ",,42652,13428,-34496,-72340,-109368,-155140,-191500,-216124,-261252,-296128,-333156,-372484,-410328,-444388,-488008,-525036,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
LEAF-RP23-W,Leaflet Ramadhan Package 2023 W,,,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,110,0.00,< 2019,2023,Tidak ada kebutuhan 16 bulan ke depan,"35,000",,"2,207",Slow Moving,110,0,0,0,0,265,  - ,  - ,,Yes,"2,199",NPD,110,  110 ,  110 ,  6 ,"  31,105 ","  35,497 ",,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0.00,0
LEAF-SBAR0-MO,Leaflet Stay Bold And Authentic MO,,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,43,0.00,< 2019,2021,Tidak ada kebutuhan 16 bulan ke depan,0,,"2,207",Discontinue,43,0,0,0,0,265,  - ,  - ,,Yes,"2,199",Reguler,43,  43 ,  43 ,  43 ,  43 ,  43 ,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,0
LEAF-SFR0-MO,Leaflet Stay Fabulous MO,,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,55,0.00,< 2019,2022,Tidak ada kebutuhan 16 bulan ke depan,0,,"2,207",Discontinue,55,0,0,0,0,265,  - ,  - ,,Yes,"2,199",Reguler,55,  55 ,  110 ,  55 ,  55 ,  55 ,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,0
LEAF-SGR0-MO,Leaflet Stay Gorgeous MO,,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,59,0.00,< 2019,2021,Tidak ada kebutuhan 16 bulan ke depan,0,,"2,207",Discontinue,59,0,0,0,0,265,  - ,  - ,,Yes,"2,199",Reguler,59,  59 ,  59 ,  59 ,  59 ,  59 ,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,0
LEAF-WR22-W,Leaflet Wardah Ramadhan 2022 W,,,"1,134",182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"1,134",182.00,2022,2022,Tidak ada kebutuhan 16 bulan ke depan,"50,000",,"1,614",Slow Moving,"1,134","206,388",0,0,"-206,206","2,714",  - ,  - ,,Yes,"1,686",Reguler,"1,134","  1,134 ","  1,134 ","  2,474 ","  1,340 ","  1,340 ",,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,182.00,182
LEL-BLR1MO-X,Liquid Eye Liner Black R1 MO,,,"5,550","122,478",0,0,0,0,0,0,0,0,0,"1,057","1,152","1,440","1,152","1,152","1,440","1,152",0,"8,545",existing,13,13-16 Bulan,Slow Moving,"5,550","122,478.32",2023,2022,MOQ lebih dari forecast 16 bulan ke depan,"5,000",0.59,18,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,  - ,  - ,,Yes,195,,"5,550",,  - ,  - ,  - ,  - ,,5550,5550,5550,5550,5550,5550,5550,5550,5550,4493,3341,1901,749,-403,-1843,-2995,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,13,,"122,478.32","122,478"
LINE-BOPALMOLDC-F410,"Case/Container Liner Blush On Pallete,d=36mm tbl=1mm (SO 23",,,"5,662",275,0,0,"6,048","8,256","5,600","8,256","8,256","4,864","8,992","8,256","8,256","8,992","8,256","4,864","8,992","8,256","28,160","106,144",existing,2,<6 Bulan,OK,0,0.00,2022,2023,,"50,000",0.47,"2,207",OK,0,0,"129,728",0,0,265,  - ,  - ,,No,"2,199",Reguler,"5,662","  9,911 ","  15,698 ","  25,307 ","  34,853 ","  41,005 ",,5662,5662,-386,-8642,-14242,-22498,-30754,-35618,-44610,-52866,-61122,-70114,-78370,-83234,-92226,-100482,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
LINE-CPR150-W,Liner Cap Pot Round 150 W,,,28,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>16,>16 Bulan,Slow Moving,28,315.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,"1,463",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  32,000 ",  - ,,No,"2,199",,28,,  - ,  - ,  - ,  - ,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,315.00,0
LINE-GPBW550-BD,Liner Gasket Pump Body Wash 550 BD,,,"49,950",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,initial,>16,>16 Bulan,Slow Moving,"49,950",63.00,< 2019,< 2019,Tidak ada kebutuhan 16 bulan ke depan,"50,000",,"1,924",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,  - ,  - ,,Yes,"1,960",,"49,950",,  - ,  - ,  - ,  - ,,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,49950,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,63.00,63
LINE-GPBW55023-BD,Liner Gasket Pump Body Wash 550 2.3 BD,,,"46,400",0,0,0,0,"1,776","12,424","1,776","1,776","12,424","3,552","14,200","1,776","14,200","8,876","1,776","14,200","1,776","15,976","90,532",0,9,7-12 Bulan,Slow Moving,"30,424",0.00,< 2019,2023,,"51,000",0.56,"2,207",OK,0,0,"340,720","30,424",0,265,  - ,  - ,,Yes,"2,199",,"46,400","  46,400 ",, -, -, -,,46400,46400,46400,44624,32200,30424,28648,16224,12672,-1528,-3304,-17504,-26380,-28156,-42356,-44132,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,,0.00,0
LINE-GPSFMR0-X,Liner Gasket Pump Spray FM,,,"23,442",286,0,0,"2,760",0,"2,760","2,760","2,760","2,760","2,760","2,760","2,760","5,520","2,760","2,760","2,760","2,760","8,280","38,640",existing,11,7-12 Bulan,Slow Moving,"15,162",184.93,2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.26,"1,611",Slow Moving,"10,092","577,100","39,655","5,070","-576,915","3,098",  - ,  - ,,No,"2,199",Reguler,"23,442","  25,954 ","  40,772 ","  23,882 ","  23,882 ","  23,882 ",,23442,23442,20682,20682,17922,15162,12402,9642,6882,4122,1362,-4158,-6918,-9678,-12438,-15198,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,11,,184.93,0
LINE-PGCTKHG10-W,Liner Pot Glass CTK Hydra Gel 10 W,,,"9,800",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"9,800",52.00,2020,2021,Tidak ada kebutuhan 16 bulan ke depan,"30,000",,"1,984",Slow Moving,"9,800","509,600",0,0,"-509,548","3,050",  - ,  - ,,Yes,"2,000",Reguler,"9,800","  9,800 ","  9,800 ","  9,800 ", -, -,,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,52.00,52
MASQ-EMFMBR0-X,Masquerade Face Mask Blueberry 23 Emina,,,48,"3,050",0,0,0,0,441,"8,358","6,696","5,034","8,358","6,696","6,696","8,358","6,696","6,696","7,830","6,120","8,799","77,979",existing,4,<6 Bulan,OK,0,0.00,2023,2023,,0,0.00,"2,207",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,  - ,  - ,,Yes,739,,48,,  - ,  - ,  - ,  - ,,48,48,48,48,-393,-8751,-15447,-20481,-28839,-35535,-42231,-50589,-57285,-63981,-71811,-77931,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,"3,050"
MASQ-EMFMPR2-X,Masquerade Face Mask Pomegranate 23 R2 Emina,,,78,"3,000",0,0,0,0,812,"10,715","8,572","6,429","10,859","9,628","9,628","12,011","9,628","9,628","11,531","9,148","11,527","108,589",to be discontinued,4,<6 Bulan,OK,0,0.00,2022,2023,,0,0.00,"2,207",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,  - ,  - ,,Yes,744,,78,,  - ,  - ,  - ,  - ,,78,78,78,78,-734,-11449,-20021,-26450,-37309,-46937,-56565,-68576,-78204,-87832,-99363,-108511,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,"3,000"
PAP-BSSR0-EPET,Papercard Bright Stuff Serum 7.5 PET E,,,"157,968","2,426","36,017","36,017","108,051","72,034","108,051","108,051","72,034",359,0,0,0,0,0,0,0,0,"468,221","540,614",existing,2,<6 Bulan,OK,0,0.00,2023,2023,,"75,000",0.14,"2,207",OK,0,0,"504,597",0,0,265,"  104,500 ",  - ,,No,"2,199",Reguler,"157,968","  123,685 ","  158,827 ","  185,555 ","  105,649 ","  141,394 ",,121951,85934,-22117,-94151,-202202,-310253,-382287,-382646,-382646,-382646,-382646,-382646,-382646,-382646,-382646,-382646,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
PAP-EBPBRR0-W,Blister Paper Eyebrow Pencil Brown W (Pc(s)),,,"2,800",513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,"2,800",513.00,2020,2021,Tidak ada kebutuhan 16 bulan ke depan,"200,000",,"2,207",Discontinue,"2,976","1,526,688",0,-176,"-1,526,175","3,553",  - ,  - ,,Yes,"1,399",Reguler,"2,800","  2,976 ","  2,976 ","  2,976 ","  2,976 ","  2,976 ",,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,513
PAP-EXBLSR0-W,Papercard EyeXpert Brow Lash Serum W,,,"36,043","1,184",0,0,"15,360","7,680","7,680","7,680","7,680","7,680","7,680","7,680","7,680","7,680","7,680","7,680","15,360",0,"38,400","115,200",new product,5,<6 Bulan,OK,0,0.00,2022,2023,,"50,000",0.43,"2,207",Slow Moving,"22,113","13,085,710","99,840","-22,113","-13,085,710","4,319",  - ,  - ,,No,"2,199",Reguler,"36,043","  52,833 ","  61,713 ","  61,027 ","  61,027 ","  61,027 ",,36043,36043,20683,13003,5323,-2357,-10037,-17717,-25397,-33077,-40757,-48437,-56117,-63797,-79157,-79157,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,,0,0
PAP-EXLWMR0-W,Papercard EyeXpert Liftlasting Waterproof Mascara W,,,"28,627","5,654","48,870",0,"48,870","48,870","48,870","48,870",0,"48,870","48,870",0,"48,870","48,870","48,870",0,"48,870","48,870","244,350","586,440",new product,0,<6 Bulan,OK,0,0.00,2023,2023,,"50,000",0.09,"2,207",OK,0,0,"488,700",0,0,265,  - ,  - ,,No,"2,199",Reguler,"28,627","  53,357 ","  103,808 ","  99,442 ","  104,953 ","  57,970 ",,-20243,-20243,-69113,-117983,-166853,-215723,-215723,-264593,-313463,-313463,-362333,-411203,-460073,-460073,-508943,-557813,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PAP-LIPM9-E,Papercard Lip Mask 9 E,,,"14,735",560,"40,902","62,443","73,045","72,878","72,711","83,313","62,443","52,008","93,581","62,443","72,878","83,146","72,878","62,443","83,313","62,443","405,292","1,112,868",existing,0,<6 Bulan,OK,0,0.00,2023,2023,,"50,000",0.04,"2,207",OK,0,0,"772,190",0,0,265,  - ,  - ,,No,"2,199",Reguler,"14,735","  37,666 ","  48,259 ","  90,692 ","  58,027 ","  23,773 ",,-26167,-88610,-161655,-234533,-307244,-390557,-453000,-505008,-598589,-661032,-733910,-817056,-889934,-952377,-1035690,-1098133,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PAP-LLC01LR0-W,Blister Paper Lightening Liquid Concealer 01 L W,,,"8,756","2,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to be discontinued,>16,>16 Bulan,Slow Moving,"8,756","2,172.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,756,Slow Moving,"8,756","3,169,672",0,0,"-3,167,500","3,843",  - ,  - ,,Yes,831,Reguler,"8,756","  8,756 ","  7,936 ","  2,500 ","  27,083 ","  49,951 ",,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"2,172.00","2,172"
PAP-LLC01LR1-W,Blister Paper Lightening Liquid Concealer 01 L R1 W,,,"91,795","1,148","37,156","37,337",182,0,0,0,0,0,0,0,0,0,0,0,0,0,"74,675","74,675",existing,>16,>16 Bulan,Slow Moving,"17,120",214.08,2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"50,000",0.67,"1,570",Slow Moving,"51,149","19,570,629","77,416","-34,029","-19,570,414","4,413",  - ,  - ,,No,"2,199",Reguler,"91,795","  128,565 ","  44,541 ","  66,020 ", -, -,,54639,17302,17120,17120,17120,17120,17120,17120,17120,17120,17120,17120,17120,17120,17120,17120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,214.08,0
PAP-LLC02BR0-W,Blister Paper Lightening Liquid Concealer 02 B W,,,"17,775","1,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to be discontinued,>16,>16 Bulan,Slow Moving,"17,775","1,809.96",2022,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,822,Slow Moving,"17,775","6,434,420",0,0,"-6,432,610","4,089",  - ,  - ,,Yes,892,Reguler,"17,775","  17,775 ","  16,475 ","  17,325 ","  17,325 ","  56,133 ",,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,17775,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,809.96","1,810"
PAP-LLC02BR1-W,Blister Paper Lightening Liquid Concealer 02 B R2 W,,,"89,604","1,614",0,"37,337","11,557",0,0,0,0,0,0,0,0,0,0,0,0,0,"48,894","48,894",existing,>16,>16 Bulan,Slow Moving,"40,710",733.43,2023,2023,,"50,000",1.02,"1,156",OK,0,0,"126,667","40,710",733,109,"  115,000 ",  - ,,No,"2,199",Reguler,"89,604","  36,022 ","  55,930 ","  41,967 ", -, -,,89604,52267,40710,40710,40710,40710,40710,40710,40710,40710,40710,40710,40710,40710,40710,40710,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,733.43,0
