KODE ITEM,STATUS 2
BOTO-G150WSPBCG-WHD,inactive
BOTO-G150WSSL-WH1P,inactive
BOTO-GA1302R1-MOF,existing
BOTO-GA1302RX-MO,existing
BOTO-GAACS15R1-W,inactive
BOTO-GAACS15R2-W,to be discontinued
BOTO-GAACS15R3-W,existing
BOTO-GAACS20-W,to be discontinued
BOTO-GAATS15-W,0
BOTO-GABHSR0-K,existing
BOTO-GABSR0-K,existing
BOTO-GAFBR0-MO,0
BOTO-GBBC40-L,new product
BOTO-GBFBC250-L,initial
BOTO-GBHT100R0-L,existing
BOTO-GBHT30-L,new product
BOTO-GBHT30PSF-L,new product
BOTO-GBMC100-L,existing
BOTO-GBMC225-X,new product
BOTO-GBSRS20-L,new product
BOTO-GCBCS20R0-BL,new product
BOTO-GCBCS20R1-B,0
BOTO-GCBE6R0-W,new product
BOTO-GCDSW-GPOP2W,existing
BOTO-GCSROSR0-W,existing
BOTO-GDRFTS120-CL,new product
BOTO-GEDT35R0-WF1W,0
BOTO-GEDTHF-K,existing
BOTO-GEDTIW-K,existing
BOTO-GEDTRO-K,existing
BOTO-GEDTTB-K,existing
BOTO-GELF20ML-GFRO,inactive
BOTO-GELFR1-W,new product
BOTO-GELFRLR0-W,existing
BOTO-GERBSAS30-W,0
BOTO-GFSBA15R0-GG,new product
BOTO-GFSDB15R0-GG,new product
BOTO-GHCIX986-GTB,inactive
BOTO-GHGFFR0-MO,existing
BOTO-GHLTBR0-MO,existing
BOTO-GLSA30R0-W,to be discontinued
BOTO-GLSA30R1-W,existing
BOTO-GMOA1302F-P1W,inactive
BOTO-GMOF986FTD-P2W,existing
BOTO-GMU30R-X,0
BOTO-GMUAF-MO,inactive
BOTO-GMUATB-MO,inactive
BOTO-GMUCLT-W,new product
BOTO-GMUCLT100-W,initial
BOTO-GMUCLT2-CL,new product
BOTO-GMUCSF-W,new product
BOTO-GMUSQB20R0-B,new product
BOTO-GNBHOR0-K,existing
BOTO-GNBO5-K,inactive
BOTO-GNBOR0-K,existing
BOTO-GNSMS30-T,new product
BOTO-GNZATS30-W,0
BOTO-GPCS20R0-BL,new product
