coitem,Level 1,Level 2,Level 3,week,year
CUS-DM02-EM,,,,23,2023
CUS-DM03-EM,,,,23,2023
CUS-DM04-EM,,,,23,2023
CUS-DM05-EM,,,,23,2023
CUS-DM06-EM,,,,23,2023
CUS-EL01-W,,,,23,2023
CUS-EL02-W,,,,23,2023
CUS-EL03-W,,,,23,2023
CUS-EL04-W,,,,23,2023
CUS-EL05-W,,,,23,2023
CUS-EL06-W,,,,23,2023
CUS-HLGCC31-MO,,,,23,2023
CUS-HLGCC41-MO,,,,23,2023
CUS-HLGCC51-MO,,,,23,2023
CUS-HLGCC62-MO,,,,23,2023
CUS-HLGCN20-MO,,,,23,2023
CUS-HLGCN40-MO,,,,23,2023
CUS-HLGCW12-MO,,,,23,2023
CUS-HLGCW21-MO,,,,23,2023
CUS-HLGCW30-MO,,,,23,2023
CUS-HLGCW32-MO,,,,23,2023
CUS-HLGCW50-MO,,,,23,2023
CUS-HLGCW60-MO,,,,23,2023
CUS-HLGN10-MO,,,,23,2023
CUS-HLGNC21-MO,,,,23,2023
CUS-HLGNN30-MO,,,,23,2023
CUS-HLGNN50-MO,,,,23,2023
CUS-HLGNW22-MO,,,,23,2023
CUS-HLGNW33-MO,,,,23,2023
CUS-HLGNW41-MO,,,,23,2023
CUS-HLGNW42-MO,,,,23,2023
CUS-IPA-W,,,,23,2023
CUS-IPB-W,,,,23,2023
CUS-IPC-W,,,,23,2023
CUS-IPD-W,,,,23,2023
CUS-IPE-W,,,,23,2023
CUS-IPF-W,,,,23,2023
CUS-PDMCC31-MO,,,,23,2023
CUS-PDMCC41-MO,,,,23,2023
CUS-PDMCC51-MO,,,,23,2023
CUS-PDMCC62-MO,,,,23,2023
CUS-PDMCN20-MO,,,,23,2023
CUS-PDMCN40-MO,,,,23,2023
CUS-PDMCN50-MO,,,,23,2023
CUS-PDMCW12-MO,,,,23,2023
CUS-PDMCW21-MO,,,,23,2023
CUS-PDMCW32-MO,,,,23,2023
CUS-PDMCW41-MO,,,,23,2023
CUS-PDMCW50-MO,,,,23,2023
CUS-PDMCW60-MO,,,,23,2023
CUS-R2EFC01-W,,,,23,2023
CUS-R2EFC02-W,,,,23,2023
CUS-R2EFC03-W,,,,23,2023
CUS-R2EFC04-W,,,,23,2023
CUS-R4PDMCC21-MO,,,,23,2023
CUS-R4PDMCC51-MO,,,,23,2023
CUS-R4PDMCN10-MO,,,,23,2023
CUS-R4PDMCN30-MO,,,,23,2023
CUS-R4PDMCN50-MO,,,,23,2023
CUS-R4PDMCW22-MO,,,,23,2023
CUS-R4PDMCW30-MO,,,,23,2023
CUS-R4PDMCW33-MO,,,,23,2023
CUS-R4PDMCW41-MO,,,,23,2023
CUS-R4PDMCW42-MO,,,,23,2023
CUS-REFIPRVA-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-REFIPRVB-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-REFIPRVC-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-REFIPRVD-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-REFIPRVE-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-REFIPRVF-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CUS-RPDMCC31-MO,,,,23,2023
CUS-RPDMCC41-MO,,,,23,2023
CUS-RPDMCC62-MO,,,,23,2023
CUS-RPDMCN20-MO,,,,23,2023
CUS-RPDMCN40-MO,,,,23,2023
CUS-RPDMCW12-MO,,,,23,2023
CUS-RPDMCW21-MO,,,,23,2023
CUS-RPDMCW32-MO,,,,23,2023
CUS-RPDMCW50-MO,,,,23,2023
CUS-RPDMCW60-MO,,,,23,2023
CUS-RREFC01-W,,,,23,2023
CUS-RREFC02-W,,,,23,2023
CUS-RREFC03-W,,,,23,2023
CUS-RREFC04-W,,,,23,2023
CUS-RVPDMCC21-MO,,,,23,2023
CUS-RVPDMCC51-MO,,,,23,2023
CUS-RVPDMCN10-MO,,,,23,2023
CUS-RVPDMCN30-MO,,,,23,2023
CUS-RVPDMCN50-MO,,,,23,2023
CUS-RVPDMCW22-MO,,,,23,2023
CUS-RVPDMCW30-MO,,,,23,2023
CUS-RVPDMCW33-MO,,,,23,2023
CUS-RVPDMCW41-MO,,,,23,2023
CUS-RVPDMCW42-MO,,,,23,2023
D-DEN01-B,,,,23,2023
D-NFSRO01N2-KA,,,,23,2023
D-NFSRO02N2-KA,,,,23,2023
D-NFSRRON2-KA,,,,23,2023
D-RO-KA,Supply,Packaging Material,,23,2023
D-RO01-KA,,,,23,2023
D-RO02-KA,,,,23,2023
D-RRO-KA,Supply,Production Capacity,Machine Capacity,23,2023
D-W1R1HER-W60ML,,,,23,2023
DDC-CDL-W20ML,,,,23,2023
DDC-CDN-W20ML,,,,23,2023
EB-ABBL-EM1.2GR,,,,23,2023
EB-ABBR-EM1.2GR,,,,23,2023
EB-DK01-MO,,,,23,2023
EB-DK02-MO,,,,23,2023
EB-DMCC-MO,,,,23,2023
EB-DMCL-MO,,,,23,2023
EB-DMLB-MO,,,,23,2023
EB-EK-W3G,,,,23,2023
EB-EXPMBD01-W,,,,23,2023
EB-EXPMBD02-W,,,,23,2023
EB-EXPMBD03-W,,,,23,2023
EB-IPB3M01-W5.5G,,,,23,2023
EB-IPB3M02-W5.5G,,,,23,2023
EB-IPEM01-W,,,,23,2023
EB-IPEM02-W,,,,23,2023
EB-IPEM03-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-IPEM04-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-IPEM05-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
"EB-PBE-MO1,14G",,,,23,2023
EB-PBHG-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
"EB-PBL-MO1,14G",,,,23,2023
EB-R2SEDA-MO,,,,23,2023
EB-R2SEDM-MO,,,,23,2023
EB-RDMCC-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-RDMCL-MO,Supply,Production Capacity,Machine Capacity,23,2023
EB-RDMLB-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-REPBL-W,,,,23,2023
EB-REPBR-W,,,,23,2023
EB-RIPB3M01-W,,,,23,2023
EB-RIPB3M02-W,,,,23,2023
EB-RIPBA-W,,,,23,2023
EB-RIPBB-W,,,,23,2023
EB-RIPEM01-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-RIPEM02-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EB-SMUEMA-EM,,,,23,2023
EB-SMUEMB-EM,,,,23,2023
EB-SMUEMC-EM,,,,23,2023
EB-TS-EM2.9GR,,,,23,2023
EC-RRYAG-W,,,,23,2023
EC-RWSB-W,,,,23,2023
EL-EDCPBL-EM0.2GR,,,,23,2023
EL-EDPBL-EM1GR,,,,23,2023
EL-EDPBR-EM1GR,,,,23,2023
EL-ELT-EM,,,,23,2023
EL-EOHB-W1GR,,,,23,2023
"EL-ESL-W3,5GR",,,,23,2023
EL-EXPELB-W,,,,23,2023
EL-HBS-MO1G,,,,23,2023
EL-IPHBR-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EL-IPHPB-W1G,,,,23,2023
"EL-LB-MO1,7ML",,,,23,2023
"EL-PBJ-MO1,2G",,,,23,2023
"EL-PBL-MO1,2G",,,,23,2023
"EL-PNB-MO1,2G",,,,23,2023
EL-PNS-MO1.2G,,,,23,2023
EL-PPLCB-MO2.7G,,,,23,2023
EL-PPLJB-MO2.7G,,,,23,2023
EL-PSL-MO1.2G,,,,23,2023
"EL-PWT-MO1,2G",,,,23,2023
EL-R2IPHPB-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
EL-W1B-WTA,,,,23,2023
EO-BOBR01-B,,,,23,2023
EO-BOCR01-B,,,,23,2023
EO-BOHF01-B,,,,23,2023
EO-BOLC01-B,,,,23,2023
EO-BOMB01-B,,,,23,2023
EO-BORF01-B,,,,23,2023
EO-BOSH01-B,,,,23,2023
EO-BOSN01-B,,,,23,2023
EO-BOTB01-B,,,,23,2023
EO-OKDS01-B,,,,23,2023
EO-OKPT01-B,,,,23,2023
EO-SOCB01-B,,,,23,2023
EO-SOEC01-B,,,,23,2023
EO-SOLD01-B,,,,23,2023
EO-SOLG01-B,Demand Opportunity,Over Perform,,23,2023
EO-SOLM01-B,,,,23,2023
EO-SOOR01-B,,,,23,2023
EO-SOPM01-B,,,,23,2023
EO-SOTT01-B,,,,23,2023
ES-CLPNB-W,,,,23,2023
ES-CLPPB-W,,,,23,2023
ES-CLPWP-W,,,,23,2023
"ES-ECL-W3,3GR",,,,23,2023
ES-EP01-W,,,,23,2023
ES-EP02-W,,,,23,2023
"ES-EPS-W3,3GR",,,,23,2023
ES-IPA-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
ES-IPB-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
ES-IPSCP-W,,,,23,2023
ES-PARR-MO,,,,23,2023
ES-PAUB-MO,,,,23,2023
ES-PEP24K-MO,,,,23,2023
ES-PEPFTG-MO,,,,23,2023
ES-PNU-MO10G,,,,23,2023
ES-PPR-MO,,,,23,2023
ES-PRPBK-EM3.3GR,,,,23,2023
ES-PRPBS-EM3.3GR,,,,23,2023
ES-PRPCB-EM3.3GR,,,,23,2023
ES-PRPGI-EM3.3GR,,,,23,2023
ES-PRPNS-EM3.3GR,,,,23,2023
ES-PRPPH-EM3.3GR,,,,23,2023
ES-PRPRP-EM3.3GR,,,,23,2023
ES-PSM-MO10G,,,,23,2023
ES-RTBG-MO,,,,23,2023
ES-RTEB-MO,,,,23,2023
ES-RTGE-MO,,,,23,2023
ES-RTIS-MO,,,,23,2023
ES-RTLAFS-MO,,,,23,2023
ES-RTNN-MO,,,,23,2023
ES-RTSB-MO,,,,23,2023
ES-SPG-MO2G,,,,23,2023
ES-SPS-MO2G,,,,23,2023
ES-TBG-MO6G,,,,23,2023
ES-TDOC-MO6G,,,,23,2023
ES-TEB-MO6G,,,,23,2023
ES-TENS-MO6G,,,,23,2023
ES-TGE-MO6G,,,,23,2023
ES-TIS-MO6G,,,,23,2023
ES-TLFS-MO6G,,,,23,2023
ES-TMFT-MO6G,,,,23,2023
ES-TN-MO6G,,,,23,2023
ES-TORN-MO,,,,23,2023
ES-TPEPI-MO,,,,23,2023
ES-TPUR-MO,,,,23,2023
ES-TSB-MO6G,,,,23,2023
"ES-W0I-W3,3GR",,,,23,2023
"ES-W1A-W3,3GR",,,,23,2023
"ES-W1G-W3,3GR",,,,23,2023
F-BWMM01-EM,,,,23,2023
F-BWMM02-EM,,,,23,2023
F-BWMM03-EM,,,,23,2023
F-BWMM04-EM,,,,23,2023
F-CLCMA-W,,,,23,2023
F-CLCMB-W,,,,23,2023
F-CLCMC-W,,,,23,2023
F-CLCMD-W,,,,23,2023
F-CLCME-W,,,,23,2023
F-CLCMF-W,,,,23,2023
F-CLCMG-W,,,,23,2023
F-CLCMH-W,,,,23,2023
F-EL01-W,,,,23,2023
F-EL02-W,,,,23,2023
F-EL03-W,,,,23,2023
F-EL04-W,,,,23,2023
F-EL05-W,,,,23,2023
F-EL06-W,,,,23,2023
F-EL07-W,,,,23,2023
F-EL08-W,,,,23,2023
F-EVLLF01-W,,,,23,2023
F-EVLLF02-W,,,,23,2023
F-EVLLF03-W,,,,23,2023
F-EVLLF04-W,,,,23,2023
F-EXL01-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-EXL02-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-EXL03-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-EXL04-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-EXL05-MO,,,,23,2023
F-EXL06-MO,,,,23,2023
F-EXL07-MO,,,,23,2023
F-EXL08-MO,,,,23,2023
F-EXL09-MO,,,,23,2023
F-EXL10-MO,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-EXL11-MO,,,,23,2023
F-EXL12-MO,,,,23,2023
F-HGFC21-MO,,,,23,2023
F-HGFN10-MO,,,,23,2023
F-HGFN30-MO,,,,23,2023
F-HGFW22-MO,,,,23,2023
F-HGFW33-MO,,,,23,2023
F-HGFW41-MO,,,,23,2023
F-HGFW42-MO,,,,23,2023
F-HGFW50-MO,,,,23,2023
F-IPSF11-W,,,,23,2023
F-IPSF12-W,,,,23,2023
F-IPSF13-W,,,,23,2023
F-IPSF14-W,,,,23,2023
F-IPSF15-W,,,,23,2023
F-IPSF16-W,,,,23,2023
F-L01-OMG,Demand Opportunity,Packaging Material,,23,2023
F-L02-OMG,Demand Opportunity,Production Capacity,Machine Capacity,23,2023
F-L03-OMG,Demand Opportunity,Packaging Material,,23,2023
F-L04-OMG,Demand Opportunity,Packaging Material,,23,2023
F-L05-OMG,Demand Opportunity,Production Capacity,Machine Capacity,23,2023
F-L06-OMG,,,,23,2023
F-LLF01-W,,,,23,2023
F-LLF02-W,,,,23,2023
F-LLF03-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-LLF04-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-LLF05-W,,,,23,2023
F-LLF06-W,,,,23,2023
F-LLFM-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-LLFM2-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-LLFM3-W,,,,23,2023
F-LLFM4-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
F-LLFM5-W,,,,23,2023
F-LLFM6-W,,,,23,2023
F-LUC01-MO33ML,,,,23,2023
F-LUC02-MO33ML,,,,23,2023
F-LUC03-MO33ML,,,,23,2023
F-LUC04-MO33ML,,,,23,2023
F-LUC05-MO33ML,,,,23,2023
F-LUC06-MO33ML,,,,23,2023
F-LUC07-MO33ML,,,,23,2023
F-LUC08-MO33ML,,,,23,2023
F-LUC09-MO33ML,,,,23,2023
F-PTCMCC62-MO,,,,23,2023
F-PTCMCN10-MO,,,,23,2023
F-PTCMCN30-MO,,,,23,2023
F-PTCMCN50-MO,,,,23,2023
F-PTCMCW22-MO,,,,23,2023
F-PTCMCW33-MO,,,,23,2023
F-PTCMCW42-MO,,,,23,2023
F-PTCMCW52-MO,,,,23,2023
F-RECF01-W,,,,23,2023
F-RECF02-W,,,,23,2023
F-RLLF01-W,,,,23,2023
F-RLLF02-W,,,,23,2023
F-RLLF03-W,,,,23,2023
F-RLLF04-W,,,,23,2023
F-RLLFM-W,,,,23,2023
F-RLLFM2-W,,,,23,2023
F-RLLFM3-W,,,,23,2023
F-RLLFM4-W,,,,23,2023
F-RRELF01-W,,,,23,2023
F-RRELF02-W,,,,23,2023
F-RRELF03-W,,,,23,2023
F-RRELF04-W,,,,23,2023
F-RRRELF05-W,,,,23,2023
F-RVLPWC21-MO,,,,23,2023
F-RVLPWC41-MO,,,,23,2023
F-RVLPWC51-MO,,,,23,2023
F-RVLPWC62-MO,,,,23,2023
F-RVLPWFC31-MO,,,,23,2023
F-RVLPWN10-MO,,,,23,2023
F-RVLPWN20-MO,,,,23,2023
F-RVLPWN30-MO,,,,23,2023
F-RVLPWN40-MO,,,,23,2023
F-RVLPWN50-MO,,,,23,2023
F-RVLPWW12-MO,,,,23,2023
F-RVLPWW21-MO,,,,23,2023
F-RVLPWW22-MO,,,,23,2023
F-RVLPWW30-MO,,,,23,2023
F-RVLPWW32-MO,,,,23,2023
F-RVLPWW33-MO,,,,23,2023
F-RVLPWW41-MO,,,,23,2023
F-RVLPWW42-MO,,,,23,2023
F-RVLPWW50-MO,,,,23,2023
F-RVLPWW60-MO,,,,23,2023
F-TCC-W,,,,23,2023
F-TCLE-W,,,,23,2023
F-TL01-OMG,,,,23,2023
F-TL02-OMG,,,,23,2023
F-TL03-OMG,,,,23,2023
F-TL04-OMG,,,,23,2023
F-TL05-OMG,,,,23,2023
F-TL06-OMG,,,,23,2023
F-WOECB5101-W10GR,,,,23,2023
F-WOECSP02-W10GR,,,,23,2023
FA-CLFLMHCP-W,,,,23,2023
FA-CLFMDHCP-W,,,,23,2023
FA-CLHP-EM,Distribution,Distribution,Distribution,23,2023
FA-CPFTSL-TA,,,,23,2023
FA-CPFTSN-TA,,,,23,2023
FA-EGH-W,,,,23,2023
FA-IPLGH01-W,,,,23,2023
FA-IPLGH02-W,,,,23,2023
FA-PFMS-MO50ML,,,,23,2023
FA-RGH-MO13G,,,,23,2023
FA-UGHP-MO,,,,23,2023
FL-P1-P720,,,,23,2023
FM-2IN1S-EM,,,,23,2023
FM-AH-EM60ML,,,,23,2023
FM-AIS-EM30G,,,,23,2023
FM-CDS-W,,,,23,2023
