"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"MASK-EL-BULK","FF.RND.M450.01 (Opsi 1 Grainy Wax)","100.0","WARN-UB902-X","Raw Material","0.5"
"","","","SILI-345-DC-K","Raw Material","13.0"
"","","","WARN-UTB990-X","Raw Material","4.0"
"","","","WAX-CDL204--X","Raw Material","3.0"
"","","","PURO-IDD-X","Raw Material","6.8"
"","","","SILI-DC749--X","Raw Material","7.0"
"","","","SILI-DCF-ID-X","Raw Material","8.0"
"","","","WAX-KHWXBA-X","Raw Material","6.0"
"","","","WAX-MCR146-X","Raw Material","7.0"
"","","","VITA-DL E-MS","Raw Material","0.1"
"","","","RHEO-PRKL2-X","Raw Material","2.3"
"","","","RHEO-PRTT2-X","Raw Material","2.2"
"","","","BENT-BGISDV-X","Raw Material","30.2"
"","","","ABIL-WE09-X","Raw Material","1.0"
"","","","SILI-556-DC-K","Raw Material","2.0"
"","","","AIR-RO--L","Raw Material","2.0"
"","","","TALC-OSBRTPD-X","Raw Material","1.5"
"","","","CABO-M5-X","Raw Material","1.0"
"","","","BUTY--DAI1,3","Raw Material","0.7"
"","","","ACTI-WDLS-X","Raw Material","0.5"
"","","","OIL-ARG-X","Raw Material","0.5"
"","","","ACTI-CPXY-X","Raw Material","0.2"
"","","","PENG-IPEG-X","Raw Material","0.5"
"FT-FT-BULK","5","1.0","EDT-B--K","Raw Material","0.001"
"","","","EMUL-DERMSOLP-","Raw Material","0.0002"
"","","","AIR-RO--L","Raw Material","0.91951"
"","","","EXTR-PCGD2SG-X","Raw Material","0.0001"
"","","","STAY--DSMR-K","Raw Material","5e-05"
"","","","PARF-PCGD2SG-X","Raw Material","9e-05"
"","","","VITA-DL E-MS","Raw Material","5e-05"
"","","","VITA-B3PC-X","Raw Material","0.003"
"","","","HUM-HXLGLC-X","Raw Material","0.01"
"","","","SOLV-DEASB-X","Raw Material","0.06"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","PEN-PRSVPE-X","Raw Material","0.005"
"FW-SBRDBR-BULK","4","1.0","SCRU-SRB52-X","Raw Material","0.00025"
"","","","EDT-B--K","Raw Material","0.0005"
"","","","EXTR-PTHXCLND-X","Raw Material","0.001"
"","","","MEDI-MDL-MGS","Raw Material","0.03"
"","","","PROP-PGESK-X","Raw Material","0.03"
"","","","EMUL-PLUP-X","Raw Material","0.03"
"","","","PEN-PRSVPE-X","Raw Material","0.005"
"","","","PENG-GL-LON","Raw Material","0.003"
"","","","PARF-BRCE-X","Raw Material","0.0005"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","SODA-C-ASA","Raw Material","0.0036"
"","","","GARA-VCNI-X","Raw Material","0.011"
"","","","BIO-HYAL-BIL","Raw Material","0.0001"
"","","","AIR-RO--L","Raw Material","0.43405"
"","","","GLYC--ECOS-K","Raw Material","0.05"
"","","","AMI-GCK12H-X","Raw Material","0.08"
"","","","TEXA---K","Raw Material","0.08"
"","","","TEGO-L7-1--K","Raw Material","0.1"
"","","","AQUA---K","Raw Material","0.1"
"","","","AJID--NL-K","Raw Material","0.04"
"F-IPSF13-BULK","FF.RND.W972.03","100.0","SILI-BDP-X","Raw Material","3.0"
"","","","NT---K","Raw Material","3.0"
"","","","EMO-SLCHS-X","Raw Material","0.5"
"","","","SILI-556-DC-K","Raw Material","1.4"
"","","","PWD-SYS-X","Raw Material","2.3"
"","","","COVB-LH8-","Raw Material","1.5"
"","","","WARN-S12RN217--K","Raw Material","0.35"
"","","","SUNP-170-X","Raw Material","2.0"
"","","","EMUL-KF6017-X","Raw Material","2.2"
"","","","ALAN--AK-K","Raw Material","0.1"
"","","","RHM-VLVABE-X","Raw Material","11.0"
"","","","PR-ZPRDL-X","Raw Material","5.0"
"","","","PEN-PRSVPE-X","Raw Material","0.8"
"","","","AIR-RO--L","Raw Material","30.0"
"","","","SILI-SFCM56-X","Raw Material","6.69"
"","","","EDT-B--K","Raw Material","0.05"
"","","","ABIL-EM90-X","Raw Material","0.3"
"","","","VITA-DL E-MS","Raw Material","0.5"
"","","","PEN-SENSC50-X","Raw Material","0.4"
"","","","POWD-SH219-X","Raw Material","0.5"
"","","","SILC-VM22A-X","Raw Material","0.4"
"","","","GLYC--ECOS-K","Raw Material","1.5"
"","","","THIC-RMGSO4-X","Raw Material","1.0"
"","","","TIT-MT60S-X","Raw Material","3.0"
"","","","BENT-BGVS5PC-X","Raw Material","2.25"
"","","","SILI-1640RSN-X","Raw Material","2.2"
"","","","UVIN-MC80-BASF","Raw Material","8.0"
"","","","WARN-S12YL--K","Raw Material","2.4"
"","","","WARN-TE--PBULK","Intermediate","0.06"
"","","","TITA-CROTS-X","Raw Material","7.57"
"","","","ACTI-ECTC-X","Raw Material","0.03"
"M-WHPG-BULK","FF.RND.W415.06","100.0","AIR-RO--L","Raw Material","74.716"
"","","","EXTR-WTCHPF-X","Raw Material","4.0"
"","","","CRO1-GTCC-","Raw Material","5.0"
"","","","SOLV-BGKHN-X","Raw Material","1.36"
"","","","WARN-K-BULK","Intermediate","0.021"
"","","","LAR-BE-BULK","Intermediate","0.939"
"","","","BHT-CRTL-X","Raw Material","0.1"
"","","","PARF-CFLYFGT-X","Raw Material","0.15"
"","","","ALAN--AK-K","Raw Material","0.2"
"","","","GLYC--ECOS-K","Raw Material","3.2"
"","","","SILI-1202-","Raw Material","3.0"
"","","","SQUA-AMYR-X","Raw Material","3.0"
"","","","TRI--DOW-K","Raw Material","0.314"
"","","","CHAM-COSM-","Raw Material","1.0"
"","","","THIC-NOVEEC1L-","Raw Material","0.9"
"","","","PANT--DL-K","Raw Material","0.5"
"","","","CARB-UT-","Raw Material","0.2"
"","","","PEN-EUXK900-X","Raw Material","0.8"
"","","","VITA-DL E-MS","Raw Material","0.1"
"","","","SILI-DC21-","Raw Material","0.5"
"ES-W1F-01 BULK","48","1.0","SERI-790-","Raw Material","0.15362"
"","","","WARN-CSW-9000S-K","Raw Material","0.3815"
"","","","WARN-YLW3AS-X","Raw Material","0.0097"
"","","","MICA--SIOI2-K","Raw Material","0.0586"
"","","","WARN-GT0600--K","Raw Material","0.13482"
"","","","WARN-TOA403-KF","Raw Material","0.00076"
"","","","NT---K","Raw Material","0.07"
"","","","POWD-TDMS-","Raw Material","0.06"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","COSM-222--K","Raw Material","0.063"
"","","","ZINC-M-KJZ10-K","Raw Material","0.06"
"FM-GS-BULK","16","1.0","AIR-RO--L","Raw Material","0.62991"
"","","","GLYC--ECOS-K","Raw Material","0.02"
"","","","GOHS-GS05C-X","Raw Material","0.03"
"","","","WARN-K-BULK","Intermediate","4e-05"
"","","","EMAL---K","Raw Material","0.01"
"","","","LBRJ-IIXD-X","Raw Material","0.015"
"","","","PROP-PPGULD-X","Raw Material","0.03"
"","","","EXTR-ALVGE-X","Raw Material","0.0005"
"","","","FUCO-15PSLB-X","Raw Material","0.005"
"","","","PENG-SYM68-X","Raw Material","0.005"
"","","","PENG-IPEG-X","Raw Material","0.008"
"","","","CRIL---K","Raw Material","0.01"
"","","","EDT-B--K","Raw Material","0.001"
"","","","WARN-LT--BULK","Intermediate","0.00066"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","OIL-ORJVA-X","Raw Material","0.002"
"","","","WARN-B-BULK","Intermediate","0.00014"
"","","","SOLV-DEASB-X","Raw Material","0.12"
"","","","EXTR-GS-","Raw Material","0.005"
"","","","GOHS-GS40C-X","Raw Material","0.1"
"","","","OIL-OLV300-X","Raw Material","0.002"
"","","","XANT---K","Raw Material","0.002"
"","","","PARF-GLIP-R 0714767","Raw Material","0.0015"
"","","","VITA-DL E-MS","Raw Material","0.00125"
"EB-EKC-BULK","FS.RND.W0006.00","100.0","WAX-B-BR","Raw Material","3.85"
"","","","WARN-S12RN217--K","Raw Material","0.6753"
"","","","BHT-CRTL-X","Raw Material","0.1"
"","","","OIL-BLWHMO-X","Raw Material","15.23"
"","","","COSM-222--K","Raw Material","9.0"
"","","","MWAX-SP19-X","Raw Material","7.7"
"","","","WARN-TE-A40BIOSC-K","Raw Material","0.4178"
"","","","WARN-S12YL--K","Raw Material","6.0587"
"","","","NIPA-S--K","Raw Material","0.1"
"","","","PARF-VL-R0701531","Raw Material","0.07"
"","","","ASO--KB-K","Raw Material","17.5"
"","","","PARF-VMR-X","Raw Material","0.035"
"","","","WAX-WHPRWT-X","Raw Material","13.09"
"","","","TITA-C-STCR5-K","Raw Material","18.1931"
"","","","BUTT-EBUSA-SBUR","Raw Material","4.62"
"","","","IPM-CRDSG-X","Raw Material","3.36"
"FT-BSE-BULK","FF.RND.T362.00","100.0","BIO-HYAL-BIL","Raw Material","0.01"
"","","","AIR-RO--L","Raw Material","88.614"
"","","","VITA-B3PC-X","Raw Material","0.05"
"","","","PARF-OSLF-SP119881-X","Raw Material","0.001"
"","","","EDT-B--K","Raw Material","0.1"
"","","","GLYC--ECOS-K","Raw Material","1.5"
"","","","EMUL-DERMSOLP-","Raw Material","0.01"
"","","","EXTR-SILVBG30-X","Raw Material","0.4"
"","","","PEN-EUXK900-X","Raw Material","0.1"
"","","","ALAN--AK-K","Raw Material","0.1"
"","","","PENG-CLRP-X","Raw Material","0.1"
"","","","EXF-GLDL-X","Raw Material","5.0"
"","","","MENT-FRGHS-X","Raw Material","0.015"
"","","","ACTI-HDR-X","Raw Material","2.0"
"","","","SALT-TSCD-X","Raw Material","2.0"
"HC-HF-BULK","FS.RND.W0019.00","100.0","MICO-MICBTMS50-X","Raw Material","4.0"
"","","","CETY---K","Raw Material","2.0"
"","","","COM-SKYCSR26-X","Raw Material","3.33"
"","","","EXP-EGS605147-X","Raw Material","0.1"
"","","","STA--C18-K","Raw Material","2.0"
"","","","EDT-B--K","Raw Material","0.1"
"","","","PARF-ODM3-X","Raw Material","0.3"
"","","","NUTR-NTKWPP-X","Raw Material","0.1"
"","","","OIL-RSOLIDS-X","Raw Material","0.01"
"","","","SILI-DC23-","Raw Material","3.0"
"","","","AIR-RO--L","Raw Material","84.56"
"","","","PEN-PRSVPE-X","Raw Material","0.5"
"F-L06-BULK","FF.RND.G044.03","100.0","SOLV-BGKHN-X","Raw Material","4.0"
"","","","ARMO-HD--K","Raw Material","4.5"
"","","","GLYC--ECOS-K","Raw Material","2.0"
"","","","GARA-RFS-X","Raw Material","0.8"
"","","","TIT-CR50HD-X","Raw Material","5.0"
"","","","CRLL-4-C-K","Raw Material","0.6"
"","","","EDT-B--K","Raw Material","0.05"
"","","","PARF-SOJMLF-X","Raw Material","0.05"
"","","","WARN-S12RN217--K","Raw Material","0.95"
"","","","STEA-DSP300-X","Raw Material","0.1"
"","","","PEN-PRSVPE-X","Raw Material","1.0"
"","","","BENT-BGISDV-X","Raw Material","2.0"
"","","","WARN-TE--PBULK","Intermediate","0.03"
"","","","OIL-OJJBIII-X","Raw Material","0.001"
"","","","UVIN-MC80-BASF","Raw Material","5.0"
"","","","WARN-S12YL--K","Raw Material","2.78"
"","","","EMUL-KF6017-X","Raw Material","2.0"
"","","","POWD-TDMS-","Raw Material","2.0"
"","","","PURO-IDD-X","Raw Material","6.5"
"","","","AIR-RO--L","Raw Material","56.129"
"","","","VITA-DL E-MS","Raw Material","0.01"
"","","","SALA-99--K","Raw Material","1.5"
"","","","AGF-9051-X","Raw Material","3.0"
"L-PVW06-BULK","FF.RND.M346.01","100.0","PARF-VMR-X","Raw Material","0.1"
"","","","AIR-RO--L","Raw Material","50.0"
"","","","EMUL-G50C-X","Raw Material","2.0"
"","","","VITA-DL E-MS","Raw Material","0.1"
"","","","WARN-C19012-DCR6-K","Raw Material","1.6"
"","","","BUTY--DAI1,3","Raw Material","5.0"
"","","","BENT-BGISDV-X","Raw Material","7.5"
"","","","EDT-B--K","Raw Material","0.05"
"","","","WARN-BLCK3AS-X","Raw Material","1.2"
"","","","CLR-URED3075-X","Raw Material","2.525"
"","","","CLR-URED328-X","Raw Material","0.85"
"","","","WARN-RED3AS-X","Raw Material","0.9"
"","","","EMUL-IS34R-X","Raw Material","1.0"
"","","","SILI-4515-","Raw Material","7.725"
"","","","PENG-NPGEHP-X","Raw Material","0.8"
"","","","ABIL-EM90-X","Raw Material","3.0"
"","","","SILI-DCF-ID-X","Raw Material","5.0"
"","","","PURO-IDD-X","Raw Material","1.75"
"","","","THIC-RMGSO4-X","Raw Material","1.0"
"","","","ACTI-TINTT-X","Raw Material","0.1"
"","","","TIT-401-X","Raw Material","0.2"
"","","","PENG-SYM68-X","Raw Material","0.6"
"","","","EUTA-G-X","Raw Material","6.75"
"","","","WARN-C196619-R6-K","Raw Material","0.2"
"","","","STB-TL-X","Raw Material","0.05"
"EB-DK-LB-BULK","FS.RND.M0004.00","100.0","PENG-PNX-X","Raw Material","0.8"
"","","","SCRU-MP220-X","Raw Material","5.0"
"","","","WARN-TE--PBULK","Intermediate","2.0"
"","","","POWD-TDMS-","Raw Material","10.0"
"","","","ZINC-STW-X","Raw Material","3.0"
"","","","WARN-C394--K","Raw Material","0.047"
"","","","WARN-YLW3AS-X","Raw Material","3.2"
"","","","POLY-M-MP27-K","Raw Material","5.0"
"","","","TIT-CR50AS-X","Raw Material","3.0"
"","","","EMU-DTC7-X","Raw Material","5.0"
"","","","SERI-OT2SFSE-","Raw Material","36.853"
"","","","WARN-BLCK-X","Raw Material","1.6"
"","","","WARN-TOA403-KF","Raw Material","19.5"
"","","","AGF-9051-X","Raw Material","5.0"
"EB-DK-DB-BULK","FS.RND.M0005.00","100.0","WARN-TOA403-KF","Raw Material","9.1518"
"","","","TITA-OTS2CR50-","Raw Material","4.0"
"","","","WARN-C394--K","Raw Material","0.176"
"","","","SERI-OT2SFSE-","Raw Material","45.1523"
"","","","WARN-BLCK-X","Raw Material","1.9357"
"","","","WARN-TE--PBULK","Intermediate","2.5642"
"","","","POLY-M-MP27-K","Raw Material","5.0"
"","","","ZINC-STW-X","Raw Material","2.0"
"","","","SCRU-MP220-X","Raw Material","5.0"
"","","","AGF-9051-X","Raw Material","5.0"
"","","","PENG-PNX-X","Raw Material","0.8"
"","","","EMU-DTC7-X","Raw Material","5.0"
"","","","TALK-C-STJADAITO-K","Raw Material","10.0"
"","","","WARN-GZ0075-X","Raw Material","0.22"
"","","","WARN-YLW3AS-X","Raw Material","4.0"
"F-L01-BULK","FF.RND.G039.03","100.0","VITA-DL E-MS","Raw Material","0.01"
"","","","OIL-OJJBIII-X","Raw Material","0.001"
"","","","UVIN-MC80-BASF","Raw Material","5.0"
"","","","ARMO-HD--K","Raw Material","4.5"
"","","","WARN-S12RN217--K","Raw Material","0.34"
"","","","PURO-IDD-X","Raw Material","6.5"
"","","","GARA-RFS-X","Raw Material","0.8"
"","","","PEN-PRSVPE-X","Raw Material","1.0"
"","","","AIR-RO--L","Raw Material","54.149"
"","","","SOLV-BGKHN-X","Raw Material","4.0"
"","","","STEA-DSP300-X","Raw Material","0.1"
"","","","PARF-SOJMLF-X","Raw Material","0.05"
"","","","AGF-9051-X","Raw Material","3.0"
"","","","EMUL-KF6017-X","Raw Material","2.0"
"","","","WARN-S12YL--K","Raw Material","0.9"
"","","","SALA-99--K","Raw Material","1.5"
"","","","POWD-TDMS-","Raw Material","2.0"
"","","","TIT-CR50HD-X","Raw Material","9.5"
"","","","GLYC--ECOS-K","Raw Material","2.0"
"","","","CRLL-4-C-K","Raw Material","0.6"
"","","","EDT-B--K","Raw Material","0.05"
"","","","BENT-BGISDV-X","Raw Material","2.0"
"EB-IPB3M02-BULK","FS.RND.IP0002.00","100.0","REW-PIB-","Raw Material","3.0"
"","","","BENT-TXID18-X","Raw Material","24.5"
"","","","PURO-IDD-X","Raw Material","27.138"
"","","","OIL-ARG-X","Raw Material","0.5"
"","","","VITA-DL E-MS","Raw Material","0.5"
"","","","WARN-C335138--K","Raw Material","0.2477"
"","","","PEN-PRSVPE-X","Raw Material","0.8"
"","","","CHOL-UNFP-X","Raw Material","2.0"
"","","","TITA-OTS2CR50-","Raw Material","0.3716"
"","","","WARN-ABIO-X","Raw Material","0.9419"
"","","","SILC-MKOL-X","Raw Material","3.0"
"","","","PEN-SENSC50-X","Raw Material","0.4"
"","","","SILI-DCF-ID-X","Raw Material","10.0"
"","","","SILI-DC-PSFCS-X","Raw Material","5.0"
"","","","OLIV-900BT-X","Raw Material","5.0"
"","","","WARN-C338--K","Raw Material","0.3182"
"","","","EMU-CDAJ-X","Raw Material","2.0"
"","","","WARN-COSG--K","Raw Material","0.2824"
"","","","SILC-VM22A-X","Raw Material","1.0"
"","","","THIC-TX85-X","Raw Material","1.5"
"","","","MWAX-SP19-X","Raw Material","1.0"
"","","","POL-TRTRY-X","Raw Material","1.0"
"","","","EMG-S65PSG-X","Raw Material","3.0"
"","","","WAX-CW--K","Raw Material","1.0"
"","","","POWD-H53-X","Raw Material","2.5"
"F-L04-BULK","FF.RND.G042.04","100.0","PURO-IDD-X","Raw Material","6.5"
"","","","PARF-SOJMLF-X","Raw Material","0.05"
"","","","GARA-RFS-X","Raw Material","0.8"
"","","","WARN-S12YL--K","Raw Material","1.5"
"","","","AIR-RO--L","Raw Material","56.359"
"","","","VITA-DL E-MS","Raw Material","0.01"
"","","","BENT-BGISDV-X","Raw Material","2.0"
"","","","STEA-DSP300-X","Raw Material","0.1"
"","","","PEN-PRSVPE-X","Raw Material","1.0"
"","","","CRLL-4-C-K","Raw Material","0.6"
"","","","GLYC--ECOS-K","Raw Material","2.0"
"","","","WARN-TE--PBULK","Intermediate","0.08"
"","","","SOLV-BGKHN-X","Raw Material","4.0"
"","","","POWD-TDMS-","Raw Material","2.0"
"","","","ARMO-HD--K","Raw Material","4.5"
"","","","UVIN-MC80-BASF","Raw Material","5.0"
"","","","EMUL-KF6017-X","Raw Material","2.0"
"","","","AGF-9051-X","Raw Material","3.0"
"","","","WARN-S12RN217--K","Raw Material","0.4"
"","","","EDT-B--K","Raw Material","0.05"
"","","","SALA-99--K","Raw Material","1.5"
"","","","OIL-OJJBIII-X","Raw Material","0.001"
"","","","TIT-CR50HD-X","Raw Material","6.55"
"EB-DMCL-BULK","FS.RND.M0002.00","100.0","EDT-B--K","Raw Material","0.1"
"","","","PANT--DL-K","Raw Material","2.0"
"","","","VITA-DL E-MS","Raw Material","0.5"
"","","","OIL-ARG-X","Raw Material","0.5"
"","","","PURO-IDD-X","Raw Material","30.1"
"","","","BENT-BGISDV-X","Raw Material","20.0"
"","","","EMG-S65PSG-X","Raw Material","2.5"
"","","","PEN-SENSC50-X","Raw Material","0.4"
"","","","GARA-RFS-X","Raw Material","0.5"
"","","","PENG-SYM68-X","Raw Material","0.6"
"","","","PEN-PRSVPE-X","Raw Material","0.8"
"","","","AIR-RO--L","Raw Material","15.0"
"","","","EMU-CDAJ-X","Raw Material","2.0"
"","","","SILC-VM22A-X","Raw Material","2.0"
"","","","WAX-CW--K","Raw Material","1.0"
"","","","POWD-H53-X","Raw Material","1.0"
"","","","SILC-MKOL-X","Raw Material","2.5"
"","","","CHOL-UNFP-X","Raw Material","2.0"
"","","","WARN-ABIO-X","Raw Material","0.6"
"","","","TITA-OTS2CR50-","Raw Material","0.625"
"","","","POL-TRTRY-X","Raw Material","1.0"
"","","","MWAX-SP19-X","Raw Material","1.0"
"","","","THIC-TX85-X","Raw Material","1.0"
"","","","REW-PIB-","Raw Material","2.0"
"","","","WARN-C338--K","Raw Material","0.875"
"","","","WARN-COSG--K","Raw Material","0.1"
"","","","OLIV-900BT-X","Raw Material","7.5"
"","","","SILI-BEL803-X","Raw Material","1.0"
"","","","WARN-C335138--K","Raw Material","0.8"
"F-L05-BULK","FF.RND.G043.03","100.0","STEA-DSP300-X","Raw Material","0.1"
"","","","CRLL-4-C-K","Raw Material","0.6"
"","","","WARN-S12RN217--K","Raw Material","0.56"
"","","","POWD-TDMS-","Raw Material","2.0"
"","","","WARN-S12YL--K","Raw Material","2.2"
"","","","TIT-CR50HD-X","Raw Material","7.0"
"","","","EMUL-KF6017-X","Raw Material","2.0"
"","","","EDT-B--K","Raw Material","0.05"
"","","","PEN-PRSVPE-X","Raw Material","1.0"
"","","","OIL-OJJBIII-X","Raw Material","0.001"
"","","","VITA-DL E-MS","Raw Material","0.01"
"","","","AIR-RO--L","Raw Material","55.109"
"","","","WARN-TE--PBULK","Intermediate","0.02"
"","","","AGF-9051-X","Raw Material","3.0"
"","","","PURO-IDD-X","Raw Material","6.5"
"","","","ARMO-HD--K","Raw Material","4.5"
"","","","GLYC--ECOS-K","Raw Material","2.0"
"","","","UVIN-MC80-BASF","Raw Material","5.0"
"","","","BENT-BGISDV-X","Raw Material","2.0"
"","","","GARA-RFS-X","Raw Material","0.8"
"","","","PARF-SOJMLF-X","Raw Material","0.05"
"","","","SALA-99--K","Raw Material","1.5"
"","","","SOLV-BGKHN-X","Raw Material","4.0"
"ES-EP01-W-04-BULK","9","1.0","ZINC-M-KJZ10-K","Raw Material","0.04"
"","","","WARN-6278MRN-X","Raw Material","0.0032"
"","","","WARN-6000G-","Raw Material","0.05"
"","","","WARN-9000-","Raw Material","0.085"
"","","","WARN-TOA403-KF","Raw Material","0.013"
"","","","WARN-CLONAR-424CB-K","Raw Material","0.014"
"","","","WARN-TNAB--K","Raw Material","0.0779"
"","","","TALK-C-STJADAITO-K","Raw Material","0.3529"
"","","","WARN-TE-A40BIOSC-K","Raw Material","0.0085"
"","","","COSM-222--K","Raw Material","0.035"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","NT---K","Raw Material","0.05"
"","","","WARN-GT0600--K","Raw Material","0.2625"
"B-IPQSP11-BULK","FF.RND.W707.04","100.0","WARN-BLCK3AS-X","Raw Material","0.02"
"","","","HALL-BHB-X","Raw Material","0.5"
"","","","TALC-OSBRTPD-X","Raw Material","11.56"
"","","","PEN-PRSVPE-X","Raw Material","0.8"
"","","","TOSP-2000B-X","Raw Material","3.0"
"","","","SILI-SP105-X","Raw Material","7.0"
"","","","AJID-ZN100-X","Raw Material","0.01"
"","","","TALC-C-2KPD-X","Raw Material","25.0"
"","","","UVIN-MC80-BASF","Raw Material","3.0"
"","","","ACTI-ECTC-X","Raw Material","0.01"
"","","","PARF-A5961-X","Raw Material","0.05"
"","","","COSM-222--K","Raw Material","0.24"
"","","","PEN-SENSC50-X","Raw Material","0.4"
"","","","TIT-CR50HD-X","Raw Material","0.9"
"","","","WARN-YLW3AS-X","Raw Material","0.3"
"","","","POWD-TDMS-","Raw Material","33.0"
"","","","POWD-9701-","Raw Material","3.0"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.2"
"","","","SILD--SI5H52D-K","Raw Material","4.0"
"","","","AMH-LL-X","Raw Material","4.0"
"","","","SUNS-PTX-X","Raw Material","3.0"
"","","","VITA-DL E-MS","Raw Material","0.01"
"HJ-P-BULK","15","300.0","PARF-LMS-","Raw Material","0.75"
"","","","AMON-A-KS","Raw Material","1.02"
"","","","CARB--94022,68-K","Raw Material","2.85"
"","","","CRIL---K","Raw Material","3.0"
"","","","GLYC--ECOS-K","Raw Material","4.5"
"","","","AIR-RO--L","Raw Material","247.908"
"","","","NIPA-G--K","Raw Material","0.3"
"","","","PEN-PRSVPE-X","Raw Material","1.8"
"","","","WARN-B-BULK","Intermediate","0.072"
"","","","SOLV-DEASB-X","Raw Material","36.0"
"","","","EMUL-DERMSOLP-","Raw Material","1.8"
"FW-AH-BULK","17","1.0","EXTR-ALVGE-X","Raw Material","0.001"
"","","","AMI-GCK12H-X","Raw Material","0.1"
"","","","TEGO-L7-1--K","Raw Material","0.1"
"","","","AJID--NL-K","Raw Material","0.02"
"","","","PENG-NPGEHP-X","Raw Material","0.005"
"","","","GLYC--ECOS-K","Raw Material","0.03"
"","","","EMUL-PLUP-X","Raw Material","0.03"
"","","","AQUA---K","Raw Material","0.1"
"","","","GARA-VCNI-X","Raw Material","0.003"
"","","","PENG-GL-LON","Raw Material","0.003"
"","","","MEDI-MDL-MGS","Raw Material","0.03"
"","","","TEXA---K","Raw Material","0.03"
"","","","PROP-PGESK-X","Raw Material","0.03"
"","","","SODA-C-ASA","Raw Material","0.0024"
"","","","EDT-B--K","Raw Material","0.0005"
"","","","AIR-RO--L","Raw Material","0.5151"
"HT-G1-BULK","44","1.0","MENT--CEPB-K","Raw Material","0.00109"
"","","","POLY-E-2/032451-K","Raw Material","0.01142"
"","","","SOLV-DEASB-X","Raw Material","0.43579"
"","","","PARF-PSVLF-X","Raw Material","0.00415"
"","","","WARN-K-BULK","Intermediate","0.000742"
"","","","EMUL-DERMSOLP-","Raw Material","0.001"
"","","","PANT--DL-K","Raw Material","0.001"
"","","","AIR-RO--L","Raw Material","0.5446"
"","","","WARN-B-BULK","Intermediate","0.000212"
"ES-CLPWP-01-BULK","FF.RND.W900.01","100.0","WARN-TOA403-KF","Raw Material","1.0"
"","","","ORGA-EXD-ARK","Raw Material","2.0"
"","","","ZINC-M-KJZ10-K","Raw Material","2.0"
"","","","COVB-LH8-","Raw Material","2.0"
"","","","POWD-HTTS-X","Raw Material","15.0"
"","","","PENG-PNX-X","Raw Material","0.8"
"","","","WARN-FW108S-X","Raw Material","3.17"
"","","","HAIM-DIS-X","Raw Material","5.0"
"","","","NT---K","Raw Material","3.0"
"","","","WARN-S12YL--K","Raw Material","20.8"
"","","","SERI-OT2SFSE-","Raw Material","38.23"
"","","","POWD-H53-X","Raw Material","2.0"
"","","","WARN-S12RR5161--K","Raw Material","5.0"
"FS-BSFS-BULK","4","1.0","STA--C18-K","Raw Material","0.045"
"","","","CETY---K","Raw Material","0.045"
"","","","EMUL-GMSNSE-X","Raw Material","0.04"
"","","","AIR-RO--L","Raw Material","0.69782"
"","","","VITA-DL E-MS","Raw Material","0.001"
"","","","OIL-ORJVA-X","Raw Material","0.01308"
"","","","EXTR-LCRG-X","Raw Material","0.0001"
"","","","EXTR-SILVBG30-X","Raw Material","0.0005"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","IPM-CRDSG-X","Raw Material","0.015"
"","","","PENG-NPGEHP-X","Raw Material","0.01"
"","","","WAX-LNALWJ-X","Raw Material","0.015"
"","","","GLYC--ECOS-K","Raw Material","0.015"
"","","","VITA-B3PC-X","Raw Material","0.02"
"","","","SCRU-SPN22-X","Raw Material","0.02"
"","","","LANO-AN--K","Raw Material","0.025"
"","","","SCRU-SRBB50-X","Raw Material","0.01"
"","","","PARF-AVHR15-X","Raw Material","0.002"
"","","","EMAL---K","Raw Material","0.0125"
"","","","SCRU-ECBTS-X","Raw Material","0.012"
"L-RRIPLMP08-BULK","FF.RND.W1002.01","100.0","WARN-C19011-R7CL-K","Raw Material","1.1985"
"","","","EMU-ACT-X","Raw Material","1.1"
"","","","WARN-C338--K","Raw Material","7.0699"
"","","","WARN-C196619-R6-K","Raw Material","0.5026"
"","","","WAX-PFRMSW-X","Raw Material","2.0"
"","","","PARF-VMR-X","Raw Material","0.01"
"","","","ACTI-ECTC-X","Raw Material","0.03"
"","","","ALUM-MN10D-X","Raw Material","0.1"
"","","","SUN-MP-X","Raw Material","3.0"
"","","","EKS-GTLE-X","Raw Material","0.1"
"","","","SILS-034-X","Raw Material","1.0"
"","","","WARN-UNK753-X","Raw Material","0.02"
"","","","EXTR-KFGLYEX-X","Raw Material","0.1"
"","","","HAIM-DIS-X","Raw Material","4.5"
"","","","PEN-SENSC50-X","Raw Material","0.4"
"","","","WARN-ABIO-X","Raw Material","0.998"
"","","","VITA-DL E-MS","Raw Material","0.2"
"","","","OIL-OJJBIII-X","Raw Material","0.5"
"","","","CREA-01HPB-X","Raw Material","19.0"
"","","","SILI-ECDC-X","Raw Material","24.0"
"","","","BENT-BGVS5PC-X","Raw Material","8.5"
"","","","PURO-IDD-X","Raw Material","11.89"
