"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"B-CLCLPC-BULK","FS.RND.W0295.00","1.0","TALC-OSBRTPD-X","Raw Material","0.698072"
"","","","CORN---K","Raw Material","0.2"
"","","","TITA-C-STCR5-K","Raw Material","0.04"
"","","","SERI-GH202-X","Raw Material","0.02"
"","","","ZINC-STW-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILI-2005-DC-K","Raw Material","0.005"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","ACTM-CTLA-X","Raw Material","0.0001"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","WARN-COGO--K","Raw Material","0.009544"
"","","","WARN-CLRG-X","Raw Material","0.002996"
"","","","WARN-ABIO-X","Raw Material","0.002188"
"TC-R3LEC01-BULK","9","1.0","WARN-RED3ASTDMS-BULK","Intermediate","0.011484"
"","","","PARF-AMSKLG-X","Raw Material","0.000412"
"","","","WARN-YLW3AS-X","Raw Material","0.035553"
"","","","PEN-SENSC50-X","Raw Material","0.004124"
"","","","POWD-TDMS-","Raw Material","0.187976"
"","","","PEN-PRSVPE-X","Raw Material","0.008247"
"","","","WARN-UNPBRWNL88-X","Raw Material","0.005429"
"","","","TIT-CR50HD-X","Raw Material","0.185567"
"","","","CABO-M5-X","Raw Material","0.020619"
"","","","SERI-CSF-X","Raw Material","0.206186"
"","","","POWD-GH52-X","Raw Material","0.103093"
"","","","ZINC-STW-X","Raw Material","0.020619"
"","","","SERI-202LL-X","Raw Material","0.154639"
"","","","WARN-TETDMS-BULK","Intermediate","0.003476"
"","","","EUTA-G-X","Raw Material","0.010309"
"","","","LAR-LICODDC-BULK","Intermediate","0.010309"
"","","","IPM-CRDSG-X","Raw Material","0.020619"
"","","","COSM-168ARV-X","Raw Material","0.010309"
"","","","BHT-CRTL-X","Raw Material","0.001031"
"HT-Y1-BULK","FS.RND.P002-VER.01","1.0","AIR-RO--L","Raw Material","0.545268"
"","","","EMUL-DERMSOLP-","Raw Material","0.001"
"","","","EXTR-CHEN-X","Raw Material","0.01142"
"","","","PARF-PSVLF-X","Raw Material","0.00415"
"","","","PANT--DL-K","Raw Material","0.001"
"","","","SOLV-DEASB-X","Raw Material","0.43634"
"","","","WARN-K-BULK","Intermediate","0.000822"
"BO-CLBSNT-BULK","FS.RND.T0099-VER.01","1.0","EMU-PS-","Raw Material","0.235"
"","","","SILI-BLSDE-X","Raw Material","0.22"
"","","","MC3-300-SF","Raw Material","0.075"
"","","","WAX-PFRMSW-X","Raw Material","0.05"
"","","","WAX-CDL204--X","Raw Material","0.05"
"","","","COSM-43V--K","Raw Material","0.03"
"","","","EMG-S65PSG-X","Raw Material","0.025"
"","","","POWD-9701-","Raw Material","0.01"
"","","","ORGA-EXD-ARK","Raw Material","0.01"
"","","","POWD-MDMS-","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","BHT-CRTL-X","Raw Material","0.001"
"","","","VITA-DL E-MS","Raw Material","0.001"
"","","","WARN-CLOG222--K","Raw Material","0.127788"
"","","","WARN-FW108S-X","Raw Material","0.092007"
"","","","WARN-GT0600--K","Raw Material","0.055205"
"TC-R3LLF04-BULK","54","1.0","SILD--SI5H52D-K","Raw Material","0.0075"
"","","","WARN-YLW3AS-X","Raw Material","0.01996"
"","","","WARN-BLCK3AS-X","Raw Material","0.005855"
"","","","POWD-TDMS-","Raw Material","0.137401"
"","","","TIT-CR50HD-X","Raw Material","0.1"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","LAR-LICODDC-BULK","Intermediate","0.045"
"","","","COSM-222--K","Raw Material","0.04"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARF-AMSKLG-X","Raw Material","0.0004"
"","","","VITA-DL E-MS","Raw Material","0.0001"
"","","","EMO-BSLDMZ-X","Raw Material","0.019"
"","","","WARN-A450TDMS-BULK","Intermediate","0.022784"
"","","","SERI-TAS-KSP-X","Raw Material","0.35"
"","","","POWD-MDMS-","Raw Material","0.17"
"","","","ASO--KB-K","Raw Material","0.05"
"","","","POLY-M-MP27-K","Raw Material","0.02"
"L-CLADC05-BULK","FS.RND.W0325-VER.01","1.0","VITA-DL E-MS","Raw Material","0.001"
"","","","BENT-BGISDV-X","Raw Material","0.11"
"","","","HAIM-DIS-X","Raw Material","0.04"
"","","","PURO-IDD-X","Raw Material","0.1457"
"","","","POW-SP50S-X","Raw Material","0.02"
"","","","WARN-C19011-R7CL-K","Raw Material","0.0023"
"","","","WARN-C338--K","Raw Material","0.0265"
"","","","SILI-MCMA-X","Raw Material","0.03"
"","","","WARN-CLRG-X","Raw Material","0.048"
"","","","WARN-C196619-R6-K","Raw Material","0.0025"
"","","","WARN-TOA403-KF","Raw Material","0.0155"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILC-AERSLR-X","Raw Material","0.035"
"","","","SILI-DC-PSFCS-X","Raw Material","0.1065"
"","","","BENT-BGVS5PC-X","Raw Material","0.12"
"","","","SILI-BEL803-X","Raw Material","0.11"
"","","","PARF-VMR-X","Raw Material","0.005"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","SUCR-AC01-X","Raw Material","0.17"
"TC-PC06-BULK","37","1.0","SERI-SERFHS-X","Raw Material","0.07"
"","","","TIT-CR50HD-X","Raw Material","0.05"
"","","","ZINC-POWBM-X","Raw Material","0.06"
"","","","WARN-A407-X","Raw Material","0.038237"
"","","","SNSP-SIH51-X","Raw Material","0.02"
"","","","ACTI-VEAC-X","Raw Material","0.0001"
"","","","COSM-168ARV-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","EXTR-DB-","Raw Material","0.001"
"","","","POWD-TGDS-X","Raw Material","0.197632"
"","","","WARN-TETDMS-BULK","Intermediate","0.015675"
"","","","WARN-A450TDMS-BULK","Intermediate","0.040122"
"","","","POLY-M-MP27-K","Raw Material","0.03"
"","","","SERI-C-SI013S200-K","Raw Material","0.18"
"","","","COVB-LH8-","Raw Material","0.02"
"","","","SILI-DC21-","Raw Material","0.02"
"","","","POWD-GHDS-X","Raw Material","0.105134"
"","","","SUNP-170-X","Raw Material","0.03"
"","","","MICA-FHSMLP-X","Raw Material","0.05"
"","","","SQUA-AMYR-X","Raw Material","0.05"
"TC-R3LEC02-BULK","9","1.0","COSM-168ARV-X","Raw Material","0.010307"
"","","","TIT-CR50HD-X","Raw Material","0.072167"
"","","","BHT-CRTL-X","Raw Material","0.001033"
"","","","POWD-GH52-X","Raw Material","0.103093"
"","","","WARN-TETDMS-BULK","Intermediate","0.0012"
"","","","WARN-YLW3AS-X","Raw Material","0.0106"
"","","","WARN-UNPBRWNL88-X","Raw Material","0.004218"
"","","","EUTA-G-X","Raw Material","0.010307"
"","","","SERI-202LL-X","Raw Material","0.15464"
"","","","LAR-LICODDC-BULK","Intermediate","0.010307"
