"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"BOTO-CFMLI01R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI02R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI03R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI04R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI05R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI06P-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI06R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI07P-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI07R0-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI08P-W","Packaging Material","Regular","","","",""
"BOTO-CFMLI08R0-W","Packaging Material","Regular","","","",""
"BOTO-CMLCR0-W","Packaging Material","Regular","","","",""
"BOTO-CBBW200R2-K","Packaging Material","Regular","","","",""
"BOTO-CLVMR0-E","Packaging Material","Regular","","","",""
"BOTO-CUCR0-IP","Packaging Material","Regular","","","",""
"BOTO-CMR0-EM","Packaging Material","Regular","","","",""
"BOTO-CMSR1-ELM","Packaging Material","Regular","","","",""
"BOTO-CTR0-E","Packaging Material","Regular","","","",""
"BOTO-CSPTE50R0-W","Packaging Material","Regular","","","",""
"BOTO-CDAMGR0-W","Packaging Material","Regular","","","",""
"BOTO-COS10R1-CL","Packaging Material","Regular","","","",""
"BOTO-COS10-W","Packaging Material","Regular","","","",""
"BOTO-CPRLR0-W","Packaging Material","Regular","","","",""
"BOTO-DFS170-WHDPE","Packaging Material","Regular","","","",""
"BOTO-DFS170IIR0-WHDP","Packaging Material","Regular","","","",""
"BOTO-DFS170R1-WHDPE","Packaging Material","Regular","","","",""
"BOTO-DFS170R2-WHDPE","Packaging Material","Regular","","","",""
"BOTO-EDTP2-K","Packaging Material","Regular","","","",""
"BOTO-EMLCAC-W","Packaging Material","Regular","","","",""
"BOTO-EHBW-K","Packaging Material","Regular","","","",""
"BOTO-EAHS5-WHDPE","Packaging Material","Regular","","","",""
"BOTO-EHYDRAR0-WHDPE","Packaging Material","Regular","","","",""
"BOTO-ELSAR1-W","Packaging Material","Regular","","","",""
"BOTO-ELSAR0-W","Packaging Material","Regular","","","",""
"BOTO-ELIG5RC-WLDHD","Packaging Material","Regular","","","",""
"BOTO-ELFSRCS-WLDHD","Packaging Material","Regular","","","",""
"BOTO-EWHPS5-WHDPE","Packaging Material","Regular","","","",""
"BOTO-EO10-B","Packaging Material","Regular","","","",""
"BOTO-ECLT01R1-WPETM","Packaging Material","Regular","","","",""
"BOTO-ECLT01R0-WPETM","Packaging Material","Regular","","","",""
"BOTO-ECLT02R1-WPETM","Packaging Material","Regular","","","",""
"BOTO-ECLT02R0-WPETM","Packaging Material","Regular","","","",""
"BOTO-ECLT03R1-WPETM","Packaging Material","Regular","","","",""
"BOTO-ECLT03R0-WPETM","Packaging Material","Regular","","","",""
"BOTO-EMLSR0-W","Packaging Material","Regular","","","",""
"BOTO-EMLNSR0-W","Packaging Material","Regular","","","",""
"BOTO-EMLCR1-W","Packaging Material","Regular","","","",""
"BOTO-EMLCRKR0-W","Packaging Material","Regular","","","",""
"BOTO-EMLCRTR0-W","Packaging Material","Regular","","","",""
"BOTO-EMLCR0-W","Packaging Material","Regular","","","",""
"BOTO-EXBLSR0-W","Packaging Material","Regular","","","",""
"BOTO-EXLWMR0-W","Packaging Material","Regular","","","",""
"BOTO-GBMC100-L","Packaging Material","Regular","","","",""
"BOTO-GBMC225-X","Packaging Material","Regular","","","",""
"BOTO-GAFBR0-MO","Packaging Material","Regular","","","",""
