"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"BOTO-GAATS15-W","Packaging Material","Regular","","","",""
"BOTO-GABHSR0-K","Packaging Material","Regular","","","",""
"BOTO-GABSR0-K","Packaging Material","Regular","","","",""
"BOTO-GNBO5-K","Packaging Material","Regular","","","",""
"BOTO-GCBCS20R0-BL","Packaging Material","Regular","","","",""
"BOTO-GCBCS20R1-B","Packaging Material","Regular","","","",""
"BOTO-GCBE6R0-W","Packaging Material","Regular","","","",""
"BOTO-CTKBE10R1-CL","Packaging Material","Regular","","","",""
"BOTO-CTKBE10-W","Packaging Material","Regular","","","",""
"BOTO-CDRTS10R0-CL","Packaging Material","Regular","","","",""
"BOTO-GCSROSR0-W","Packaging Material","Regular","","","",""
"BOTO-GDRFTS120-CL","Packaging Material","Regular","","","",""
"BOTO-GEDTHF-K","Packaging Material","Regular","","","",""
"BOTO-GEDTIW-K","Packaging Material","Regular","","","",""
"BOTO-GEDTRO-K","Packaging Material","Regular","","","",""
"BOTO-GEDTTB-K","Packaging Material","Regular","","","",""
"BOTO-GFSBA15R0-GG","Packaging Material","Regular","","","",""
"BOTO-GFSDB15R0-GG","Packaging Material","Regular","","","",""
"BOTO-GMUCLT2-CL","Packaging Material","Regular","","","",""
"BOTO-GMUCLT-W","Packaging Material","Regular","","","",""
"BOTO-GMUCSF-W","Packaging Material","Regular","","","",""
"BOTO-GSC15-GG","Packaging Material","Regular","","","",""
"BOTO-GSF15-GG","Packaging Material","Regular","","","",""
"BOTO-GMUSQB20R0-B","Packaging Material","Regular","","","",""
"BOTO-GNBHOR0-K","Packaging Material","Regular","","","",""
"BOTO-GNBOR0-K","Packaging Material","Regular","","","",""
"BOTO-GPCS20R0-BL","Packaging Material","Regular","","","",""
"BOTO-GPCS20R1-B","Packaging Material","Regular","","","",""
"BOTO-GPLMR0-MO","Packaging Material","Regular","","","",""
"BOTO-GPRTMR0-MO","Packaging Material","Regular","","","",""
"BOTO-GPWCMR0-MO","Packaging Material","Regular","","","",""
"BOTO-GROEDP100R0-K","Packaging Material","Regular","","","",""
"BOTO-GSOEDP100R0-K","Packaging Material","Regular","","","",""
"BOTO-GSCSFR0-W","Packaging Material","Regular","","","",""
"BOTO-GYPCS20R0-BL","Packaging Material","Regular","","","",""
"BOTO-GYPCS20R1-B","Packaging Material","Regular","","","",""
"BOTO-GS01ABR0-E","Packaging Material","Regular","","","",""
"BOTO-GS01ABR1-E","Packaging Material","Regular","","","",""
"BOTO-GS02ASR0-E","Packaging Material","Regular","","","",""
"BOTO-GS02ASR1-E","Packaging Material","Regular","","","",""
"BOTO-GS03CRR0-E","Packaging Material","Regular","","","",""
"BOTO-GS03CRR1-E","Packaging Material","Regular","","","",""
"BOTO-GS04PSR0-E","Packaging Material","Regular","","","",""
"BOTO-GS04PSR1-E","Packaging Material","Regular","","","",""
"BOTO-GS05SDR0-E","Packaging Material","Regular","","","",""
"BOTO-GS05SDR1-E","Packaging Material","Regular","","","",""
"BOTO-AHRMS30R0-W","Packaging Material","Regular","","","",""
"BOTO-HRIT100R0-W","Packaging Material","Regular","","","",""
"BOTO-HRIT100R1-WKIM","Packaging Material","Regular","","","",""
"BOTO-HFTS170-WHDPE","Packaging Material","Regular","","","",""
"BOTO-HFTS1702R3-W","Packaging Material","Regular","","","",""
"BOTO-HFTS1702RX-W","Packaging Material","Regular","","","",""
"BOTO-HFTS1702R0-W","Packaging Material","Regular","","","",""
"BOTO-HFTS170IIR0-WHDP","Packaging Material","Regular","","","",""
"BOTO-HFTS170P-W","Packaging Material","Regular","","","",""
"BOTO-HFTS170R1-WHDPE","Packaging Material","Regular","","","",""
"BOTO-HFTS170R2-WHDPE","Packaging Material","Regular","","","",""
"BOTO-HFTS170R3-W","Packaging Material","Regular","","","",""
"BOTO-HFTS170R4-W","Packaging Material","Regular","","","",""
"BOTO-ICABER0-W","Packaging Material","Regular","","","",""
"BOTO-IBBM1R0-WPETG","Packaging Material","Regular","","","",""
"BOTO-IBBM2R0-WPETG","Packaging Material","Regular","","","",""
"BOTO-IEIMLR0-W","Packaging Material","Regular","","","",""
"BOTO-IMLMPR0-W","Packaging Material","Regular","","","",""
"BOTO-IMLCR0-MO","Packaging Material","Regular","","","",""
"BOTO-JKLTS05R0-OMG","Packaging Material","Regular","","","",""
"BOTO-JKLTSR0-OMG","Packaging Material","Regular","","","",""
"BOTO-LIWMR0-MO","Packaging Material","Regular","","","",""
"BOTO-LWMR0-OMG","Packaging Material","Regular","","","",""
"BOTO-LFT125R1-W","Packaging Material","Regular","","","",""
"BOTO-LFT125R2-W","Packaging Material","Regular","","","",""
"BOTO-LFT125R0-W","Packaging Material","Regular","","","",""
"BOTO-LLC01LR0-W","Packaging Material","Regular","","","",""
"BOTO-LLC02BR0-W","Packaging Material","Regular","","","",""
"BOTO-MPR0-EM","Packaging Material","Regular","","","",""
"BOTO-MMSR1-ELM","Packaging Material","Regular","","","",""
"BOTO-MPR1-EM","Packaging Material","Regular","","","",""
"BOTO-MKLCCEKIMR0-OMG","Packaging Material","Regular","","","",""
"BOTO-MKLCKIMR0-OMG","Packaging Material","Regular","","","",""
