Kode Unik,Factory,Kode Item,Kode Bulk,MPQ Olah,MPQ Kemas,% Fase,Rumus Bulk,MPQ Supply,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,Kode Formula
BUT-W0S-W50ML/BUT-W0S-BULK,Liquid factory,BUT-W0S-W50ML,BUT-W0S-BULK,200,"3,791",1,BUT-W0S-BULK/1,3791,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,0,0,0,0,3680,0,0,BUT-W0S-BULK/52
C-P1-P450/C--BULK,Liquid factory,C-P1-P450,C--BULK,200,592,1,C--BULK/1,592,0,0,0,0,0,0,0,492,0,492,0,492,0,492,0,492,0,492,0,492,0,0,492,0,492,0,492,0,492,0,492,0,492,0,492,0,0,492,0,492,0,492,0,492,0,492,0,492,0,492,0,0,492,0,492,0,492,0,492,0,492,0,492,0,0,492,0,0,C--BULK/36
CB-P1A-P240/CB-A-BULK,Liquid factory,CB-P1A-P240,CB-A-BULK,600,"2,434",1,CB-A-BULK/1,2434,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,CB-A-BULK/39
CB-P1A-P720/CB-A-BULK,Liquid factory,CB-P1A-P720,CB-A-BULK,200,376,1,CB-A-BULK/2,376,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,CB-A-BULK/39
CB-P1G-P240/CB-G-BULK,Liquid factory,CB-P1G-P240,CB-G-BULK,200,868,1,CB-G-BULK/1,868,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,768,0,0,0,0,CB-G-BULK/FF.RND.P005.05
CB-P1G-P720/CB-G-BULK,Liquid factory,CB-P1G-P720,CB-G-BULK,200,364,1,CB-G-BULK/2,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,CB-G-BULK/FF.RND.P005.05
CB-P1K-P240/CB-K-BULK,Liquid factory,CB-P1K-P240,CB-K-BULK,200,868,1,CB-K-BULK/1,868,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,768,0,0,0,0,0,768,0,0,0,0,0,0,CB-K-BULK/FF.RND.P004.06
CB-P1K-P720/CB-K-BULK,Liquid factory,CB-P1K-P720,CB-K-BULK,200,446,1,CB-K-BULK/2,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB-K-BULK/FF.RND.P004.06
CB-P1L1-P240/CB-L1-BULK,Liquid factory,CB-P1L1-P240,CB-L1-BULK,200,875,1,CB-L1-BULK/1,875,0,0,0,0,775,0,0,0,0,775,0,0,0,0,775,0,0,0,0,0,775,0,0,0,0,775,0,0,0,0,0,775,0,0,0,0,775,0,0,0,0,0,775,0,0,0,0,775,0,0,0,0,775,0,0,0,0,0,775,0,0,0,0,775,0,0,0,0,CB-L1-BULK/FF.RND.P002.06
CB-P1L1-P720/CB-L1-BULK,Liquid factory,CB-P1L1-P720,CB-L1-BULK,200,446,1,CB-L1-BULK/2,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,CB-L1-BULK/FF.RND.P002.06
