Kode Unik,Korporat Code Bulk,Korporat Code Material,Material Type,Quantity
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,WARN-CLRG-X,Raw Material,0.000406
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,WARN-ABIO-X,Raw Material,0.00034
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,TALC-OSBRTPD-X,Raw Material,0.697785
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,CORN-SUNAR-X,Raw Material,0.2
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,TITA-C-STCR5-K,Raw Material,0.04
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,SERI-S-D-K,Raw Material,0.02
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,ZINC-STW-X,Raw Material,0.01
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,PEN-PRSVPE-X,Raw Material,0.008
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,SILI-2005-DC-K,Raw Material,0.005
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,PEN-SENSC50-X,Raw Material,0.004
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,ACTM-CTLA-X,Raw Material,0.0001
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,PARF-AMSKLG-X,Raw Material,0.0001
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,WARN-COGO--K,Raw Material,0.011053
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,WARN-CLRG-X,Raw Material,0.002576
B-CLCLPB-BULK/FS.RND.W0294.00,B-CLCLPB-BULK,WARN-ABIO-X,Raw Material,0.001386
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,AIR-RO--L,Raw Material,0.61378
