Kode,Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,,BULK,Cek Bahan Antara,Bahan Antara
WARN-CBC19011-BULK,WARN-CBC19011-BULK/,WARN-CBC19011-BULK,WARN-C19011-R7CL-K,Raw Material,0.317700,,,,WARN-CBC19011-BULK
WARN-CBC19011-BULK,WARN-CBC19011-BULK/,WARN-CBC19011-BULK,HAIM-DIS-X,Raw Material,0.598200,,,,WARN-CBC19011-BULK
WARN-CBC19011-BULK,WARN-CBC19011-BULK/,WARN-CBC19011-BULK,BENT-BGISDV-X,Raw Material,0.020000,,,,WARN-CBC19011-BULK
WARN-CBC19011-BULK,WARN-CBC19011-BULK/,WARN-CBC19011-BULK,EMO-SLCHS-X,Raw Material,0.064100,,,,WARN-CBC19011-BULK
WARN-CBC19012-BULK,WARN-CBC19012-BULK/,WARN-CBC19012-BULK,HAIM-DIS-X,Raw Material,0.500000,,,,WARN-CBC19012-BULK
WARN-CBC19012-BULK,WARN-CBC19012-BULK/,WARN-CBC19012-BULK,WARN-C19012-DCR6-K,Raw Material,0.440000,,,,WARN-CBC19012-BULK
WARN-CBC19012-BULK,WARN-CBC19012-BULK/,WARN-CBC19012-BULK,EMO-SLCHS-X,Raw Material,0.060000,,,,WARN-CBC19012-BULK
WARN-CBC196619-BULK,WARN-CBC196619-BULK/,WARN-CBC196619-BULK,HAIM-DIS-X,Raw Material,0.618100,,,,WARN-CBC196619-BULK
WARN-CBC196619-BULK,WARN-CBC196619-BULK/,WARN-CBC196619-BULK,WARN-C196619-R6-K,Raw Material,0.327200,,,,WARN-CBC196619-BULK
WARN-CBC196619-BULK,WARN-CBC196619-BULK/,WARN-CBC196619-BULK,EMO-SLCHS-X,Raw Material,0.034700,,,,WARN-CBC196619-BULK
WARN-CBC196619-BULK,WARN-CBC196619-BULK/,WARN-CBC196619-BULK,BENT-BGISDV-X,Raw Material,0.020000,,,,WARN-CBC196619-BULK
WARN-CBTRO-BULK,WARN-CBTRO-BULK/,WARN-CBTRO-BULK,HAIM-DIS-X,Raw Material,0.310880,,,,WARN-CBTRO-BULK
WARN-CBTRO-BULK,WARN-CBTRO-BULK/,WARN-CBTRO-BULK,EMO-SLCHS-X,Raw Material,0.038860,,,,WARN-CBTRO-BULK
WARN-CBTRO-BULK,WARN-CBTRO-BULK/,WARN-CBTRO-BULK,WARN-TOA403-KF,Raw Material,0.650260,,,,WARN-CBTRO-BULK
WARN-CBTO-BULK,WARN-CBTO-BULK/,WARN-CBTO-BULK,HAIM-DIS-X,Raw Material,0.279640,,,,WARN-CBTO-BULK
WARN-CBTO-BULK,WARN-CBTO-BULK/,WARN-CBTO-BULK,EMO-SLCHS-X,Raw Material,0.042400,,,,WARN-CBTO-BULK
WARN-CBTO-BULK,WARN-CBTO-BULK/,WARN-CBTO-BULK,TITA-OTS2CR50-,Raw Material,0.677950,,,,WARN-CBTO-BULK
WARN-TI---MKR,WARN-TI---MKR/,WARN-TI---MKR,OIL-CA-MS,Raw Material,0.614340,,,,WARN-TI---MKR
WARN-TI---MKR,WARN-TI---MKR/,WARN-TI---MKR,COSM-222--K,Raw Material,0.020000,,,,WARN-TI---MKR
WARN-TI---MKR,WARN-TI---MKR/,WARN-TI---MKR,NIPA-S--K,Raw Material,0.001000,,,,WARN-TI---MKR
WARN-TI---MKR,WARN-TI---MKR/,WARN-TI---MKR,TITA--3328EW-K,Raw Material,0.363660,,,,WARN-TI---MKR
WARN-TI---MKR,WARN-TI---MKR/,WARN-TI---MKR,BHT-CRTL-X,Raw Material,0.001000,,,,WARN-TI---MKR
WARN-C196619-BULK,WARN-C196619-BULK/,WARN-C196619-BULK,WARN-C196619-R6-K,Raw Material,0.100000,,,,WARN-C196619-BULK
WARN-C196619-BULK,WARN-C196619-BULK/,WARN-C196619-BULK,VITA-DL E-MS,Raw Material,0.001000,,,,WARN-C196619-BULK
WARN-C196619-BULK,WARN-C196619-BULK/,WARN-C196619-BULK,HAIM-DIS-X,Raw Material,0.899000,,,,WARN-C196619-BULK
WARN-TOA403-BULK,WARN-TOA403-BULK/,WARN-TOA403-BULK,HAIM-DIS-X,Raw Material,0.899000,,,,WARN-TOA403-BULK
WARN-TOA403-BULK,WARN-TOA403-BULK/,WARN-TOA403-BULK,WARN-TOA403-KF,Raw Material,0.100000,,,,WARN-TOA403-BULK
WARN-TOA403-BULK,WARN-TOA403-BULK/,WARN-TOA403-BULK,VITA-DL E-MS,Raw Material,0.001000,,,,WARN-TOA403-BULK
WARN-LSMCOSG-BULK,WARN-LSMCOSG-BULK/,WARN-LSMCOSG-BULK,VITA-DL E-MS,Raw Material,0.001000,,,,WARN-LSMCOSG-BULK
WARN-LSMCOSG-BULK,WARN-LSMCOSG-BULK/,WARN-LSMCOSG-BULK,WARN-COSG--K,Raw Material,0.100000,,,,WARN-LSMCOSG-BULK
WARN-LSMCOSG-BULK,WARN-LSMCOSG-BULK/,WARN-LSMCOSG-BULK,HAIM-DIS-X,Raw Material,0.899000,,,,WARN-LSMCOSG-BULK
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OIL-BLWHMO-X,Raw Material,0.814500,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,ACTI-VEAC-X,Raw Material,0.001000,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,ASAM-SCAD-X,Raw Material,0.005000,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,SNSP-SIH51-X,Raw Material,0.001000,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OPT-ASH--X,Raw Material,0.007500,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OIL-TTOIDS-X,Raw Material,0.001000,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,EMUL-TGI20-X,Raw Material,0.100000,,A-BPCB-W20G/A-BPCB-BULK,,
A-BPCB-W20G/A-BPCB-BULK,A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,WAX-PFRMSW-X,Raw Material,0.070000,,A-BPCB-W20G/A-BPCB-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,PANT--DL-K,Raw Material,0.005000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,TRI--DOW-K,Raw Material,0.005000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,TITA--3328EW-K,Raw Material,0.001000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,EXTR-ALVGE-X,Raw Material,0.005000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,WARN-K-BULK,Intermediate,0.000540,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,EXTR-CNDWLHB-X,Raw Material,0.030000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,ACTI-VEAC-X,Raw Material,0.001000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,CRIL---K,Raw Material,0.003000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,PARF-SILK-,Raw Material,0.001000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,PEN-EUXK900-X,Raw Material,0.008000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,"CARB--94022,68-K",Raw Material,0.001000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,GLUC--MC,Raw Material,0.001000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,WARN-B-BULK,Intermediate,0.000110,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,SILI-DC21-,Raw Material,0.010000,,A-DM-W40ML/A-DM-BULK,,
