Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
B-CLCLPB-W/4,B-CLCLPB-W,PUFF-CMPR0-W,Packaging Material,1,Pc(s),,F-EXL12-MO
B-CLCLPB-W/4,B-CLCLPB-W,STIC-BCMP23WR1-W,Packaging Material,1,Pc(s),,F-LLF05-W
B-CLCLPB-W/4,B-CLCLPB-W,DUS-CMPR2-W,Packaging Material,1,Pc(s),,F-LLF06-W
B-CLCLPB-W/4,B-CLCLPB-W,STIC-VCMP23WR1-W,Packaging Material,1,Pc(s),,F-LLFM5-W
B-CLCLPB-W/4,B-CLCLPB-W,KB-GKMK-W,Packaging Material,0.02083,Pc(s),,F-LLFM6-W
B-CLCLPC-W/4,B-CLCLPC-W,B-CLCLPC-BULK,Semi Finished Goods,0.015,kg,,F-RLLF01-W
B-CLCLPC-W/4,B-CLCLPC-W,POT-CMPR0-W,Packaging Material,1,Pc(s),,F-RLLF04-W
B-CLCLPC-W/4,B-CLCLPC-W,SHIF-CMPR0-W,Packaging Material,1,Pc(s),,F-RLLFM-W
B-CLCLPC-W/4,B-CLCLPC-W,CAPP-CMPR0-W,Packaging Material,1,Pc(s),,F-RLLFM2-W
B-CLCLPC-W/4,B-CLCLPC-W,PUFF-CMPR0-W,Packaging Material,1,Pc(s),,F-RLLFM3-W
B-CLCLPC-W/4,B-CLCLPC-W,STIC-BCMP32NR1-W,Packaging Material,1,Pc(s),,F-RLLFM4-W
B-CLCLPC-W/4,B-CLCLPC-W,DUS-CMPR2-W,Packaging Material,1,Pc(s),,F-RRELF06-W
B-CLCLPC-W/4,B-CLCLPC-W,STIC-VCMP32NR1-W,Packaging Material,1,Pc(s),,F-RRELF07-W
B-CLCLPC-W/4,B-CLCLPC-W,KB-GKMK-W,Packaging Material,0.02083,Pc(s),,F-RRELF08-W
B-CLCLPD-W/3,B-CLCLPD-W,B-CLCLPD-BULK,Semi Finished Goods,0.015,kg,,F-TCC-W
B-CLCLPD-W/3,B-CLCLPD-W,POT-CMPR0-W,Packaging Material,1,Pc(s),,F-TCLE-W
B-CLCLPD-W/3,B-CLCLPD-W,SHIF-CMPR0-W,Packaging Material,1,Pc(s),,F-TL01-OMG
B-CLCLPD-W/3,B-CLCLPD-W,CAPP-CMPR0-W,Packaging Material,1,Pc(s),,F-TL02-OMG
B-CLCLPD-W/3,B-CLCLPD-W,PUFF-CMPR0-W,Packaging Material,1,Pc(s),,F-TL03-OMG
B-CLCLPD-W/3,B-CLCLPD-W,STIC-BCMP43WR1-W,Packaging Material,1,Pc(s),,F-TL04-OMG
B-CLCLPD-W/3,B-CLCLPD-W,DUS-CMPR2-W,Packaging Material,1,Pc(s),,F-TL05-OMG
B-CLCLPD-W/3,B-CLCLPD-W,STIC-VCMP43WR1-W,Packaging Material,1,Pc(s),,F-TL06-OMG
B-CLCLPD-W/3,B-CLCLPD-W,KB-GKMK-W,Packaging Material,0.02083,Pc(s),,F-WOECB5101-W10GR
B-CPGR01-W/2,B-CPGR01-W,KB-W200R1-W,Packaging Material,0.02083,Pc(s),,F-WOECSP02-W10GR
B-CPGR01-W/2,B-CPGR01-W,STIC-VCGRP12R1-W,Packaging Material,1,Pc(s),,FM-MCHAM-EM
B-CPGR01-W/2,B-CPGR01-W,DUS-CGRPR0-W,Packaging Material,1,Pc(s),,FT-ABFBE-L
B-CPGR01-W/2,B-CPGR01-W,CAPC-CGRPR0-W,Packaging Material,1,Pc(s),,FT-PPTM-MO
B-CPGR01-W/2,B-CPGR01-W,PUFF-CGRPR0-W,Packaging Material,1,Pc(s),,FW-ABFC-L
B-CPGR01-W/2,B-CPGR01-W,SHIF-CGRPR0-W,Packaging Material,1,Pc(s),,FW-NFSPHAS-EM
B-CPGR01-W/2,B-CPGR01-W,B-CPGR01-BULK,Semi Finished Goods,0.018,kg,,FW-RBSW-EM
B-CPGR01-W/2,B-CPGR01-W,CONT-CGRPR0-W,Packaging Material,1,Pc(s),,HBW-RETBWAN2-W
B-CPGR01-W/2,B-CPGR01-W,STIC-BTCGRP12R0-W,Packaging Material,1,Pc(s),,HBW-RETBWCN2-W
B-CPGR02-W/2,B-CPGR02-W,DUS-CGRPR0-W,Packaging Material,1,Pc(s),,HBW-RETBWDN2-W
B-CPGR02-W/2,B-CPGR02-W,B-CPGR02-BULK,Semi Finished Goods,0.018,kg,,HBW-RETBWEN2-W
B-CPGR02-W/2,B-CPGR02-W,STIC-VCGRP13R1-W,Packaging Material,1,Pc(s),,HC-OMG01-OMG
B-CPGR02-W/2,B-CPGR02-W,KB-W200R1-W,Packaging Material,0.02083,Pc(s),,HC-OMG010-OMG
B-CPGR02-W/2,B-CPGR02-W,STIC-BTCGRP13R0-W,Packaging Material,1,Pc(s),,HC-OMG011-OMG
B-CPGR02-W/2,B-CPGR02-W,CONT-CGRPR0-W,Packaging Material,1,Pc(s),,HC-OMG012-OMG
B-CPGR02-W/2,B-CPGR02-W,SHIF-CGRPR0-W,Packaging Material,1,Pc(s),,HC-OMG02-OMG
B-CPGR02-W/2,B-CPGR02-W,CAPC-CGRPR0-W,Packaging Material,1,Pc(s),,HC-OMG03-OMG
B-CPGR02-W/2,B-CPGR02-W,PUFF-CGRPR0-W,Packaging Material,1,Pc(s),,HC-OMG04-OMG
B-DMCP01-EM/4,B-DMCP01-EM,B-DMCP01-BULK,Semi Finished Goods,0.011,kg,,HC-OMG05-OMG
