"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_3229_ca23a018","SACH-SMUFW9-X","JTK 4/Stock/PKG/JTK 6/Gedung B/AB-02B2","GBMJTK4/IF08119","5.0","Pc(s)"
"__export__.stock_quant_3258_d598d4b3","L-MLCB-BULK","JTK 4/Quarantine/PKG","FH03A","4250.0","g"
"__export__.stock_quant_3283_5ae79bbd","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/ID30037","16.0","pc(s)"
"__export__.stock_quant_3290_122f6c58","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/ID30038","16.0","pc(s)"
"__export__.stock_quant_3307_3072fded","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF08115","8.0","pc(s)"
"__export__.stock_quant_3310_66a86fbe","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF08103","26.0","pc(s)"
"__export__.stock_quant_3334_3a0c5502","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF07101","8.0","pc(s)"
"__export__.stock_quant_3335_e1a11422","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF07102","8.0","pc(s)"
"__export__.stock_quant_3351_7702771c","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IE31092","10.0","pc(s)"
"__export__.stock_quant_3353_fcd53290","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IE31093","10.0","pc(s)"
"__export__.stock_quant_3381_076130c9","L-MLCD-BULK","JTK 4/Quarantine/PKG","FH10A","2500.0","g"
"__export__.stock_quant_3382_ce4e4d13","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IE28082","25.0","pc(s)"
"__export__.stock_quant_3492_d4b42965","L-MLCB-BULK","JTK 4/Quarantine/PKG","FH12A","3700.0","g"
"__export__.stock_quant_3519_482e0c84","KB-NEONR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IE31094","1.0","pc(s)"
"__export__.stock_quant_3521_9fd7dc8a","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF02097","10.0","pc(s)"
"__export__.stock_quant_3523_d98e5e54","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF02098","10.0","pc(s)"
"__export__.stock_quant_3587_48cd490a","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF09123","8.0","pc(s)"
"__export__.stock_quant_3596_0a276192","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF09124","8.0","pc(s)"
"__export__.stock_quant_3603_40ee3891","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF08116","8.0","pc(s)"
"__export__.stock_quant_3641_35d319a3","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/ID19002","7596.8","g"
"__export__.stock_quant_3642_fb71eedf","DRYF-PC-X","JTK 4/Stock/RM","GBMJTK6/GK11059","14284.5","g"
"__export__.stock_quant_3643_6d2c3da2","SILC-MKOL-X","JTK 4/Stock/RM","GBMJTK6/IC09104","1262.06","g"
"__export__.stock_quant_3644_60151661","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/ID06014","2100.0","g"
"__export__.stock_quant_3645_f6fecdaa","SILI-DC-PSFCS-X","JTK 4/Stock/RM","GBMJTK6/ID07009","2400.0","g"
"__export__.stock_quant_3646_cc60ed8e","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/ID06007","4800.0","g"
"__export__.stock_quant_3647_ca60d756","SILI-BELEG5-X","JTK 4/Stock/RM","GBMJTK6/HI25025","150.0","g"
"__export__.stock_quant_3648_74563ad1","PEN-PRSVPE-X","JTK 4/Stock/RM","GBMJTK6/ID05098","745.00005","g"
"__export__.stock_quant_3649_25834b70","PEN-SENSC50-X","JTK 4/Stock/RM","GBMJTK6/ID07064","60.0","g"
"__export__.stock_quant_3650_60ab0971","SILS-034-X","JTK 4/Stock/RM","GBMJTK6/IB09100","37.5","g"
"__export__.stock_quant_3651_4688bedf","PARF-DLPZLE-X","JTK 4/Stock/RM","GBMJTK6/IB16145","15.0","g"
"__export__.stock_quant_3653_64ab3a8b","VITA-DL E-MS","JTK 4/Stock/RM","GBMJTK6/ID07061","1.5","g"
"__export__.stock_quant_3654_b9fa4ca5","VITA-DL E-MS","JTK 4/Stock/RM","GBMJTK6/ID22096","'-1.0","g"
"__export__.stock_quant_3655_535b173f","EMU-PS-","JTK 4/Stock/RM","GBMJTK6/ID09092","178.25","g"
"__export__.stock_quant_3711_c6eac83e","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF14144","13.0","pc(s)"
"__export__.stock_quant_3713_88032014","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF14145","13.0","pc(s)"
