"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"ES-W1F01RNFS1,3-W","ES-W1F-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1F02RNFS1,3-W","ES-W1F-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1F3RNFS1,3W-W","ES-W1F-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1G-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1G-01 BULK","0.0011","kg"
"ES-W1C01RNFS1,3-W","ES-W1C-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1C02RNFS1,3-W","ES-W1C-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1D-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1D-01 BULK","0.0011","kg"
"ES-W1G-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1G-02 BULK","0.0011","kg"
"ES-W1G-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1G-03 BULK","0.0011","kg"
"ES-W1G01RNFS1,3-W","ES-W1G-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1G02RNFS1,3-W","ES-W1G-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1G3RNFS1,3W-W","ES-W1G-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1K01RNFS1,3-W","ES-W0K-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1K02RNFS1,3-W","ES-W0K-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1K3RNFS1,3-W","ES-W0K-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1L01RNFS1,3-W","ES-W0L-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1L02RNFS1,3-W","ES-W0L-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1L3RNFS1,3-W","ES-W0L-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"B-SHN12GRNFS-W","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","SHA--BULK","0.012","kg"
"FA-RGH-RP-MO13GR","FA-RGH-BULK","0.013","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"FA-UGHP-G-RP-MO3,5GR","FA-UGHP-G-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"FA-UGHP-P-RP-MO3,5GR","FA-UGHP-P-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"FA-UGHP-W-RP-MO3,5GR","FA-UGHP-W-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-01PFRNFSN3,5-MO","BO-SPF01-BULK","0.004","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-02IPRNFSN3,5-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SIP02-BULK","0.004","kg"
"BO-03PP1RNFS3,5-MO","BO-SPS03-BULK","0.004","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-04RERNFSN3,5-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SRE04-BULK","0.004","kg"
"BO-05BSRNFSN3,5-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SBS05-BULK","0.004","kg"
"BO-06CSRNFS3,5G-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SCS06-BULK","0.004","kg"
"BO-07SSRNFSN3,5-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SSS07-BULK","0.0035","kg"
"BO-08CCRNFSN3,5-MO","BO-SCC08-BULK","0.004","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-CLPCS-RP-EM3,5GR","BO-CLPCS-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-CLPPB-RP-EM3,5GR","BO-CLPPB-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-CLPPCCC-RP-EM3,5G","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-CLPPCCC-BULK","0.0035","kg"
"BO-CLPPMCB-RP-EM3,5G","BO-CLPPMCB-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-CLPPPML-RP-EM3,5G","BO-CLPPPML-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-CLPPTVB-RP-EM3,5G","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-CLPPTVB-BULK","0.0035","kg"
"BO-E01-W-RP-W6,5GR","GODE-BOMOR2-AL38","1.0","Pc(s)"
"","BO-E01-W-BULK","0.0065","kg"
"BO-E02-W-RP-W6,5GR","BO-E02-W-BULK","0.0065","kg"
"","GODE-BOMOR2-AL38","1.0","Pc(s)"
"BO-S01PF6GRRNFS-MO","BO-SPF01-BULK","0.006","kg"
"","GODE-BOMOR2-AL38","1.0","Pc(s)"
"BO-S03PP6GRRNFS-MO","BO-SPS03-BULK","0.006","kg"
"","GODE-BOMOR2-AL38","1.0","Pc(s)"
"BO-S06CS6GRRNFS-MO","BO-SCS06-BULK","0.006","kg"
"","GODE-BOMOR2-AL38","1.0","Pc(s)"
"BO-S07SS6GRRNFS-MO","GODE-BOMOR2-AL38","1.0","Pc(s)"
"","BO-SSS07-BULK","0.006","kg"
