"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","TC-PC08-BULK","0.012","kg"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","STIC-BTETC2R0-WRL","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"MY-FTRIHT-W","6 (INLINE)","BOTO-HRIT100R1-WKIM","1.0","Pc(s)"
"","","FT-RIHT-BULK","0.1","kg"
"","","PLU-HRIT100R0-W","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-WFSR1-W","0.05","Pc(s)"
"","","DUS-HRPITR0-W","1.0","Pc(s)"
"","","CAP-HRIT100R2-W","1.0","Pc(s)"
"MY-FTRIHT-W","7","FT-RIHT-W","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-WFSR1-W","0.05","Pc(s)"
"L-REMO35-W","4","L-REMO35-BULK","0.0035","kg"
"","","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","","STIC-BTEMO35R0-WCNF","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","","STIC-BCEMO35R1-WCNF","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"L-CM13-EM5.5GR","4","L-CM13-BULK","0.0055","kg"
"","","BOTO-PCMR1-E","1.0","Pc(s)"
"","","CAPA-CMR0-EM","1.0","Pc(s)"
"","","STIC-BOTCMBBR0-EOPPT","1.0","Pc(s)"
"","","DUS-CMBBR1-E","1.0","Pc(s)"
"","","IBOX-12EE-ED31","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"MY-FTLFT-W","8","STIC-PALFT125R1-WM","1.0","Pc(s)"
"","","KB-WFSR1-W","0.04167","Pc(s)"
"","","FT-LFT-W","1.0","Pc(s)"
"TC-R3LEC01-W","6","TC-R3LEC01-BULK","0.01","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPE01R0-W","1.0","Pc(s)"
"","","DUS-LPE01R3-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TC-W3ELI3-W12G","11","KB-WELTWCB-KMM125CF","0.02778","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TC-W1C3-BULK","0.012","kg"
"","","DUS-ELTWC03R2-WILG","1.0","Pc(s)"
"","","STIC-BOTELTWC3-WC","1.0","Pc(s)"
"","","CONT-LUMTWCWR1C-HTHS","1.0","Pc(s)"
"","","PLAS-DM58R0-W","1.0","Pc(s)"
"MY-MSM01-KA","2","M-SM-BULK","0.03","kg"
"","","TUBE-TPSMR1-K","1.0","Pc(s)"
"","","DUS-TPSMR1-K","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-KAHFDR0-K","0.0555556","Pc(s)"
"TC-R3LEC04-W","6","TC-R3LEC04-BULK","0.01","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPE04R0-W","1.0","Pc(s)"
"","","DUS-LPE04R1-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TWC-CLFTD-W","2","CONT-CVPFR0-W","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TWC-CLFTD-BULK","0.011","kg"
"","","STIC-BCVPF32NR0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","DUS-CVPFR0-W","1.0","Pc(s)"
"","","STIC-VCVPF32NR0-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"MY-FTBSE-EM","1 (INLINE)","FT-BSE-BULK","0.1","kg"
"","","BOTO-PETRF100C-X","1.0","Pc(s)"
"","","PLU-PPBLANCT-X","1.0","Pc(s)"
"","","CAP-BSFT100-E","1.0","Pc(s)"
"","","STIC-MBSET100R0-E","1.0","Pc(s)"
"","","DUS-BSET100R0-E","1.0","Pc(s)"
"","","KB-EAR0-KMM125","0.0416667","Pc(s)"
"MY-SRMCAB-W","5 (INLINE)","STIC-PACBR1-WM","1.0","Pc(s)"
"","","DUS-BCABER0-W","1.0","Pc(s)"
"","","BOTO-OCABER0-W","1.0","Pc(s)"
"","","SRM-CAB-BULK","0.03","kg"
"","","BOTO-RCABER0-W","1.0","Pc(s)"
"","","DUS-SCABER0-W","1.0","Pc(s)"
"","","BOTO-ICABER0-W","1.0","Pc(s)"
"","","PU-ICABER0-W","1.0","Pc(s)"
"","","LEAF-CRYABER0-W","1.0","Pc(s)"
"","","DUS-CCABER0-W","1.0","Pc(s)"
"","","PS-SABER0-WBOPP","0.00145","kg"
"","","KB-WFSR1-W","0.09091","Pc(s)"
"MY-FWRRYAG-W","2 (INLINE)","FW-RRYAG-BULK","0.1","kg"
"","","TUBE-RYFW100R0-WPBL","1.0","Pc(s)"
"","","STIC-ERYFW100R0-W","1.0","Pc(s)"
"","","STIC-PACESR1-WM","1.0","Pc(s)"
"","","KB-WT100R1-KMM125BF","0.0333333","Pc(s)"
"B-R3L04N-W","5","B-R3L04N-BULK","0.02","kg"
"","","CONT-LLPR0-WASBS","1.0","Pc(s)"
"","","CAPC-LLPR0-WASBS","1.0","Pc(s)"
"","","SHIF-LLPR0-WPPN","1.0","Pc(s)"
"","","PUFF-LLPR0-WMFP","1.0","Pc(s)"
"","","STIC-BLMP4RR0-W","1.0","Pc(s)"
"","","DUS-LMP4R2-W","1.0","Pc(s)"
"","","STIC-PILMPR0-W","1.0","Pc(s)"
"","","STIC-PQLMP4R0-W","1.0","Pc(s)"
"","","KB-W100BR2-KMM125BF","0.03571","Pc(s)"
"TC-RIPMFPF13-W","5","DUS-RIPFR0-WIP","1.0","Pc(s)"
"","","PO-ETWCR-WPE","1.0","Pc(s)"
"","","STIC-BTRIPF3R0-WIP","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","CONT-EIMPFR0-WIP","1.0","Pc(s)"
"","","TC-IPMFPF13-BULK","0.013","kg"
"","","KB-GKMK-W","0.01389","Pc(s)"
"","","STIC-BCRIPF3R0-WIP","1.0","Pc(s)"
"","","IBOX-12RIPFR1-WIP","0.08333","Pc(s)"
"TC-RRE05-W","4","TC-PC05-BULK","0.012","kg"
"","","CONT-ELERLR0-WPP","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BTETCR5R0-WRL","1.0","Pc(s)"
"","","DUS-ETWCR5R1-WRL","1.0","Pc(s)"
"","","KB-W6040R2-W","0.02222","Pc(s)"
"MY-TCR3LLF07-W","5 (INLINE)","TC-R3LLF07-BULK","0.012","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL07R0-W","1.0","Pc(s)"
"","","DUS-LPL07R0-W","1.0","Pc(s)"
"","","STIC-PABR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TC-R3LLF03-W","6","TC-R3LLF03-BULK","0.012","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL03R0-W","1.0","Pc(s)"
"","","DUS-LPL03R2-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TC-R3LLF07-W","5","TC-R3LLF07-BULK","0.012","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BLPL07R0-W","1.0","Pc(s)"
"","","DUS-LPL07R0-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"L-REMA16-W","4","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"","","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","","STIC-BCEMA16R1-WRL","1.0","Pc(s)"
"","","DUS-EMAR0-WIMVG","1.0","Pc(s)"
"","","STIC-BTEMA16R0-WCNF","1.0","Pc(s)"
"","","CAPC-ELRLR0-WASBS","1.0","Pc(s)"
"","","CONT-ELRLR0-WASBS","1.0","Pc(s)"
"","","L-REMA16-BULK","0.0035","kg"
"MY-RTCIPMFPF12-W","5 (INLINE)","TC-IPMFPF12-BULK","0.013","kg"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","CONT-IMPFR0-WASBS","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BIMPF12R0-WPWNF","1.0","Pc(s)"
"","","DUS-IMPFR1-WHPD","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","","STIC-BCIMPF2R0-WPWG","1.0","Pc(s)"
"","","STIC-PAAR1-WM","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"TC-W3ELLB1-W12G","11","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TC-W1C1-BULK","0.012","kg"
"","","STIC-BOTELTWC1-WC","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM58R0-W","1.0","Pc(s)"
"","","KB-WELTWCB-KMM125CF","0.02778","Pc(s)"
"","","DUS-ELTWC01R2-WILG","1.0","Pc(s)"
"","","CONT-LUMTWCWR1C-HTHS","1.0","Pc(s)"
"L-MLCJ-OMG","6","L-MLCJ-BULK","0.0035","kg"
"","","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","","STIC-BMKLC10R2-OMG","1.0","Pc(s)"
"","","DUS-MKLCR1-OMG","1.0","Pc(s)"
"","","STIC-VMKLC10R1-OMG","1.0","Pc(s)"
"","","IBOX-RRPMKLCR2-OMG","0.08333","Pc(s)"
"","","KB-NEONR0-OMG","0.00694","Pc(s)"
"L-EMC16DP-W","2 (INLINE)","L-EMC16-BULK","0.004","kg"
"","","BOTP-EMLCR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC16R-1WPS","1.0","Pc(s)"
"","","DUS-EMLC16R1-W","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-MLCD-OMG","9","L-MLCD-BULK","0.0035","kg"
"","","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","","STIC-BMKLC04R3-OMG","1.0","Pc(s)"
"","","DUS-MKLCR2-OMG","1.0","Pc(s)"
"","","STIC-VMKLC04R1-OMG","1.0","Pc(s)"
"","","IBOX-RRPMKLCR2-OMG","0.08333","Pc(s)"
"","","KB-NEONR0-OMG","0.00694","Pc(s)"
"TC-RRE04-W","7","KB-W6040R2-W","0.02222","Pc(s)"
"","","TC-PC04-BULK","0.012","kg"
"","","CONT-ELERLR0-WPP","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BTETCR4R0-WRL","1.0","Pc(s)"
"","","DUS-ETWCR4R1-WRL","1.0","Pc(s)"
"TWC-CLFTRD-W","4 (NON INLINE)","TWC-CLFTD-BULK","0.011","kg"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","CONT-RCVPFR0-W","1.0","Pc(s)"
"","","PLAS-DMCTWCRP-P85","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","","STIC-BRCVPF32NR0-W","1.0","Pc(s)"
"","","DUSS-RCVPF32NR0-W","1.0","Pc(s)"
"","","IBOX-CR1-W","0.08333","Pc(s)"
"","","KB-WBETAR1-W","0.00694","Pc(s)"
"M-RRYDCN2-W","2","POT-RYDC30-WTMP","1.0","Pc(s)"
"","","M-RRYDC-BULK","0.03","kg"
"","","KB-GKMK-W","0.04167","Pc(s)"
"","","SPT-HRGR0-W","1.0","Pc(s)"
"","","PLU-RYDC30-WTMP","1.0","Pc(s)"
"","","CAP-PGRY30R1-WTMP","1.0","Pc(s)"
"","","DUS-RYDC30RV-W","1.0","Pc(s)"
"B-R3L02B-W","7","B-R3L02B-BULK","0.02","kg"
"","","CONT-LLPR0-WASBS","1.0","Pc(s)"
"","","CAPC-LLPR0-WASBS","1.0","Pc(s)"
"","","PUFF-LLPR0-WMFP","1.0","Pc(s)"
"","","SHIF-LLPR0-WPPN","1.0","Pc(s)"
"","","STIC-BLMP2RR0-W","1.0","Pc(s)"
"","","DUSS-LMP2R0-W","1.0","Pc(s)"
"","","KB-W100BR2-KMM125BF","0.03571","Pc(s)"
"TC-R3LLF01-W","8","TC-R3LLF01-BULK","0.012","kg"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL01R0-W","1.0","Pc(s)"
"","","DUS-LPL01R2-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TC-W3ELB2-W12G","11","CONT-LUMTWCWR1C-HTHS","1.0","Pc(s)"
"","","PLAS-DM58R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BOTELTWC2-WC","1.0","Pc(s)"
"","","DUS-ELTWC02R2-WILG","1.0","Pc(s)"
"","","KB-WELTWCB-KMM125CF","0.02778","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TC-W1C2-BULK","0.012","kg"
"TWC-CLFTA-W","2","STIC-VCVPF11CR0-W","1.0","Pc(s)"
"","","DUS-CVPFR0-W","1.0","Pc(s)"
"","","STIC-BCVPF11CR0-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TWC-CLFTA-BULK","0.011","kg"
"","","CONT-CVPFR0-W","1.0","Pc(s)"
"FW-PCSAC-KA","2","FW-PCSAC-BULK","0.1","kg"
"","","TUBE-PCSAFWR0-K","1.0","Pc(s)"
"","","KB-KAHFBR0-K","0.0666667","Pc(s)"
"","","STIC-ECOACFW100R0-K","1.0","Pc(s)"
"","","STIC-PMBE-E","0.0666667","Pc(s)"
"BRO-RNBO-KA","Repack","BRO-NBO-KA","1.0","Pc(s)"
"","","STIC-PNBHO30-K","1.1732","Pc(s)"
"","","DUS-NBHO30-K","1.1732","Pc(s)"
"","","KB-KAHFAR0-K","0.0208333","Pc(s)"
"SRM-RABS-KA","Repack","SRM-ABS-KA","1.0","Pc(s)"
"","","STIC-PABHS30-K","1.13865","Pc(s)"
"","","DUS-ABHS30-K","1.13865","Pc(s)"
"","","KB-KAHFAR0-K","0.0208333","Pc(s)"
"TC-R3LLF02-W","6","TC-R3LLF02-BULK","0.012","kg"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL02R0-W","1.0","Pc(s)"
"","","DUS-LPL02R2-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TWC-CLFTG-W","2","PLAS-DM60R0-W","1.0","Pc(s)"
"","","CONT-CVPFR0-W","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","TWC-CLFTG-BULK","0.011","kg"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"","","STIC-VCVPF42NR0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","DUS-CVPFR0-W","1.0","Pc(s)"
"","","STIC-BCVPF42NR0-W","1.0","Pc(s)"
"MY-RTCRE05-W","6 (INLINE)","TC-PC05-BULK","0.012","kg"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BTETC5R0-WRL","1.0","Pc(s)"
"","","DUS-ETWC5R3-W","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"TC-RE01-W","5","TC-PC02-BULK","0.012","kg"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BTETC1R0-WRL","1.0","Pc(s)"
"","","DUS-ETWC1R1-WRL","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"TC-PMN40-MO","3 (NON INLINE)","TC-PMN40-BULK","0.012","kg"
"","","CONT-PPFR1-MO","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BPPFN40R0-MO","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","","DUSS-PMFN40R0-MO","1.0","Pc(s)"
"","","KB-MOTWC3252-K150M12","0.04167","Pc(s)"
"TC-R3LLF04-W","5","TC-R3LLF04-BULK","0.012","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL04R0-W","1.0","Pc(s)"
"","","DUS-LPL04R2-W","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"MY-SRMASRM-W","3 (INLINE)","SRM-ASRM-BULK","0.015","kg"
"","","BOTO-GAACS15R3-W","1.0","Pc(s)"
"","","PIP-DB20S-X","1.0","Pc(s)"
"","","DUS-AACS15R1-W","1.0","Pc(s)"
"","","STIC-PAFR1-EM","1.0","Pc(s)"
"","","KB-WEGELR0-KMM125CF","0.0416667","Pc(s)"
"MY-RTCRE02-W","9 (INLINE)","TC-PC08-BULK","0.012","kg"
"","","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BTETC2R0-WRL","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","DUS-ETWC2R3-W","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"MY-RTCRE05-W","5 (INLINE)","TC-PC05-BULK","0.012","kg"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BTETC5R0-WRL","1.0","Pc(s)"
"","","DUS-ETWC5R1-WRL","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"MY-TCR3LLF02-W","7 (INLINE)","TC-R3LLF02-BULK","0.012","kg"
"","","CONT-LTCSR0-WRL","1.0","Pc(s)"
"","","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BLPL02R0-W","1.0","Pc(s)"
"","","DUS-LPL02R2-W","1.0","Pc(s)"
"","","STIC-PABR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.02778","Pc(s)"
"TC-PMC62-MO12G","6","TC-PMC62-BULK","0.012","kg"
"","","GODE-CPTZ59R1-MO","1.0","Pc(s)"
