"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"DUSS-EMLC17H-W","1","DUS-EMLC17C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC18H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC18C-WILD","1.0","Pc(s)"
"DUSS-EMLC09H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC09C-WILD","1.0","Pc(s)"
"DUSS-EMLC11H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC11C-WILD","1.0","Pc(s)"
"DUSS-EMLC14H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC14C-WILD","1.0","Pc(s)"
"BOTS-MURDLIS50R1-EM","1","STIC-PAGR0-EM","1.0","Pc(s)"
"","","BOTO-L50NAT-UPP","1.0","Pc(s)"
"","","STIC-SAMDLMUR1-EPET","1.0","Pc(s)"
"DUSS-LBBCL30R1-WM","1","STIC-PACESR1-WM","1.0","Pc(s)"
"","","DUS-LBBCL30C-WILD","1.0","Pc(s)"
"DUSS-IMLCR0-W","1","DUS-IMCLR1-WHPD","1.0","Pc(s)"
"","","STIC-PIIMCLR0-W","1.0","Pc(s)"
"CAPS-CBBMP50-W","2","STIC-COVCBBMP50-R1PP","1.0","Pc(s)"
"","","CAPP-R100WHITEM-PP","1.0","Pc(s)"
"CAPS-CBBO50-W","2","STIC-COVCBBOL50-R1PP","1.0","Pc(s)"
"","","CAPP-R100GREENO-PP","1.0","Pc(s)"
"DUSS-LBBCN30R1-WM","1","DUS-LBBCN30C-WILD","1.0","Pc(s)"
"","","STIC-PACESR1-WM","1.0","Pc(s)"
"DUSS-PMFC62R0-MO","1","STIC-VPPFC62R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFC62R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-EMLC11R0-WM","1","DUS-EMLC11C-WILD","1.0","Pc(s)"
"","","STIC-PADEMLC11-WMV","1.0","Pc(s)"
"DUSS-PMFN50R0-MO","1","STIC-VPPFN50R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFN50R0-MO","1.0","Pc(s)"
