DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYEXPERT EYE SHADOW,00940,"ES-ECL-W3,3GR",8993137692359,"WARDAH EYEXPERT EYESHADOW CLASSIC 3,3 GR",44144.14,2,0,2,88288.28,0,88288.28,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH HYDRA ROSE PETAL INFUSED TONER,02527,FT-RIHT-W,8993137708739,WARDAH HYDRA ROSE PETAL INFUSED TONER 100 ML,110360.37,3,0,3,331081.11,0,331081.11,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH BLUSH ON,00118,BO-W1B-W4GR,8993137680011,WARDAH BLUSH ON B 4 GR,40090.09,2,0,2,80180.18,0,80180.18,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH BLUSH ON,00117,BO-W1A-W4GR,8993137680004,WARDAH BLUSH ON A 4 GR,41441.44,2,0,2,82882.88,0,82882.88,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH C-DEFENSE BB CREAM,00012,DDC-CDN-W20ML,8993137691932,WARDAH C-DEFENSE DD CREAM NATURAL 20 ML (PC(S)),28288.29,5,0,5,141441.45,0,141441.45,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYEXPERT EYE SHADOW,00941,"ES-EPS-W3,3GR",8993137692366,"WARDAH EYEXPERT EYESHADOW PASSIONATE 3,3 GR",44144.14,2,0,2,88288.28,0,88288.28,
DC KENDARI,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE CONCEALER,02432,CON-CPADC01-W,8993137704564,CRYSTALLURE PRECIOUS ALL DAY CORRECTIVE CONCEALER 11 LIGHT 1.9 ML,110810.81,3,0,3,332432.43,0,332432.43,
DC KENDARI,CRYSTALLURE,PACKAGE BEAUTY,CRYSTALLURE ESSENTIAL SKIN CARE ROUTINE,02819,P-CTK-W,8993137708500,CRYSTALLURE ESSENTIAL SKIN CARE ROUTINE,225225.23,9,0,9,2027027.07,0,2027027.07,
DC KENDARI,EMINA,LIP MAKE UP,EMINA CREAMATTE,02446,L-CM16-EM5.5GR,8993137708357,EMINA CREAMATTE 16 SODA GEMBIRA 5.5 GR,41441.45,1,0,1,41441.45,0,41441.45,
DC KENDARI,EMINA,LIP MAKE UP,EMINA CREAMATTE,02449,L-CM19-EM5.5GR,8993137708388,EMINA CREAMATTE 19 PISANG COKELAT 5.5 GR,41441.45,1,0,1,41441.45,0,41441.45,
DC KENDARI,EMINA,LIP MAKE UP,EMINA SMOOCHIES LIP BALM,01043,LB-SLN-EM3.7GR,8993137691765,EMINA SMOOCHIES LIP BALM LEMONADE 3.7 GR (PC(S)),27477.48,2,0,2,54954.96,0,54954.96,
DC KENDARI,INSTAPERFECT,FACE MAKE UP,INSTAPERFECT TWC,01687,TC-IPMFPF11-W13G,8993137700627,INSTAPERFECT MATTE FIT POWDER FOUNDATION 11. FAIR 13 G,109009.01,4,0,4,436036.04,0,436036.04,
DC KENDARI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIP CREAM LONGLASTING,02462,L-IPEI04-W,8993137707640,INSTAPERFECT EVERLAST INTENSE MATTE LIQUID 04 GRANDE 4.2 G,90090.09,4,0,4,360360.36,0,360360.36,
DC KENDARI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIPSTICK MATTETITUDE,01855,L-IPMMS01-W3.5G,8993137701266,INSTAPERFECT MATTETITUDE MATTE STAIN LIPSTICK 01. SWING 3.5 G,72972.97,1,0,1,72972.97,0,72972.97,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER POWERSTAY EYE LINER LIQUID,01673,EL-PPLJB-MO2.7G,8993137700443,MAKE OVER POWERSTAY PRECISION LIQUID LINER JET BLACK 2.7 G,94594.59,1,0,1,94594.59,0,94594.59,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER HYDRASTAY SMOOTH LIP WHIP,02538,L-HSLWE-MO,8993137709743,MAKE OVER HYDRASTAY SMOOTH LIP WHIP C05 SWIFT 6.5 G,98198.2,4,0,4,392792.8,0,392792.8,
DC KENDARI,MAKE OVER,FACE MAKE UP,MAKE OVER TWC,00892,TC-PC06-MO12G,8993137681674,MAKE OVER PERFECT COVER TWC 06 CAPPUCCINO 12 G (PC(S)),144144.14,1,0,1,144144.14,0,144144.14,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LIPMATTE,02198,L-CHC03-MO,8993137706155,MAKE OVER COLOR HYPNOSE CREAMY LIPMATTE 03 ALLURE 4.3 G,76576.58,8,0,8,612612.64,0,612612.64,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER HYDRASTAY SMOOTH LIP WHIP,02535,L-HSLWB-MO,8993137709712,MAKE OVER HYDRASTAY SMOOTH LIP WHIP C02 BALLAD 6.5 G,98198.2,1,0,1,98198.2,0,98198.2,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LIPMATTE,02197,L-CHC02-MO,8993137706148,MAKE OVER COLOR HYPNOSE CREAMY LIPMATTE 02 FLIRT 4.3 G,76576.58,12,0,12,918918.96,0,918918.96,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER HYDRASTAY SMOOTH LIP WHIP,02539,L-HSLWF-MO,8993137709750,MAKE OVER HYDRASTAY SMOOTH LIP WHIP C06 LIVELY 6.5 G,98198.2,1,0,1,98198.2,0,98198.2,
DC KENDARI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,01594,TC-PMC62-MO12G,8993137699785,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION C62 RICH COCOA 12 G,169369.37,3,0,3,508108.11,0,508108.11,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER EYE LINER PENCIL,00649,EL-PSL-MO1.2G,8993137692694,"MAKE OVER EYE LINER PENCIL SILVER LINES 1,2 G (PC(S))",77477.48,2,0,2,154954.96,0,154954.96,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER HYDRASTAY SMOOTH LIP WHIP,02542,L-HSLWI-MO,8993137709781,MAKE OVER HYDRASTAY SMOOTH LIP WHIP C09 ADMIRE 6.5 G,98198.2,2,0,2,196396.4,0,196396.4,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER POWERSTAY EYEBROW MASCARA,02021,EB-DMCL-MO,8993137702324,MAKE OVER POWERSTAY BROW DEFINER MASCARA 02 CHOCOLATE 6.5 G,103603.6,1,0,1,103603.6,0,103603.6,
