Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
BOTO-CTKBE10-W,9384,0,0,0,0,2688,0,0,0,0,2688,0,0,0,2688,0,
BOTO-CTKBE10R1-CL,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CTR0-E,33332,34408,46236,39068,37992,43728,34408,30824,47312,30824,39068,46236,31900,37992,39068,15412,
BOTO-CUCR0-IP,7448,19418,4788,6384,4788,9576,4788,6384,9576,6384,6384,7980,9576,6384,7980,7980,
BOTO-CVML10R1-W,6548,13096,26192,19644,19644,26192,19644,13096,19644,19644,19644,19644,19644,19644,19644,13096,
BOTO-CVML11R1-W,6548,19644,19644,19644,19644,19644,19644,13096,19644,19644,19644,19644,19644,13096,19644,6548,
BOTO-CVML12R1-W,19644,32740,39288,32740,26192,39288,32740,26192,39288,26192,32740,39288,32740,32740,32740,19644,
BOTO-CVML13KR0-W,26192,19644,45836,32740,32740,39288,32740,26192,39288,32740,32740,39288,32740,32740,32740,19644,
BOTO-CVML14R1-W,13096,19644,26192,26192,19644,32740,19644,19644,26192,26192,19644,32740,19644,26192,19644,13096,
BOTO-CVML9R1-W,6548,26192,32740,26192,26192,39288,26192,19644,32740,26192,26192,32740,26192,26192,26192,13096,
BOTO-CVMLM1R0-W,0,6548,19644,6548,13096,13096,13096,6548,13096,13096,13096,13096,6548,13096,13096,0,
BOTO-CVMLM2R0-W,6548,6548,13096,13096,6548,13096,13096,6548,6548,13096,6548,13096,6548,13096,6548,6548,
BOTO-CVMLM3R0-W,6548,0,13096,6548,6548,13096,6548,6548,6548,6548,6548,13096,6548,6548,6548,0,
BOTO-CVMLM4R1-W,6548,6548,19644,6548,13096,19644,6548,13096,13096,13096,13096,13096,13096,13096,13096,6548,
BOTO-CVMLM5R2-W,6548,13096,26192,13096,19644,19644,13096,13096,19644,19644,13096,19644,13096,19644,19644,6548,
BOTO-CVMLM6R0-W,0,6548,6548,13096,6548,13096,6548,6548,6548,13096,6548,6548,13096,6548,6548,6548,
BOTO-CVMLM7R1-W,6548,6548,19644,13096,13096,19644,13096,13096,13096,13096,13096,19644,13096,13096,19644,6548,
BOTO-CVMLM8R2-W,6548,19644,39288,32740,32740,39288,32740,19644,39288,26192,32740,39288,26192,32740,26192,19644,
BOTO-DFS170R2-WHDPE,16730,16730,16730,16730,16730,16730,16730,16730,16730,16730,16730,16730,16730,0,0,0,
BOTO-DROPH-K,3941,1591,3941,2350,1591,3941,1591,0,1591,3941,1591,1591,1591,0,1591,1591,
