Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/HK09113;2;g;Raw Material;0.002; 426,732 ; 853 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IB26031;39.5;g;Raw Material;0.0395; 113,899 ; 4,499 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Quarantine/RM;GBMJTK6/IE28230;-80.4;g;Raw Material;-0.0804; 113,899 ;-9,157 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Quarantine/RM;GBMJTK6/IF04071;-54;g;Raw Material;-0.054; 191,995 ;-10,368 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Quarantine/RM;GBMJTK6/IF02006;-48;g;Raw Material;-0.048; 486,842 ;-23,368 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Quarantine/RM;GBMJTK6/IE27104;-3;g;Raw Material;-0.003; 88,724 ;-266 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Quarantine/RM;GBMJTK6/IE19017;-22;g;Raw Material;-0.022; 736,768 ;-16,209 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Quarantine/RM;GBMJTK6/IE28019;-24;g;Raw Material;-0.024; 198,243 ;-4,758 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Quarantine/RM;GBMJTK6/IE18088;-12;g;Raw Material;-0.012; 519,266 ;-6,231 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Quarantine/RM;GBMJTK6/IE03104;-2;g;Raw Material;-0.002; 167,731 ;-335 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Quarantine/RM;GBMJTK6/IF15011;-224.8;g;Raw Material;-0.2248; 736,768 ;-165,625 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IE28230;83.5;g;Raw Material;0.0835; 113,899 ; 9,511 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/IF04071;54;g;Raw Material;0.054; 191,995 ; 10,368 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/IF02006;48;g;Raw Material;0.048; 486,842 ; 23,368 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IE19017;22;g;Raw Material;0.022; 736,768 ; 16,209 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/IE28019;24;g;Raw Material;0.024; 198,243 ; 4,758 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Stock/RM;GBMJTK6/IE18088;12;g;Raw Material;0.012; 519,266 ; 6,231 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/IE04044;0;g;Raw Material;0; 968,810 ; - ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/HL10151;44;g;Raw Material;0.044; 426,732 ; 18,776 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/IE03104;2;g;Raw Material;0.002; 167,731 ; 335 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Stock/RM;GBMJTK6/IF15188;600;g;Raw Material;0.6; 519,266 ; 311,560 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/IF18122;400.5;g;Raw Material;0.4005; 88,724 ; 35,534 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IF11105;1479.4;g;Raw Material;1.4794; 113,899 ; 168,501 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IF17166;0;g;Raw Material;0; 113,899 ; - ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IF15011;224.8;g;Raw Material;0.2248; 736,768 ; 165,625 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/IF28065;562.95;g;Raw Material;0.56295; 88,724 ; 49,947 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/HL22278;149.3;g;Raw Material;0.1493; 426,732 ; 63,711 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/IF14086;879;g;Raw Material;0.879; 191,995 ; 168,764 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/IG16077;-1.42109E-14;g;Raw Material;-1.42109E-17; 167,731 ;-0 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/IF29014;0;g;Raw Material;0; 486,842 ; - ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Quarantine/RM;GBMJTK6/IF21007;-112.88;g;Raw Material;-0.11288; 736,768 ;-83,166 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IF21007;112.88;g;Raw Material;0.11288; 736,768 ; 83,166 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IF15012;0;g;Raw Material;0; 736,768 ; - ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Quarantine/RM;GBMJTK6/IH05081;0.09999;g;Raw Material;0.00009999; 404,398 ; 40 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/IH05081;0.09999;g;Raw Material;9.999E-05; 404,398 ; 40 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/II17002;0.05;g;Raw Material;5E-05; 486,842 ; 24 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/II27138;0.02;g;Raw Material;2E-05; 167,731 ; 3 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/II07018;0.01;g;Raw Material;1E-05; 736,768 ; 7 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/II07164;0.15001;g;Raw Material;0.00015001; 198,243 ; 30 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/II21027;0.10001;g;Raw Material;0.00010001; 486,842 ; 49 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/II10007;2E-05;g;Raw Material;2E-08; 113,899 ; 0 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/II28175;0.2;g;Raw Material;0.0002; 616,831 ; 123 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/II03007;0.05;g;Raw Material;5E-05; 113,899 ; 6 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/II15157;0.05001;g;Raw Material;5.001E-05; 191,995 ; 10 ;;;;;;;
