Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Stock/RM;GBMJTK6/JH29124;0.1;g;Raw Material;1E-04; 281,339 ; 28 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JI13005;6636.1;g;Raw Material;6.6361; 113,899 ; 755,842 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH30059;217;g;Raw Material;0.217; 486,842 ; 105,645 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/JE27061;0.0752;kg;Raw Material;0.0752; 312,487 ; 23,499 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/JI21094;220;g;Raw Material;0.22; 894,674 ; 196,828 ;;;;;;;
CLR3-RED-AAJ;WARN-C19012-DCR6-K;C19-012;JTK 4/Stock/RM;GBMJTK6/JF14167;0.6;g;Raw Material;0.0006; 1,212,374 ; 727 ;;;;;;;
CLR3-BRW-AAC;WARN-TOA403-KF;Tudor Oak;JTK 4/Stock/RM;GBMJTK6/JF14165;44.4;g;Raw Material;0.0444; 346,170 ; 15,370 ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/JI22122;0.26669;kg;Raw Material;0.26669; 322,525 ; 86,014 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JJ03059;41;g;Raw Material;0.041; 59,649 ; 2,446 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JJ06051;12;g;Raw Material;0.012; 59,649 ; 716 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JI30098;33;g;Raw Material;0.033; 59,649 ; 1,968 ;;;;;;;
EMS1-ACB;EMUL-NS-X;Emulsifier NS;JTK 4/Stock/RM;GBMJTK6/JI15080;14151.02;g;Raw Material;14.15102; 681,048 ; 9,637,528 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/JI30080;1277.8;g;Raw Material;1.2778; 167,731 ; 214,327 ;;;;;;;
PRV3-AAI;PENG-CLRP-X;Chlorphenesin;JTK 4/Stock/RM;GBMJTK6/JI14043;950;g;Raw Material;0.95; 653,540 ; 620,863 ;;;;;;;
CHE3-AAB;EDT-B--K;EDTA;JTK 4/Stock/RM;GBMJTK6/JI21156;1689.7;g;Raw Material;1.6897; 104,904 ; 177,257 ;;;;;;;
RHM3-ACH;XANT---K;Keltrol 2;JTK 4/Stock/RM;GBMJTK6/JI20025;1600;g;Raw Material;1.6; 256,323 ; 410,117 ;;;;;;;
WBE3-AAB;EKS-DCV-X;Ekstrak Pemanis;JTK 4/Stock/RM;GBMJTK6/JJ13076;788.07;g;Raw Material;0.78807; 6,323,109 ; 4,983,053 ;;;;;;;
ASB3-AAC;STAY--DSMR-K;Vitamin C;JTK 4/Stock/RM;GBMJTK6/JI21092;1920;g;Raw Material;1.92; 3,312,967 ; 6,360,897 ;;;;;;;
ASB1-AAF;ACTI-VEAC-X;Vit E-Acetate;JTK 4/Stock/RM;GBMJTK6/JJ06043;1.84;kg;Raw Material;1.84; 393,417 ; 723,888 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Stock/RM;GBMJTK6/JH31102;1740;g;Raw Material;1.74; 51,169 ; 89,034 ;;;;;;;
OBW1-AAI;OIL-A850029-X;Almond Oil;JTK 4/Stock/RM;GBMJTK6/JH23147;355;g;Raw Material;0.355; 269,043 ; 95,510 ;;;;;;;
OBW1-AAI;OIL-A850029-X;Almond Oil;JTK 4/Stock/RM;GBMJTK6/JG01135;1405;g;Raw Material;1.405; 269,043 ; 378,005 ;;;;;;;
MST3-AAB;BIO-HYAL-BIL;Hyaluronic acid;JTK 4/Stock/RM;GBMJTK6/JH15153;200;g;Raw Material;0.2; 18,573,697 ; 3,714,739 ;;;;;;;
EMO1-ADD;HAIM-DIS-X;Emollient DIS;JTK 4/Quarantine/RM;GBMJTK6/JH25061;2397;g;Raw Material;2.397; 447,584 ; 1,072,860 ;;;;;;;
PWD3-ADB;TITA--3328EW-K;Titanium;JTK 4/Quarantine/RM;GBMJTK6/JA17065;600;g;Raw Material;0.6; 123,191 ; 73,915 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Quarantine/RM;GBMJTK6/ID22092;3;g;Raw Material;0.003; 444,452 ; 1,333 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Quarantine/RM;GBMJTK6/JG25012;503.1;g;Raw Material;0.5031; 426,732 ; 214,689 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Quarantine/RM;GBMJTK6/JI06004;96.9;g;Raw Material;0.0969; 426,732 ; 41,350 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Quarantine/RM;GBMJTK6/JH29123;959.5;g;Raw Material;0.9595; 281,339 ; 269,944 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Quarantine/RM;GBMJTK6/JH29124;765.5;g;Raw Material;0.7655; 281,339 ; 215,365 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Quarantine/RM;GBMJTK6/JI30080;15;g;Raw Material;0.015; 167,731 ; 2,516 ;;;;;;;
PRF1-ADF;PARF-VMR-X;Parfum Lipstik C;JTK 4/Quarantine/RM;GBMJTK6/JH23209;600;g;Raw Material;0.6; 722,414 ; 433,448 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JI20024;499.5;g;Raw Material;0.4995; 113,899 ; 56,892 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Quarantine/RM;GBMJTK6/JG18054;24344.97;g;Raw Material;24.34497; 520,361 ; 12,668,182 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JJ31070;1407.591;g;Raw Material;1.407591; 88,724 ; 124,888 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JJ18091;6729.5;g;Raw Material;6.7295; 113,899 ; 766,480 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JH02116;100;g;Raw Material;0.1; 340,491 ; 34,049 ;;;;;;;
PRV1-BBABG;PENG-NPGEHP-X;Pengawet PHE;JTK 4/Stock/RM;GBMJTK6/JJ19023;-1.38778E-17;kg;Raw Material;-1.38778E-17; 146,226 ;-0 ;;;;;;;
PRF1-ADF;PARF-VMR-X;Parfum Lipstik C;JTK 4/Stock/RM;GBMJTK6/JK01138;22.4775;g;Raw Material;0.0224775; 722,414 ; 16,238 ;;;;;;;
EMO1-CBADB;EMO-RFNJO-X;Jojoba Oil II;JTK 4/Stock/RM;GBMJTK6/JL14045;0.0015;kg;Raw Material;0.0015; 405,159 ; 608 ;;;;;;;
CLR3-RED-ACI;WARN-K7057J-X;Red 7057;JTK 4/Stock/RM;GBMJTK6/JG04077;4;g;Raw Material;0.004; 11,819,737 ; 47,279 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/JG18053;4.5;g;Raw Material;0.0045; 520,361 ; 2,342 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JL26212;999.9;g;Raw Material;0.9999; 113,899 ; 113,887 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Stock/RM;GBMJTK6/JH05064;0.3;g;Raw Material;0.0003; 301,440 ; 90 ;;;;;;;
CLR3-RED-ABB;WARN-C19011-R7CL-K;C19-011;JTK 4/Stock/RM;GBMJTK6/JL13073;36;g;Raw Material;0.036; 939,814 ; 33,833 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Quarantine/RM;GBMJTK6/JJ11186;3;g;Raw Material;0.003; 59,649 ; 179 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/KB06029;0;g;Raw Material;0; 113,899 ; - ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/KA05120;6E-05;kg;Raw Material;6E-05; 322,525 ; 19 ;;;;;;;
CLR3-RED-ACD;WARN-K7008J-X;Red 7008;JTK 4/Stock/RM;GBMJTK6/IF21126;10;g;Raw Material;0.01; 12,965,246 ; 129,652 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Stock/RM;GBMJTK6/JH05077;94.57;g;Raw Material;0.09457; 301,440 ; 28,507 ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/KB23130;0.0011;kg;Raw Material;0.0011; 322,525 ; 355 ;;;;;;;
CLR3-ORN-AAC;WARN-O025-X;Warna Orange 205;JTK 4/Stock/RM;GBMJTK6/IH27113;0.41;g;Raw Material;0.00041; 1,562,910 ; 641 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/KB17010;1;g;Raw Material;0.001; 486,842 ; 487 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/KB27084;8662.5;g;Raw Material;8.6625; 113,899 ; 986,646 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/KC03029;0;kg;Raw Material;0; 312,487 ; - ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/KB24065;-5.68434E-14;g;Raw Material;-5.68434E-17; 426,732 ;-0 ;;;;;;;
PRV1-BBABG;PENG-NPGEHP-X;Pengawet PHE;JTK 4/Stock/RM;GBMJTK6/KB08021;-5.55112E-17;kg;Raw Material;-5.55112E-17; 146,226 ;-0 ;;;;;;;
PRF1-ADF;PARF-VMR-X;Parfum Lipstik C;JTK 4/Stock/RM;GBMJTK6/KB14168;0.005;g;Raw Material;5E-06; 722,414 ; 4 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/KC06003;9297.5;g;Raw Material;9.2975; 113,899 ; 1,058,971 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/KC17045;0;kg;Raw Material;0; 312,487 ; - ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/KB06193;-5.68434E-14;g;Raw Material;-5.68434E-17; 88,724 ;-0 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/KD06022;150;g;Raw Material;0.15; 426,732 ; 64,010 ;;;;;;;
CLR3-BLK-ABB;WARN-ABIO-X;Black A-IO;JTK 4/Stock/RM;GBMJTK6/JJ18105;0.5;g;Raw Material;0.0005; 288,858 ; 144 ;;;;;;;
