Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
924,SUNS-TNAB-X,Sun-Defense,SCR1-ABB,"Tinosorb A2B ex BASF SE, Germany",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,SUNS-TNAB-X,Active,,,#N/A,,,
925,EMU-CSF-X,Emollient SSF,EMO1-AGE,"Cetiol Sensoft ex BASF SE, Germany",Kg,Eksis,,"BASF Distribution Indonesia, PT",18,175,Septi,Pull,,EMU-CSF-X,Active,,,#N/A,,,
926,SUNS-TNSM-X,Sunprotect,SCR1-ABA,"Tinosorb M ex BASF SE, Germany",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,SUNS-TNSM-X,Active,,,#N/A,,,
927,EMUL-ESPL-X,Emulsifier Mild,EMS1-ADA,"Emulgade Sucro Plus ex BASF SE, Germany",Kg,Eliminasi,,"BASF Distribution Indonesia, PT",20,25,Septi,Pull,,EMUL-ESPL-X,Active,,,#N/A,,,
928,OIL-LXFS-X,Sundispers,DSP1-AAI,"Lexfilm Sun ex Inolex Inc, USA",Kg,Eksis,,"Namsiang Trading Indonesia, PT",12,20,Amel,,,OIL-LXFS-X,Active,,,#N/A,,,
929,SUNS-PEHS-X,Sunscreen EHS,SCR1-AAJ,"Parsol EHS ex DSM Nutritional Products, France",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",20,200,Septi,Pull,,SUNS-PEHS-X,Active,,,#N/A,,,
930,EMU-CULT-X,Emollient LTE,EMO1-AGG,"Cetiol Ultimate ex BASF SE, Germany",Kg,Eksis,,"BASF Distribution Indonesia, PT",18,20,Septi,Pull,,EMU-CULT-X,Active,,,#N/A,,,
931,EMUL-EMLP-X,Emollient PRS,EMS3-ABD,"Eumulgin Prisma ex BASF SE, Germany",Kg,Eksis,,"BASF Distribution Indonesia, PT",12,10,Septi,Pull,,EMUL-EMLP-X,Active,,,#N/A,,,
932,EKS-PPEC-X,Pink Paradise Extract,WBE1-ACD,"Phytessence Pink Pomelo EC ex Crodarom, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,5,Ilham,,,EKS-PPEC-X,Active,,,#N/A,,,
933,SCRU-OATP1-X,Scrub Oat,EXF3-ABD,"Oat Phytpeel 1000 ex Greenphyt, France",Kg,Eksis,Cek Mikro,"Colorindo Chemtra, PT",10,10,Amel,Pull,,SCRU-OATP1-X,Active,,,#N/A,,,
934,VITC-ASYA-X,Oxybeads Yellow,VES3-AAC,"ATL Sphere Yellow-1A(1825BR) ex AT Lab Co., Ltd, Korea",Kg,Eksis,Cek Mikro,"IMCD Indonesia, PT",10,15,Ilham,,,VITC-ASYA-X,Active,,,#N/A,,,
935,OIL-RSOLIDS-X,Minyak Rosmarinus,OBW1-ABB,"Rosemary Oil 850009 ex Indesso, Indonesia",Kg,Eksis,Cek Mikro,"Indesso Aroma, PT",16,1,Ilham,,,OIL-RSOLIDS-X,Active,,,#N/A,,,
936,EMUL-LCG-X,RHM Soft,RHM3-AFH,"Lecigel ex Lucas Meyer, France",Kg,Eksis,,"Menjangan Sakti, PT",12,5,Septi,Pull,,EMUL-LCG-X,Active,,,#N/A,,,
937,SURF-DIAK-X,Sabun Surfaktan,SRF1-ABH,"Diapon KSF ex NOF Corporation, Japan",Kg,Eksis,,"Kemiko Indonesia, PT",12,544,Septi,Pull,palet,SURF-DIAK-X,Active,,,#N/A,,,
938,MOIS-PTVT-X,Moisturizer Gula,MST1-ACI,"Pentavitin ex DSM Nutritional Product, Switzerland",Kg,Eksis,Cek Mikro,"Tritunggal Artha Makmur, PT",12,1,Ilham,,,MOIS-PTVT-X,Active,,,#N/A,,,
939,WAX-PM7-X,Crysin Wax,WAX3-ADJ,"Performalene M70 ex New Phase Technologies, USA",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WAX-PM7-X,Active,,,#N/A,,,
940,POWD-TKLTS-X,Smooth Powder,PWD3-AHE,"Ti-K Lusil Talc SF ex Athena Corp Co., Ltd., Thailand",Kg,Habiskan stock,Cek Mikro,"Marga Dwi Kencana, PT",16,25,Amel,,,POWD-TKLTS-X,Active,,,#N/A,,,
941,WAX-ACG-X,Apila Wax,WAX3-AEB,"Apifil CG ex Gattefosse SAS, France",Kg,Eksis,,"Infinisia Sumber Semesta, PT",20,25,Ilham,,,WAX-ACG-X,Active,,,#N/A,,,
942,WAX-EWCM-X,Cirewax,WAX3-AEC,"Emulcire 61 WL 2659 CG MB ex Gattefosse SAS, France",Kg,Eksis,,"Infinisia Sumber Semesta, PT",20,25,Ilham,,,WAX-EWCM-X,Active,,,#N/A,,,
943,ACTI-BWCTA-X,Capsule Beads,MST2-AAE,"Biogenic Wet Capsule - Bead (TCS02)-A100 ex BioGenics, Inc., Korea",Kg,Eksis,Cek Mikro,"Colorindo Chemtra, PT",14,20,Amel,Pull,,ACTI-BWCTA-X,Active,,,#N/A,,,
944,EXTR-RW-R-X,Air Mawar,WBE1-ACF,"Rose æ°Ž(ND) ex. Radiant Inc., Republic of Korea",Kg,Eksis,Cek Mikro,"Nardevchem Kemindo, PT",12,200,Septi,,,EXTR-RW-R-X,Active,,,#N/A,,,
945,PTL-RGCPTPLP-X,Petal Mawar Prancis,VES3-AAB,"Rose Gallica Phytpeel Petals ex. Greenphyt, France",Kg,Eksis,Cek Mikro,"Colorindo Chemtra, PT",10,2.5,Amel,Pull,,PTL-RGCPTPLP-X,Active,,,#N/A,,,
946,SCRUB-SBBF-X,Scrub Silica Merah,EXF3-ABB,"Sorbosil BFG54 ex PQ Silicas UK Ltd, UK",Kg,Eksis,,"IMCD Indonesia, PT",12,15,Ilham,,,SCRUB-SBBF-X,Active,,,#N/A,,,
947,SILI-KFFA-X,Silikon Fluid,SLC1-ACI,"KF-56A ex ShinEtsu, Japan",Kg,Eksis,,"Menjangan Sakti, PT",16,18,Septi,Pull,,SILI-KFFA-X,Active,,,#N/A,,,
948,SILI-SSFM-X,Silikon MTM,SLC1-ACH,"SeraSense SF MTM ex KCC Beauty, Korea",Kg,Eksis,,"Avantchem, PT",16,15,Amel,,,SILI-SSFM-X,Active,,,#N/A,,,
949,ACTI-VCR-X,PWD Carbon,APL3-AAF,"Vegetable Charcoal ex Sensisent Cosmetic Technologies, France",Kg,Eksis,,"Pitala Gunawan Raya, PT",20,12,Amel,,,ACTI-VCR-X,Active,,,#N/A,,,
950,ACTI-WLHA-AM,EXF Mix Citrus,WBE1-ADA,"WildLime Harvest AF exSouthern Cross Botanicals Pty Ltd, Australia",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",12,5,Septi,Pull,,ACTI-WLHA-AM,Active,,,#N/A,,,
951,ACTI-CBSS-AM,WBE Mineral,EXF3-ABE,"Crodarom Bali Sea Salt ex Crodarom SA, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,25,Ilham,,,ACTI-CBSS-AM,Active,,,#N/A,,,
952,ACTI-SPM3-X,APL Energizing,APL1-AAB,"Sepitonic M3 ex Seppic S.A., France",Kg,Belum Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,ACTI-SPM3-X,Active,,,#N/A,,,
953,ACTI-HFG-X,EMO Natural,EMO1-AHD,"Hydrolite 5 Green ex Symrise AG, USA",Kg,Eksis,,"Symrise, PT",16,25,Ilham,,,ACTI-HFG-X,Active,,,#N/A,,,
954,GARA-RSPG-X,Garam Refifa,AA3-1,Refined Salt Pharmacy Grade (PG) ex PT Unichem Candi Indonesia,Kg,Belum Eksis,,"Tirta Buana Kemindo, PT",2,25,Amel,,,GARA-RSPG-X,diubah dari 0 untuk running ddsn,,,#N/A,,,
955,EMU-SROL-X,Roos Active,EMO1-AGA,"Soft Rose Oleoactif ex Oleos SAS, France",Kg,Eksis,Cek Mikro,"Lautan Luas, PT",20,10,Ilham,Pull,,EMU-SROL-X,,,,#N/A,,,
956,EKS-ACFPH-X,Crane-berry,WBE1-ACG,"Actiphyte Cranberry Fruit PH ex Lipotec USA Inc., USA",Kg,Eliminasi,Cek Mikro,"Interchem Prima Mitra, PT",2,4,Ilham,,,EKS-ACFPH-X,,,,#N/A,,,
957,EMU-PCLL-X,Lithe Liquid,EMO1-AGC,"PCL Liquid 100 ex Symrise AG, Germany",Kg,Eksis,,"Symrise, PT",20,175,Ilham,,,EMU-PCLL-X,,,,#N/A,,,
958,ACTI-MGCPW-X,Anti aging powder,AAG3-AAH,"MVP Golden Collagenine Powder ex Infinitec, Spain",Kg,Eksis,Cek Mikro,"Symbio Inti Perkasa, PT",12,1,Ilham,,,ACTI-MGCPW-X,,,,#N/A,,,
959,POWD-HTTS-X,Talc Soft,PWD3-AHD,"8HT-TS ex Anhui Grea New Materials Technology Co., Ltd., China",Kg,Eksis,,"DKSH Indonesia, PT",12,20,Septi,,,POWD-HTTS-X,,,,#N/A,,,
960,ACTI-ALARB-X,Whitening Active,WHT3-AAJ,"Alpha Arbutin ex DSM, China",Kg,Eksis,Cek Mikro,"Tritunggal Artha Makmur, PT",12,1,Ilham,,,ACTI-ALARB-X,,,,#N/A,,,
961,SILI-KSPO-X,Siloyl,SLC1-ADA,"KSP-101 ex Shin-Etsu Chemical Co., Ltd., Japan",Kg,Eksis,,"Menjangan Sakti, PT",16,15,Septi,Pull,,SILI-KSPO-X,,,,#N/A,,,
962,SUNS-PRSHMS-X,Sun-Solution,SCR1-ABD,"Parsol HMS ex DSM Nutritional Products, Ltd., Taiwan",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",20,25,Septi,Pull,,SUNS-PRSHMS-X,,,,#N/A,,,
963,SUNS-PRSHD-X,Sunscreen BEMT,SCR1-ABC,"Parsol Shield ex DSM, Switzerland",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",20,20,Septi,Pull,,SUNS-PRSHD-X,,,,#N/A,,,
964,SUNS-HYAB-X,Sunny-Sun,SCR3-ABC,"Hybrid AB ex Sunjin, Korea",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,20,Ilham,,,SUNS-HYAB-X,,,,#N/A,,,
965,ACTI-VEAC-X,Vit E-Acetate,ASB1-AAF,"Vitamin E-Acetate Care ex BASF SE, Germany",Kg,Eksis,,"BASF Distribution Indonesia, PT",18,210,Septi,Pull,palet,ACTI-VEAC-X,,,,#N/A,,,
966,EXTR-CHEN-X,Ponies Extract,HRC1-ABD,"Coltsfoot – Horsetall Extract NA22908 ex Crodarom SAS, France ",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,25,Ilham,,,EXTR-CHEN-X,,,,#N/A,,,
967,POWD-TGHD-X,Talc Filler,PWD3-AHF,"TG10-HDI ex Chuzhou Grea Minerals Co, Ltd., China",Kg,Eksis,,"DKSH Indonesia, PT",12,25,Septi,,,POWD-TGHD-X,,,,#N/A,,,
968,ACTI-TXPP-X,Glowy Peptide,WHT1-AAH,"TX-Pep ex A&Pep, Korea",Kg,Eksis,Cek Mikro,"Marga Dwi Kencana, PT",16,1,Amel,,,ACTI-TXPP-X,,,,#N/A,,,
969,ACTI-TRXV-X,Whitening Peptide,WHT1-AAG,Tranexell-V10,Kg,Belum Eksis,Cek Mikro,"Marga Dwi Kencana, PT",16,1,Amel,,,ACTI-TRXV-X,,,,#N/A,,,
970,ACTI-FPMG-X,Pome Extract,AA1-ABA,"Fruitliquid Pomegranate EC ex Crodarom SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,10,Ilham,,,ACTI-FPMG-X,,,,#N/A,,,
971,THIC-MKMTWLV-X,Bouncy powder,RHM3-AGA,Makimousse 12,Kg,Belum Eksis,Cek Mikro,"Kemiko Indonesia, pT",20,15,Septi,Pull,,THIC-MKMTWLV-X,,,,#N/A,,,
972,EXTR-RMGE-X,Grain Extract,OBW1-ABC,"Rice Milk Glycolic Extract ex PT Haldin Pasific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-RMGE-X,,,,#N/A,,,
973,EMUL-MTVT-X,Emunol,EML3-ABD,"Montanov 202 ex Seppic, France",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,EMUL-MTVT-X,,,,#N/A,,,
974,THIC-OLKS-X,Thickenol,RHM3-AFJ,"Oilkemia 5S Polymer ex Lubrizol, USA",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,22.7,Ilham,,,THIC-OLKS-X,,,,#N/A,,,
975,ACTI-APLR-X,Anti Pollution Extract,APL3-AAB,"Redivine ex Exsymol Monaco, France",Kg,Eksis,Cek Mikro,"Nardevchem Kemindo, PT",16,5,Septi,,,ACTI-APLR-X,,,,#N/A,,,
976,SUNS-PNGEX-X,Glabra extract,SCR3-ABD,"Pongamia Extract ex Kancor, India",Kg,Habiskan stock,Cek Mikro,"Mane Indonesia, PT",12,1,Amel,,,SUNS-PNGEX-X,,,,#N/A,,,
977,PWD-SYS-X,Powder Mica Sintetik,PWD3-AHI,"Synafil S 115 ex Eckart, Finland",Kg,Eksis,Cek Mikro,"DKSH Indonesia, PT",20,25,Septi,,,PWD-SYS-X,,,,#N/A,,,
978,EXTR-PTHXCLND-X,Ekstrak Calendula,WBE1-ACE,"Phytexcell Calendula ex Crodarom, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,10,Ilham,,,EXTR-PTHXCLND-X,,,,#N/A,,,
979,HUM-DGCRS-X,Humektan DGC,MST1-ACH,"Diglycerin S ex Sakamoto Orient Chemical Corporation, Philipine",Kg,Eksis,,"Marga Dwi Kencana, PT",14,20,Amel,,,HUM-DGCRS-X,,,,#N/A,,,
980,MOIS-PRDSX-X,Amino Active,MST1-ADA,"Prodew 600 ex Ajinomoto do Brasil Industia e Com De Alimentos Ltda, Brazil",Kg,Eksis,Cek Mikro,"Lautan Luas, PT",12,22,Ilham,Pull,,MOIS-PRDSX-X,,,,#N/A,,,
981,MOIS-RNGBC-X,Anti aging extract,MST3-AAJ,"RNAge BC10054 ex BASF SE, France",Kg,Belum Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,0.5,Septi,Pull,,MOIS-RNGBC-X,,,,#N/A,,,
982,SILI-6561-X,Silicon TCS,SLC1-ADC,TCS-6561,Kg,Eliminasi,,"Indokemika Jayatama, PT",12,190,Amel,,,SILI-6561-X,,,,#N/A,,,
983,SILI-GRDM-X,Silikon Serap Minyak,SLC2-AAJ,"Gransil DMG-3 ex Grant Industries, Inc., USA",Kg,Eliminasi,,"IMCD Indonesia, PT",18,18,Ilham,,,SILI-GRDM-X,72,,,#N/A,,,
984,SILI-GPUQ-X,Powder Anti Kerut,PWD3-AIB,Granpowder USQ,Kg,Eliminasi,,"IMCD Indonesia, PT",18,20,Ilham,,,SILI-GPUQ-X,,,,#N/A,,,
985,SILI-GR67-X,Silikon Emulsifier WO,SLC1-ADB,Gransurf 67,Kg,Eksis,,"IMCD Indonesia, PT",18,18,Ilham,,,SILI-GR67-X,,,,#N/A,,,
986,SILI-GREL-X,Silikon Powdery Feel,SLC3-ABA,Gransil EP-LS,Kg,Eksis,,"IMCD Indonesia, PT",18,20,Ilham,,,SILI-GREL-X,,,,#N/A,,,
987,EXTR-MGEX-X,Pemutih Bunga Magnolia,WBE1-ADB,"Magnolia Extract ex Bioland, Korea",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",12,5,Septi,Pull,,EXTR-MGEX-X,,,,#N/A,,,
988,ACTI-BEUT-X,PolluActive,APL3-AAE,"Beauactive ex DSM, Switzerland",Kg,Eliminasi,Cek Mikro,"Tritunggal Artha Makmur, PT",12,1,Ilham,,,ACTI-BEUT-X,,,,#N/A,,,
989,EXTR-JPBBR-X,Berry Blossoms,OBW1-ABH,"Japanese Beauty Berry ex Technoble Co. Ltd, Japan",Kg,Habiskan stock,Cek Mikro,"Tritunggal Artha Makmur, PT",12,5,Ilham,,,EXTR-JPBBR-X,,,,#N/A,,,
990,EXTR-PCTGJ-X,Wolfberry Extract,OBW1-ABJ,"PhytocellTec Goji ex Mibelle Group Biochemistry, Switzerland",Kg,Habiskan stock,Cek Mikro,"Colorindo Chemtra, PT",10,0.5,Amel,Pull,,EXTR-PCTGJ-X,,,,#N/A,,,
991,ACTI-RSVT-X,Rosa Anti-dirt,APL3-AAD,Rosevita,Kg,Belum Eksis,Cek Mikro,"Nardevchem Kemindo, PT",6,10,Septi,,,ACTI-RSVT-X,,,,#N/A,,,
992,MOIS-PRLMNL-X,Sugamoss,MST3-ABA,"Pearlitol 160 C - MANNITOL EP-USP ex Roquette, France",Kg,Eliminasi,Cek Mikro,"IMCD Indonesia, PT",18,25,Ilham,,,MOIS-PRLMNL-X,,,,#N/A,,,
993,EMU-EDPC-X,Emollient Skin Soft,EMO1-AGH,Esterol DCPG,Kg,Belum Eksis,,"Kemiko Indonesia, PT",20,15,Septi,Pull,,EMU-EDPC-X,,,,#N/A,,,
994,EMUL-EMILST-X,Emullustro,EMS1-ADB,"Emulium Illustro ex Gattefosse, France",Kg,Eksis,,"Infinisia Sumber Semesta, PT",20,25,Ilham,,,EMUL-EMILST-X,,,,#N/A,,,
995,ACTI-BCPL-X,Hair Growth Extract,HRC1-ABG,"Baicapil ex Provital, Spain",Kg,Eksis,Cek Mikro,"Sinergi Multi Lestarindo, PT",6,1,Amel,Pull,,ACTI-BCPL-X,,,,#N/A,,,
996,ACTI-RDSY-X,Camella Extract,HRC1-ABE,"Redensyl ex Givaudan France SAS, France",Kg,Eksis,Cek Mikro,"Connell Bersaudara Chemindo, PT",6,1,Amel,,,ACTI-RDSY-X,,,,#N/A,,,
997,ACTI-CPXY-X,Clover Extract,HRC1-ABF,"Capixyl ex Lucas meyer, France",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",12,5,Septi,Pull,,ACTI-CPXY-X,,,,#N/A,,,
998,EXTR-CMRCCMT-X,Speamint Extract,WBE1-ACI,"Crodarom Moroccan Mint ex Crodarom SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,10,Ilham,,,EXTR-CMRCCMT-X,,,,#N/A,,,
999,EXTR-PHTSGE-X,Salvus Extract,WBE1-ACJ,"Phytexcell Sage ex Crodarom SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,10,Ilham,,,EXTR-PHTSGE-X,,,,#N/A,,,
1000,WAX-CRBLE-X,Bellewax,WAX3-AEA,"Cirebelle 303 ex Cirebelle Fine Chemicals (Pty) Ltd., South Africa",Kg,Belum Eksis,,"Nardevchem Kemindo, PT",16,20,Septi,,,WAX-CRBLE-X,,,,#N/A,,,
1001,EXTR-CYPEX-X,Cyprus extract,WBE1-ADF,"Cypress Extract GNBN ex Provital, Spain",Kg,Eksis,Cek Mikro,"Sinergi Multi Lestarindo, PT",10,5,Amel,Pull,,EXTR-CYPEX-X,,,,#N/A,,,
1002,EMO-SCST-X,Emollister,EMO1-AHJ,"Salacos 816T ex The Nisshin OilliO group, Ltd, Japan",Kg,Belum Eksis,,"Kemiko Indonesia, pT",2,5,Septi,Pull,,EMO-SCST-X,,,,#N/A,,,
1003,WAX-KWSN-X,Hanoki wax,WAX3-AFA,"Kahlwax 6290 ex Kahl GmbH & Co. KG, Germany",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",20,5,Ilham,,,WAX-KWSN-X,,,,#N/A,,,
1004,EXTR-PHTGRPF-X,Citron Extract,WBE1-ACH,"Phytoliquid Grapefruit ex Crodarom SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,10,Ilham,,,EXTR-PHTGRPF-X,,,,#N/A,,,
1005,THIC-AMGM-X,Rheogum,RHM3-AGC,"Amigum ex Alban Muller, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",10,10,Ilham,,,THIC-AMGM-X,,,,#N/A,,,
1006,EXF-GLDL-X,Gentle Acid,EXF1-AAC,"Glucono-delta-Lactone ex Jungbunzlauer S.A, France",Kg,Eksis,,"IMCD Indonesia, PT",18,25,Ilham,,,EXF-GLDL-X,,,,#N/A,,,
1007,MOIS-PGPD-X,emmoisturize,MST1-ACG,"Purolan PD ex Lanxess Distribution GmbH, Germany",Kg,Eliminasi,,"DKSH Indonesia, PT",20,200,Septi,,,MOIS-PGPD-X,,,,#N/A,,,
1008,FLMR-DMRLC-X,Skin Filmer,FFM1-ABF,"Dermacryl C ex Nouryon, Japan",Kg,Eksis,,"IMCD Indonesia, PT",18,20,Ilham,,,FLMR-DMRLC-X,,,,#N/A,,,
1009,SURF-CCAB-X,Surfaktan CAB,SRF1-ABI,TC-CAB 35,Kg,Eksis,,"Indokemika Jayatama, PT",12,200,Amel,,,SURF-CCAB-X,,,,#N/A,,,
1010,PENG-STPHL-X,Pengawet Soft,PRV1-ABG,"Spectrastat PHL ex Inolex Incorporated, USA",Kg,Eksis,,"Namsiang Trading Indonesia, PT",16,24.95,Amel,,,PENG-STPHL-X,,,,#N/A,,,
1011,SCRU-STPPDS-X,Bony beads,VES3-AAE,"Starphere P9-DS12 ex Korea Particle Technology co., Ltd., Korea",Kg,Belum Eksis,Cek Mikro,"Mega Setia Agung Kimia, PT",6,5,Ilham,,,SCRU-STPPDS-X,,,,#N/A,,,
1012,OIL-TTOIDS-X,TTO IDS,OBW1-ABI,"Tea Tree Oil 850023 ex PT Indesso, Indonesia",Kg,Eksis,Cek Mikro,"Indesso Aroma, PT",16,20,Ilham,,,OIL-TTOIDS-X,,,,#N/A,,,
1013,THIC-ACP9L-X,Pengental Polymer,RHM3-AGE,Acrypol 990 Polymer,Kg,Belum Eksis,,"Chemco Prima Mandiri, PT",8,20,Amel,,,THIC-ACP9L-X,,,,#N/A,,,
1014,SURF-IXQCL-X,Surfaktan Aniomild,SRF1-ABJ,"Iselux LQ-CLR-PE ex Innospec Limited, USA",Kg,Belum Eksis,,"Nardevchem Kemindo, PT",12,190.5,Septi,,,SURF-IXQCL-X,,,,#N/A,,,
1015,SURF-IXCSB-X,Surfaktan Soft,SRF1-ACA,"Iselux LQ-CLR-SB ex Innospec Limited, USA",Kg,Eksis,,"Nardevchem Kemindo, PT",20,191,Septi,,,SURF-IXCSB-X,,,,#N/A,,,
1016,SCRU-STRPD-X,Silver beads,VES3-AAF,"Starphere P7-DS12 ex Korea Particle Technology co., Ltd., Korea",Kg,Eksis,Cek Mikro,"Mega Setia Agung Kimia, PT",12,10,Ilham,,,SCRU-STRPD-X,,,,#N/A,,,
1017,CLAY-GRCSM-X,Mineral Green,PWD3-AIC,Green Clay SM-1,Kg,Belum Eksis,Cek Mikro,"Bronson & Jacobs Indonesia, PT",10,25,Amel,,,CLAY-GRCSM-X,,,,#N/A,,,
1018,SOLV-DEASB-X,Alkohol Denaturasi,SLV1-ABA,"Denatured Ethyl Alcohol - SDA BIT 6 ex PT. Molindo Raya Industrial, Indonesia",L,Eksis,,"Sumber Kita Indah, PT",2,200,Amel,,,SOLV-DEASB-X,,,,#N/A,,,
1019,SURF-CPKOD-X,Surfaktan Foamy,SRF1-ACB,"Comperlan PKOD ex BASF, Thailand",Kg,Eksis,,"Bahtera Adi Jaya, PT",8,200,Septi,,,SURF-CPKOD-X,,,,#N/A,,,
1020,POWD-SH219-X,Serbuk Nebula,PWD3-AID,"SH 219 ex Sunjin Beauty Science Co.,Ltd, Korea",Kg,Eksis,Cek Mikro,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,POWD-SH219-X,,,,#N/A,,,
1021,STEA-EDRMMY-X,Anti Caking Agent,RHM3-ABG,Edenor ST 05M MY (Stearic Acid),Kg,Belum Eksis,,"Green Innovation Sejati, PT",12,25,Amel,,,STEA-EDRMMY-X,,,,#N/A,,,
1022,MOIS-RQPO260-X,Sugasweet,MST3-ABD,"BeautÃ© by RoquetteÂ® PO 260 ex Roquette FrÃšres, France",Kg,Eksis,Cek Mikro,"DKSH Indonesia, PT",4,25,Septi,,,MOIS-RQPO260-X,,,,#N/A,,,
1023,WAX-LNALWJ-X,Woolwax,WAX2-AAD,"Lanolin Alcohol ex Wujiang Jinyu Lanolin Co. Ltd., China",Kg,Eksis,,"Tirta Buana Kemindo, PT",2,20,Amel,,,WAX-LNALWJ-X,,,,#N/A,,,
1024,WAX-CTHRFL-X,Flakes HCO,WAX3-AJAAC,"Cutina HR Flakes ex BASF Care Creations, Germany",Kg,Eksis,,"BASF Distribution Indonesia, PT",18,20,Septi,Pull,,WAX-CTHRFL-X,,,,#N/A,,,
1025,EMUL-WLALA99-X,Emulsifier LA,EMS3-AJAAD,"Wilfarin LA-1299 Lauric Acid 99 % ex Natural Oleochemical Sdn. Bhd., Malaysia",Kg,Eksis,,"Jaya Manis Indonesia, PT",6,600,Amel,,,EMUL-WLALA99-X,,,,#N/A,,,
1026,EMUL-EDNC129M-X,Lilin MY,EMS3-AJAAE,Edenor C12-99 MY,Kg,Eksis,,"Green Innovation Sejati, PT",12,25,Amel,,,EMUL-EDNC129M-X,,,,#N/A,,,
1027,THIC-MK25-X,Whip Powder,RHM3-AJAAF,"Makkimousse 25 ex Daito Kasei Kogyo, Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,20,Septi,Pull,,THIC-MK25-X,,,,#N/A,,,
1028,RHM-BB61-X,Bubble agent,RHM1-AJAAG,SmarTflow BB61,Kg,Belum Eksis,,"Kemiko Indonesia, PT",16,210,Septi,Pull,,RHM-BB61-X,,,,#N/A,,,
1029,SILI-DM65-X,Silible,SLC1-AJAAH,BRB DM 0.65,Kg,Belum Eksis,,"Nardevchem Kemindo, PT",14,25,Septi,,,SILI-DM65-X,,,,#N/A,,,
1030,SILI-SRSPD72-X,Silikon Silken,SLC2-AJAAI,"Serasilk PD 72 ex KCC Beauty, Korea",Kg,Eksis,,"Avantchem, PT",18,18,Amel,,,SILI-SRSPD72-X,,,,#N/A,,,
1031,ACTI-PCFL-X,Soothing Skin,SAI1-AJABA,"Pacifeel ex Sederma SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,10,Ilham,,,ACTI-PCFL-X,,,,#N/A,,,
1032,ACTI-RCLRP-X,Probio Active,MCR1-AJABB,"Repair Complex CLR PF ex CLR, Germany",Kg,Eksis,Cek Mikro,"Marga Dwi Kencana, PT",10,5,Amel,,,ACTI-RCLRP-X,,,,#N/A,,,
1033,SUNS-TNSLTQ-X,Sun-Hydrous,SCR1-ABE,"Tinosorb S Lite Aqua ex BASF SE, Germany",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,SUNS-TNSLTQ-X,,,,#N/A,,,
1034,CLAY-KAOSRG-X,Clay Mineral,PWD3-AKABH,"Kaolin Super Refined Grade (325 Mesh) ex PT Industri Mineral Indonesia, Indonesia",Kg,Eksis,,"DKSH Indonesia, PT",2,40,Septi,,,CLAY-KAOSRG-X,,,,#N/A,,,
1035,SILI-VLSL-X,Silikon Soft,SLC1-AKABI,"Volasil 8515 ex Chemsil Silicones, Inc. (Innospec Company), USA",Kg,Belum Eksis,,"Nardevchem Kemindo, PT",20,192.7,Septi,,,SILI-VLSL-X,,,,#N/A,,,
1036,SCRU-ECBTS-X,Flame Orange Beads,VES3-AKABJ,"Ecobeads Tequila Sunrise ex Floratech, USA",Kg,Eksis,,"Lautan Luas, PT",20,10,Ilham,Pull,,SCRU-ECBTS-X,,,,#N/A,,,
