kode_item,nama_item,jenis,group,stock_quantity,release_quantity,staging_timbang_quantity,soh,unprocessed_mo,unprocessed_smb,available_stock,git_karantina,git_pending,uom,week,year
M-MPASMGE20-X,Ms. Pimple Acne Solution Moisturizing Gel 20 ml E,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-PBTUCW20-X,Perfect Bright Tone Up Cream 20 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-RPBSPF20W-X,Perfect Bright Moisturizer SPF 28 20 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-RYDCW17-X,Renew You Anti Aging Day Cream 17 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-RYNCW17-X,Renew You Anti Aging Night Cream 17 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-SPE60-X,Sun Protection SPF 30 60 ml E,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-UVSESG30-W,UV Shield Essential Sunscreen Gel SPF 30 W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-WSNCW17-X,White Secret Night Cream 17 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
NFSS-CSBDC3-W,NFS CS Brigtening Day Cream Sachet 3 W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
NFSS-CSFC3-W,NFS CS Foaming Cleanser Sachet 3 W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
NFSS-RYSPR0-W,NFS Renew You Sachet Package W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-BSSR0-EPET,Papercard Bright Stuff Serum 7.5 PET E,PAPER,packaging,123851,0,0,123851.0,,,123851.0,0,0,Pc(s),24.0,2023.0
PAP-EBPBLR0-W,Blister Paper Eyebrow Pencil Black W (Pc(s)),PAPER,packaging,0,0,0,0.0,0.0,,0.0,0,0,Pc(s),24.0,2023.0
PAP-EBPBRR0-W,Blister Paper Eyebrow Pencil Brown W (Pc(s)),PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-EXBLSR0-W,Papercard EyeXpert Brow Lash Serum W,PAPER,packaging,36043,0,0,36043.0,,,36043.0,0,0,Pc(s),24.0,2023.0
PAP-EXLWMR0-W,Papercard EyeXpert Liftlasting Waterproof Mascara W,PAPER,packaging,3897,0,0,3897.0,,24730.0,-20833.0,0,0,Pc(s),24.0,2023.0
PAP-LIPM9-E,Papercard Lip Mask 9 E,PAPER,packaging,4049,43187,0,47236.0,,31308.0,15928.0,0,0,Pc(s),24.0,2023.0
PAP-LLC01LR0-W,Blister Paper Lightening Liquid Concealer 01 L W,PAPER,packaging,8756,0,0,8756.0,,,8756.0,0,0,Pc(s),24.0,2023.0
PAP-LLC01LR1-W,Blister Paper Lightening Liquid Concealer 01 L R1 W,PAPER,packaging,64603,0,0,64603.0,,,64603.0,0,0,Pc(s),24.0,2023.0
PAP-LLC02BR0-W,Blister Paper Lightening Liquid Concealer 02 B W,PAPER,packaging,17775,0,0,17775.0,,,17775.0,0,0,Pc(s),24.0,2023.0
PAP-LLC02BR1-W,Blister Paper Lightening Liquid Concealer 02 B R2 W,PAPER,packaging,2543,87061,0,89604.0,,,89604.0,0,0,Pc(s),24.0,2023.0
PAP-LLF01LBR1-W,Blister Paper Lightening Liquid Foundation 01 LB R1 W,PAPER,packaging,8914,0,0,8914.0,,250.0,8664.0,0,0,Pc(s),24.0,2023.0
PAP-LLF01LBR2-W,Blister Paper Lightening Liquid Foundation 01 LB R2 W,PAPER,packaging,68169,0,0,68169.0,,20356.0,47813.0,0,0,Pc(s),24.0,2023.0
PAP-LLF01LB-W,Blister Paper Lightening Liquid Foundation 01 LB W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-LLF02BR1-W,Blister Paper Lightening Liquid Foundation 02 B R1 W,PAPER,packaging,4922,0,0,4922.0,,888.0,4034.0,0,0,Pc(s),24.0,2023.0
PAP-LLF02BR2-W,Blister Paper Lightening Liquid Foundation 02 B R2 W,PAPER,packaging,1008,83987,0,84995.0,,,84995.0,0,0,Pc(s),24.0,2023.0
PAP-LLF02B-W,Blister Paper Lightening Liquid Foundation 02 B W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-LLF03IR1-W,Blister Paper Lightening Liquid Foundation 03 I R1 W,PAPER,packaging,1383,0,0,1383.0,,,1383.0,0,0,Pc(s),24.0,2023.0
PAP-LLF03IR2-W,Blister Paper Lightening Liquid Foundation 03 I R2 W,PAPER,packaging,56910,0,0,56910.0,,,56910.0,0,0,Pc(s),24.0,2023.0
PAP-LLF03I-W,Blister Paper Lightening Liquid Foundation 03 I W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-LLF04NR1-W,Blister Paper Lightening Liquid Foundation 04 N R1 W,PAPER,packaging,8038,0,0,8038.0,,,8038.0,0,0,Pc(s),24.0,2023.0
PAP-LLF04NR2-W,Blister Paper Lightening Liquid Foundation 04 N R2 W,PAPER,packaging,10054,0,0,10054.0,,,10054.0,0,0,Pc(s),24.0,2023.0
PAP-LLF04N-W,Blister Paper Lightening Liquid Foundation 04 N W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-LMMMR0-E,Papercard Lip Mask Milky Matcha E,PAPER,packaging,53049,0,0,53049.0,,11112.0,41937.0,0,0,Pc(s),24.0,2023.0
PAP-LMOSR0-E,Papercard Lip Mask Orange Squash E,PAPER,packaging,23826,0,0,23826.0,,6540.0,17286.0,0,0,Pc(s),24.0,2023.0
PAP-LMVPR0-E,Papercard Lip Mask Vanilla Pretzel E,PAPER,packaging,55324,0,0,55324.0,,8768.0,46556.0,0,0,Pc(s),24.0,2023.0
PAP-LSAR0-WPET,Papercard Lightening Serum Ampoule 8 PET W,PAPER,packaging,0,3,0,3.0,,,3.0,0,0,Pc(s),24.0,2023.0
