"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","SAMP-WSGRMOD15A-X","Raw Material","0.015"
"","","PURO-IDD-X","Raw Material","0.01"
"","","SEPI-SPMXZ-X","Raw Material","0.006"
"","","EMU-CSAL-X","Raw Material","0.005"
"","","PENG-PHC-X","Raw Material","0.008"
"","","TITA--3328EW-K","Raw Material","0.005"
"","","THIC-VZNFC-X","Raw Material","0.0025"
"","","THIC-AMGM-X","Raw Material","0.001"
"","","ALAN--AK-K","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","ACTI-TINTT-X","Raw Material","0.00025"
"","","STB-TL-X","Raw Material","0.00025"
"","","VITA-B3PC-X","Raw Material","1e-05"
"","","SAMP-CGIVYL1000-X","Raw Material","1e-05"
"","","SAMP-GPLMRDP-X","Raw Material","1e-05"
"SS-NSFBH-BULK","1","AIR-RO--L","Raw Material","0.79262"
"","","UVIN-MC80-BASF","Raw Material","0.075"
"","","SAMP-SNBOCT-X","Raw Material","0.03"
"","","SILI-2005-DC-K","Raw Material","0.02"
"","","EXTR-ALVGE-X","Raw Material","0.01"
"","","EMUL-MTVT-X","Raw Material","0.01"
"","","GLYC--ECOS-K","Raw Material","0.01"
"","","PARS-1789-","Raw Material","0.01"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","SUNS-PRSHD-X","Raw Material","0.006"
"","","TRI--DOW-K","Raw Material","0.00563"
"","","ACTI-RYKA-X","Raw Material","0.005"
"","","PANT--DL-K","Raw Material","0.005"
"","","SOLP-100LQ-X","Raw Material","0.005"
"","","EMUL-PMLEZU-X","Raw Material","0.00275"
"","","ALAN--AK-K","Raw Material","0.001"
"","","BHT-CRTL-X","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","XANT---K","Raw Material","0.001"
"","","CARB-UT21P-X","Raw Material","0.001"
"REM-AMC-BULK","FPS.RND.W296.02","AIR-RO--L","Raw Material","0.87239"
"","","HUM-HXLGLC-X","Raw Material","0.035"
"","","SAMP-CETIHE-X","Raw Material","0.03"
"","","VITA-B3UPPC-X","Raw Material","0.015"
"","","ACTI-HXCTEC-X","Raw Material","0.01"
"","","EMUL-PLUP-X","Raw Material","0.01"
"","","MOIS-RHH15P-X","Raw Material","0.005"
"","","PR-ZPRDL-X","Raw Material","0.005"
"","","MOIS-RQPO260-X","Raw Material","0.004"
"","","PEN-PRSVPE-X","Raw Material","0.003"
"","","EXTR-CUMGLY-X","Raw Material","0.002"
"","","GLYC--ECOS-K","Raw Material","0.002"
"","","MOIS-XYL-X","Raw Material","0.002"
"","","ALAN--AK-K","Raw Material","0.001"
"","","ASAM-SCAD-X","Raw Material","0.001"
"","","PANT--DL-K","Raw Material","0.001"
"","","PEN-RCCB-X","Raw Material","0.001"
"","","KOH--PH-K","Raw Material","0.0005"
"","","EDT-DSLV-X","Raw Material","5e-05"
"","","ACTI-AZCLR-X","Raw Material","1e-05"
"","","ACTI-AICE06-X","Raw Material","5e-05"
"L-PVW02-BULK","7","AIR-RO--L","Raw Material","0.5"
"","","SILI-4515-","Raw Material","0.078"
"","","BENT-BGISDV-X","Raw Material","0.075"
"","","EUTA-G-X","Raw Material","0.0675"
"","","SILI-DCF-ID-X","Raw Material","0.05"
"","","BUTY--DAI1,3","Raw Material","0.05"
"","","ABIL-EM90-X","Raw Material","0.03"
"","","EMUL-G50C-X","Raw Material","0.02"
"","","PURO-IDD-X","Raw Material","0.0175"
"","","EMUL-IS34R-X","Raw Material","0.01"
"","","THIC-RMGSO4-X","Raw Material","0.01"
"","","PENG-NPGEHP-X","Raw Material","0.008"
"","","ACTI-TINTT-X","Raw Material","0.001"
"","","VITA-DL E-MS","Raw Material","0.001"
"","","PARF-VMR-X","Raw Material","0.001"
"","","STB-TL-X","Raw Material","0.0005"
"","","EDT-B--K","Raw Material","0.0005"
"","","WARN-C43001-MV-K","Raw Material","0.028188"
"","","WARN-C19011-R7CL-K","Raw Material","0.018792"
"","","WARN-CSR28-X","Raw Material","0.01"
"","","WARN-TOA403-KF","Raw Material","0.009866"
"","","WARN-ABIO-X","Raw Material","0.007047"
"","","TITA-OTS2CR50-","Raw Material","0.004698"
"","","WARN-C394--K","Raw Material","0.001409"
"CUS-IPF-BULK","2","AIR-RO--L","Raw Material","0.29"
"","","UVIN-MC80-BASF","Raw Material","0.09"
"","","PR-ZPRDL-X","Raw Material","0.05"
"","","SILI-KFFA-X","Raw Material","0.045"
"","","BENT-BGVS5PC-X","Raw Material","0.04"
"","","SUNS-PEHS-X","Raw Material","0.04"
"","","EMUL-KF68-X","Raw Material","0.035"
"","","SILI-BDP-X","Raw Material","0.0588"
"","","TIT-T85-X","Raw Material","0.03"
"","","CRO1-ML-","Raw Material","0.02"
"","","EMU-LEX7-X","Raw Material","0.02"
"","","GLYC--ECOS-K","Raw Material","0.02"
"","","SILI-MCMA-X","Raw Material","0.02"
"","","SILI-BEL803-X","Raw Material","0.016"
"","","MOIS-TR100-X","Raw Material","0.015"
"","","SAMP-ESSAIB-X","Raw Material","0.012"
"","","ORGA-EXD-ARK","Raw Material","0.012"
"","","SILI-KF54HV-X","Raw Material","0.01"
"","","PWD-SYS-X","Raw Material","0.01"
"","","THIC-RMGSO4-X","Raw Material","0.01"
"","","EMUL-KF6017-X","Raw Material","0.009"
"","","SILC-SP500LS-X","Raw Material","0.009"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","STEA-DSP300-X","Raw Material","0.005"
"","","VITA-DL E-MS","Raw Material","0.005"
"","","PEN-SENSC50-X","Raw Material","0.004"
"","","PENG-SYM68-X","Raw Material","0.003"
"","","SILD--SI5H52D-K","Raw Material","0.003"
"","","ALAN--AK-K","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","ACTI-ECTC-X","Raw Material","0.0003"
"","","BIO-HYAL-BIL","Raw Material","0.0002"
"","","TITA-CROTS-X","Raw Material","0.066"
"","","WARN-RED3AS-X","Raw Material","0.0077"
"","","WARN-YLW3AS-X","Raw Material","0.031"
"","","WARN-BLCK3AS-X","Raw Material","0.003"
"POM-BHPW-BULK","2","AIR-RO--L","Raw Material","0.623897"
"","","SAMP-EMLGNB25-X","Raw Material","0.25"
"","","GLYC--ECOS-K","Raw Material","0.04"
"","","SAMP-EAQ48UP-X","Raw Material","0.03"
"","","PROP-PGESK-X","Raw Material","0.02"
"","","SAMP-PVPK90-X","Raw Material","0.015"
"","","SILI-KFFA-X","Raw Material","0.01"
"","","SAMP-MARWAVE-X","Raw Material","0.005"
"","","PENG-GL-LON","Raw Material","0.004"
"","","ALAN--AK-K","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","AMP-95--K","Raw Material","0.0001"
"","","ACTI-WDLS-X","Raw Material","1e-06"
"","","MENT--CEPB-K","Raw Material","1e-06"
"","","VIT-ATCAT-X","Raw Material","1e-06"
"M-SSSC-BULK","2","AIR-RO--L","Raw Material","0.4905"
"","","UVIN-MC80-BASF","Raw Material","0.07"
"","","SUNS-PRSHMS-X","Raw Material","0.05"
"","","SUNS-HYAB-X","Raw Material","0.05"
"","","SUNS-PEHS-X","Raw Material","0.05"
"","","SAMP-SUNOCR-X","Raw Material","0.04"
"","","HALL-BHB-X","Raw Material","0.04"
"","","SILI-345-DC-K","Raw Material","0.035"
"","","SUNS-PRSHD-X","Raw Material","0.03"
"","","CHEM-1789-X","Raw Material","0.03"
"","","GLYC--ECOS-K","Raw Material","0.02"
"","","ACTI-IVLNC-X","Raw Material","0.02"
"","","EMUL-MTVT-X","Raw Material","0.013"
"","","OIL-LXFS-X","Raw Material","0.01"
"","","ORGA-EXD-ARK","Raw Material","0.01"
"","","SEPP-S400-","Raw Material","0.007"
"","","ACTI-RYKA-X","Raw Material","0.005"
"","","ACTI-RBN-X","Raw Material","0.005"
"","","CETY---K","Raw Material","0.005"
"","","STA--C18-K","Raw Material","0.005"
"","","PENG-PNX-X","Raw Material","0.005"
"","","PENG-CLRP-X","Raw Material","0.003"
"","","ALAN--AK-K","Raw Material","0.001"
"","","XANT---K","Raw Material","0.002"
"","","PARF-SILK-","Raw Material","0.0015"
"","","EDT-B--K","Raw Material","0.001"
"","","SUNS-PNGEX-X","Raw Material","0.0005"
"","","PARF-UCM1E-X","Raw Material","0.0005"
"HBL-ETBME-BULK","2","AIR-RO--L","Raw Material","94.785"
"","","LAR-BE-BULK","Intermediate","0.25"
"","","ALAN--AK-K","Raw Material","0.1"
"","","AMP-95--K","Raw Material","0.555"
"","","HUM-GLU20-X","Raw Material","1.5"
"","","EDT-B--K","Raw Material","0.1"
"","","LAR-LTE-BULK","Intermediate","0.01"
"","","SAMP-VVDVMH-X","Raw Material","0.2"
"","","SAMP-FRPNGC-X","Raw Material","0.1"
"","","SAMP-CCNWTR-X","Raw Material","0.1"
"","","CARB-C980P-X","Raw Material","0.5"
"","","EMUL-DERMSOLP-","Raw Material","1.0"
"","","PENG-PHC-X","Raw Material","0.8"
"HBL-ETBMC-BULK","FPS.RND.W217.03","ALAN--AK-K","Raw Material","0.005"
"","","SUNS-UVAPG-X","Raw Material","0.008"
"","","PENG-PNX-X","Raw Material","0.008"
"","","BHT-CRTL-X","Raw Material","0.0005"
"","","STB-TL-X","Raw Material","0.0005"
"","","WARN-K-BULK","Intermediate","0.0001"
"","","LAR-WMHTG-BULK","Intermediate","0.00062"
"","","SAMP-RSLVL-X","Raw Material","0.01"
"","","THIC-MNTVL-X","Raw Material","0.01"
"","","KOH--PH-K","Raw Material","0.00108"
"","","ACTI-TINTT-X","Raw Material","0.0005"
"","","CARB-UT21P-X","Raw Material","0.002"
"","","PANT--DL-K","Raw Material","0.005"
"","","SEPI-305-SF-K","Raw Material","0.005"
"","","EDT-B--K","Raw Material","0.001"
"","","EXTR-VNLGE-X","Raw Material","0.0001"
"","","SAMP-RSWRBGR-X","Raw Material","0.0001"
"","","GLYC--ECOS-K","Raw Material","0.03"
"","","UVIN-MC80-BASF","Raw Material","0.05"
"","","AGF-9051-X","Raw Material","0.0235"
"","","AIR-RO--L","Raw Material","0.839"
"HBL-ETBMA-BULK","FPS.RND.W219.02","LAR-BE-BULK","Intermediate","0.0095"
"","","LAR-LTE-BULK","Intermediate","0.00015"
"","","ACTI-TINTT-X","Raw Material","0.0005"
"","","STB-TL-X","Raw Material","0.0005"
"","","VITA-B3PC-X","Raw Material","0.04"
"","","GLYC--ECOS-K","Raw Material","0.04"
"","","AIR-RO--L","Raw Material","0.813898"
"","","CARB-UT21P-X","Raw Material","0.002"
"","","SEPP-S400-","Raw Material","0.003"
"","","EMU-CTL8-X","Raw Material","0.03"
"","","AGF-9051-X","Raw Material","0.027"
"","","PARF-MJTDM-X","Raw Material","0.01"
"","","THIC-MNTVL-X","Raw Material","0.01"
"","","PENG-PNX-X","Raw Material","0.008"
"","","ALAN--AK-K","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","EXTR-PEPGLYE-X","Raw Material","0.001"
"","","KOH--PH-K","Raw Material","0.001152"
"","","WARN-K-BULK","Intermediate","0.0003"
"","","EXTR-BMBE-X","Raw Material","0.001"
"HBL-ETBMB-BULK","FPS.RND.W218.06","STB-TL-X","Raw Material","0.0005"
"","","ALAN--AK-K","Raw Material","0.005"
"","","WARN-K-BULK","Intermediate","0.000703"
"","","PENG-PNX-X","Raw Material","0.008"
"","","THIC-MNTVL-X","Raw Material","0.01"
"","","SEPP-S400-","Raw Material","0.003"
"","","EMU-EML-X","Raw Material","0.03"
