"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","SAMP-CETIHE-X","Raw Material","0.03"
"","","VITA-B3UPPC-X","Raw Material","0.015"
"","","EMUL-PLUP-X","Raw Material","0.01"
"","","MOIS-RHH15P-X","Raw Material","0.005"
"","","PR-ZPRDL-X","Raw Material","0.005"
"","","MOIS-RQPO260-X","Raw Material","0.004"
"","","PEN-PRSVPE-X","Raw Material","0.003"
"","","ALAN--AK-K","Raw Material","0.002"
"","","PANT--DL-K","Raw Material","0.002"
"","","GLYC--ECOS-K","Raw Material","0.002"
"","","MOIS-XYL-X","Raw Material","0.002"
"","","EXTR-ALVGE-X","Raw Material","0.001"
"","","EXTR-CUMGLY-X","Raw Material","0.001"
"","","EXTR-SWDGE-X","Raw Material","0.001"
"","","PEN-RCCB-X","Raw Material","0.001"
"","","EDT-DSLV-X","Raw Material","5e-05"
"","","ASAM-A-CAAH-K","Raw Material","2.5e-05"
"HBL-V5-BULK","2","AIR-RO--L","Raw Material","0.74697"
"","","EXF-GLDL-X","Raw Material","0.05"
"","","IPM-CRDSG-X","Raw Material","0.05"
"","","GLYC--ECOS-K","Raw Material","0.05"
"","","SAMP-TSCDHT-X","Raw Material","0.028"
"","","EMUL-MTVT-X","Raw Material","0.02"
