Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
HBL-ETBMB-BULK/FPS.RND.W218.06,ALAN--AK-K,Raw Material,0.00500
HBL-ETBMB-BULK/FPS.RND.W218.06,WARN-K-BULK,Intermediate,0.00070
HBL-ETBMB-BULK/FPS.RND.W218.06,PENG-PNX-X,Raw Material,0.00800
HBL-ETBMB-BULK/FPS.RND.W218.06,THIC-MNTVL-X,Raw Material,0.01000
HBL-ETBMB-BULK/FPS.RND.W218.06,SEPP-S400-,Raw Material,0.00300
HBL-ETBMB-BULK/FPS.RND.W218.06,EMU-EML-X,Raw Material,0.03000
HBL-ETBMB-BULK/FPS.RND.W218.06,AGF-9051-X,Raw Material,0.02700
HBL-ETBMB-BULK/FPS.RND.W218.06,GLYC--ECOS-K,Raw Material,0.04000
HBL-ETBMB-BULK/FPS.RND.W218.06,VITA-B3PC-X,Raw Material,0.05000
HBL-ETBMB-BULK/FPS.RND.W218.06,AIR-RO--L,Raw Material,0.81153
HBL-ETBMB-BULK/FPS.RND.W218.06,LAR-WMHTG-BULK,Intermediate,0.00012
HBL-ETBMB-BULK/FPS.RND.W218.06,SAMP-ALCMOD7-X,Raw Material,0.00750
HBL-ETBMB-BULK/FPS.RND.W218.06,ACTI-TINTT-X,Raw Material,0.00050
HBL-ETBMB-BULK/FPS.RND.W218.06,SAMP-STFEX-X,Raw Material,0.00100
HBL-ETBMB-BULK/FPS.RND.W218.06,CARB-UT21P-X,Raw Material,0.00200
HBL-ETBMB-BULK/FPS.RND.W218.06,KOH--PH-K,Raw Material,0.00115
HBL-ETBMB-BULK/FPS.RND.W218.06,SAMP-MROFGE-X,Raw Material,0.00100
HBL-ETBMB-BULK/FPS.RND.W218.06,EDT-B--K,Raw Material,0.00100
HBL-ETBMD-BULK/FPS.RND.W205.02,LAR-WMHTG-BULK,Intermediate,0.00031
HBL-ETBMD-BULK/FPS.RND.W205.02,LAR-BE-BULK,Intermediate,0.00615
HBL-ETBMD-BULK/FPS.RND.W205.02,SAMP-LVORMOD-X,Raw Material,0.01000
HBL-ETBMD-BULK/FPS.RND.W205.02,SAMP-LVDRGC-X,Raw Material,0.00100
HBL-ETBMD-BULK/FPS.RND.W205.02,EXTR-RMGE-X,Raw Material,0.00100
HBL-ETBMD-BULK/FPS.RND.W205.02,GLYC--ECOS-K,Raw Material,0.08000
HBL-ETBMD-BULK/FPS.RND.W205.02,PENG-PNX-X,Raw Material,0.00800
HBL-ETBMD-BULK/FPS.RND.W205.02,STB-TL-X,Raw Material,0.00050
HBL-ETBMD-BULK/FPS.RND.W205.02,THIC-MNTVL-X,Raw Material,0.01000
HBL-ETBMD-BULK/FPS.RND.W205.02,MOIS-TR100-X,Raw Material,0.02000
HBL-ETBMD-BULK/FPS.RND.W205.02,AGF-9051-X,Raw Material,0.03000
HBL-ETBMD-BULK/FPS.RND.W205.02,EMU-EML-X,Raw Material,0.05000
HBL-ETBMD-BULK/FPS.RND.W205.02,ACTI-TINTT-X,Raw Material,0.00050
HBL-ETBMD-BULK/FPS.RND.W205.02,CARB-UT21P-X,Raw Material,0.00150
HBL-ETBMD-BULK/FPS.RND.W205.02,STA--C18-K,Raw Material,0.00500
HBL-ETBMD-BULK/FPS.RND.W205.02,EMU-SROL-X,Raw Material,0.00100
HBL-ETBMD-BULK/FPS.RND.W205.02,SEPP-S400-,Raw Material,0.00300
HBL-ETBMD-BULK/FPS.RND.W205.02,KOH--PH-K,Raw Material,0.00086
HBL-ETBMD-BULK/FPS.RND.W205.02,EDT-B--K,Raw Material,0.00100
HBL-ETBMD-BULK/FPS.RND.W205.02,AIR-RO--L,Raw Material,0.77018
MB-COTR-BULK/FPS.RND.QB07.01,CRO1-GTCC-,Raw Material,0.94000
MB-COTR-BULK/FPS.RND.QB07.01,OIL-A850029-X,Raw Material,0.00100
MB-COTR-BULK/FPS.RND.QB07.01,SAMP-GRPSOIL-X,Raw Material,0.00100
MB-COTR-BULK/FPS.RND.QB07.01,SAMP-SNFLWOIL-X,Raw Material,0.01500
MB-COTR-BULK/FPS.RND.QB07.01,SAMP-REJJBOIL-X,Raw Material,0.04000
MB-COTR-BULK/FPS.RND.QB07.01,VIT-ATCAT-X,Raw Material,0.00300
TC-R4LEC02-BULK/FPS.RND.W301.00,SERI-CSF-X,Raw Material,0.20000
TC-R4LEC02-BULK/FPS.RND.W301.00,POWD-TGDS-X,Raw Material,0.24564
TC-R4LEC02-BULK/FPS.RND.W301.00,SERI-202LL-X,Raw Material,0.15000
TC-R4LEC02-BULK/FPS.RND.W301.00,POWD-GH52-X,Raw Material,0.10000
TC-R4LEC02-BULK/FPS.RND.W301.00,POWD-TGDS-X,Raw Material,0.10000
TC-R4LEC02-BULK/FPS.RND.W301.00,CABO-M5-X,Raw Material,0.02000
TC-R4LEC02-BULK/FPS.RND.W301.00,ZINC-STW-X,Raw Material,0.02000
TC-R4LEC02-BULK/FPS.RND.W301.00,IPM-CRDSG-X,Raw Material,0.02000
TC-R4LEC02-BULK/FPS.RND.W301.00,COSM-168ARV-X,Raw Material,0.01000
TC-R4LEC02-BULK/FPS.RND.W301.00,LAR-LICODDC-BULK,Intermediate,0.01000
