Reference,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
A-FPW3-BULK/Reference 26,PEN-PRSVPE-X,Raw Material,0.00800
A-FPW3-BULK/Reference 26,PEN-SENSC50-X,Raw Material,0.00400
A-FPW3-BULK/Reference 26,EXTR-FS-I-K,Raw Material,0.00100
A-NTM-BULK/Normal (odoo ref 10),SILI-2005-DC-K,Raw Material,0.04000
A-NTM-BULK/Normal (odoo ref 10),SOLV-BGKHN-X,Raw Material,0.05500
A-NTM-BULK/Normal (odoo ref 10),GLYC--ECOS-K,Raw Material,0.04000
A-NTM-BULK/Normal (odoo ref 10),ASAM-SCAD-X,Raw Material,0.00500
A-NTM-BULK/Normal (odoo ref 10),PROP-PGESK-X,Raw Material,0.00500
A-NTM-BULK/Normal (odoo ref 10),PENG-PHC-X,Raw Material,0.00500
A-NTM-BULK/Normal (odoo ref 10),TRI--DOW-K,Raw Material,0.00533
A-NTM-BULK/Normal (odoo ref 10),CRIL---K,Raw Material,0.00800
A-NTM-BULK/Normal (odoo ref 10),EMUL-S60-X,Raw Material,0.01000
A-NTM-BULK/Normal (odoo ref 10),THIC-MNTVL-X,Raw Material,0.00800
A-NTM-BULK/Normal (odoo ref 10),SALA-99--K,Raw Material,0.02000
A-NTM-BULK/Normal (odoo ref 10),THIC-SPVE10-X,Raw Material,0.02000
A-NTM-BULK/Normal (odoo ref 10),SILI-VLVDLG-X,Raw Material,0.05000
A-NTM-BULK/Normal (odoo ref 10),VCIP---K,Raw Material,0.00020
A-NTM-BULK/Normal (odoo ref 10),PARF-SILK-,Raw Material,0.00050
A-NTM-BULK/Normal (odoo ref 10),EDT-B--K,Raw Material,0.00100
A-NTM-BULK/Normal (odoo ref 10),SEPI-SPCA5-X,Raw Material,0.00100
A-NTM-BULK/Normal (odoo ref 10),ACTI-MEBSA-X,Raw Material,0.00100
A-NTM-BULK/Normal (odoo ref 10),CABO-M5-X,Raw Material,0.00170
A-NTM-BULK/Normal (odoo ref 10),SNSP-SIH51-X,Raw Material,0.00500
A-PFC-BULK/Reference 8,TEGO-L7-1--K,Raw Material,0.15000
A-PFC-BULK/Reference 8,PROP-PGESK-X,Raw Material,0.05000
A-PFC-BULK/Reference 8,CUTI---K,Raw Material,0.01000
A-PFC-BULK/Reference 8,TEXA---K,Raw Material,0.10000
A-PFC-BULK/Reference 8,AQUA---K,Raw Material,0.01000
A-PFC-BULK/Reference 8,MEDI-MDL-MGS,Raw Material,0.05000
A-PFC-BULK/Reference 8,THIC-GLD120T-X,Raw Material,0.01500
A-PFC-BULK/Reference 8,EMUL-PLUP-X,Raw Material,0.03000
A-PFC-BULK/Reference 8,GLUZ-GLUZ-,Raw Material,0.01000
A-PFC-BULK/Reference 8,PENG-GL-LON,Raw Material,0.00400
A-PFC-BULK/Reference 8,ASAM-SCAD-X,Raw Material,0.00500
A-PFC-BULK/Reference 8,PARF-SILK-,Raw Material,0.00300
A-PFC-BULK/Reference 8,TRI--DOW-K,Raw Material,0.00260
A-PFC-BULK/Reference 8,EDT-B--K,Raw Material,0.00100
A-PFC-BULK/Reference 8,ALAN-SL--X,Raw Material,0.00100
A-PFC-BULK/Reference 8,GARA-VCNI-X,Raw Material,0.00700
A-PRT-BULK/Reference 4,GLYC--ECOS-K,Raw Material,0.01000
A-PRT-BULK/Reference 4,PARF-SILK-,Raw Material,0.00050
A-PRT-BULK/Reference 4,MENT-FRGHS-X,Raw Material,0.00100
A-PRT-BULK/Reference 4,EDT-B--K,Raw Material,0.00100
A-PRT-BULK/Reference 4,GLUZ-GLUZ-,Raw Material,0.01000
A-PRT-BULK/Reference 4,PROP-PGESK-X,Raw Material,0.02000
A-PRT-BULK/Reference 4,EXTR-WTCHPF-X,Raw Material,0.02000
A-PRT-BULK/Reference 4,EMUL-DERMSOLP-,Raw Material,0.00700
A-PRT-BULK/Reference 4,PENG-NPGEHP-X,Raw Material,0.00750
A-PRT-BULK/Reference 4,EXTR-ALVGE-X,Raw Material,0.00500
A-SATG-BULK/SMB,EDT-B--K,Raw Material,0.00100
A-SATG-BULK/SMB,PEN-PRSVPE-X,Raw Material,0.00750
A-SATG-BULK/SMB,A-BGSA200-X,Raw Material,0.04000
A-SATG-BULK/SMB,EXTR-CNDWLHB-X,Raw Material,0.01000
