"Korporat Code","Component FG/Korporat Code","Component REFILL/Korporat Code"
"B-RBMLP02-EM","B-BMLPLB2-BULK",""
"B-BMLPLB2-EM8GR","B-BMLPLB2-BULK",""
"B-RBMLP03-EM","B-BMLPA3-BULK",""
"B-BMLPA3-EM8GR","B-BMLPA3-BULK",""
"B-RBMLP04-EM","B-BMLPE4-BULK",""
"B-BMLPE4-EM8GR","B-BMLPE4-BULK",""
"F-BWMM01-EM","F-BWMM01-BULK",""
"F-BWMM02-EM","F-BWMM02-BULK",""
"F-BWMM03-EM","F-BWMM03-BULK",""
"F-BWMM04-EM","F-BWMM04-BULK",""
"BBC-BBC-EM20ML","BBC-BBC-BULK",""
"BBC-BBL-EM20ML","BBC-BBL-BULK",""
"BBC-BBN-EM20ML","BBC-BBN-BULK",""
"L-BTA-EM","",""
"L-BTB-EM","",""
"L-BTC-EM","",""
"L-BTD-EM","",""
"L-BTE-EM","",""
"L-BTF-EM","",""
"L-BTG-EM","",""
"L-BTH-EM","",""
"L-BTI-EM","",""
"L-BTJ-EM","",""
"BP-BMISN2-EM","BP-BMIS-BULK",""
"BP-BMIS-EM80ML","BP-BMIS-BULK",""
"BP-BMSSN2-EM","BP-BMSS-BULK",""
"BP-BMSS-EM80ML","BP-BMSS-BULK",""
"BP-BMPDN2-EM","BP-BMPD-BULK",""
"BP-BMPD-EM80ML","BP-BMPD-BULK",""
"BP-BMRFN2-EM","BP-BMRF-BULK",""
"BP-BMRF-EM80ML","BP-BMRF-BULK",""
"BSC-KW-EM100ML","",""
"BSC-PA-EM100ML","",""
"BSC-WM-EM100ML","",""
"HBL-KW-EM100ML","",""
"HBL-PA-EM100ML","",""
"HBL-WM-EM100ML","",""
"P-BSB-EM","",""
"MA-BSE-EM","SMAS-BSESMR0-E",""
"MA-RBSE-EM","",""
"FT-BSE-EM","FT-BSE-BULK",""
"FS-BSFS-EM","FS-BSFS-BULK",""
"SRM-RBSS-EM","SRM-RBSS-BULK",""
"SRM-BSS-EM","SRM-BSS-BULK",""
"SRM-BSSN2-EM","SRM-BSS-BULK",""
"SRM-RBSSN2-EM","SRM-RBSS-BULK",""
"FT-BST-EM","FT-BST-BULK",""
"FT-RBST-EM","FT-RBST-BULK",""
"FT-RBSTN2-EM","FT-RBST-BULK",""
"FT-BSTN2-EM","FT-BST-BULK",""
"P-BSFTRRP-EM","FT-BST-BULK",""
"FW-RBSN2-EM","FW-RBS-BULK",""
"FW-BSN2-EM","FW-BS-BULK",""
"FW-BS-EM50ML","FW-BS-BULK",""
"FW-RBS-EM","FW-RBS-BULK",""
"P-BSFWRRP-EM","FW-BS-BULK",""
"B-RBSLP-EM","B-RBSLP-BULK",""
"B-BSLP-EM","B-BSLP-BULK",""
"REM-RBSMWN1-EM","REM-RBSMW-BULK",""
"REM-RRBSMWN1-EM","REM-RRBSMW-BULK",""
"REM-RRBSMWN2-EM","REM-RRBSMW-BULK",""
"REM-RBSMWN2-EM","REM-RBSMW-BULK",""
"M-BSC-EM","M-BSC-BULK",""
"M-RBSC-EM","M-RBSC-BULK",""
"M-BSNC-EM","M-BSNC-BULK",""
"M-RBSTUC-EM","M-RBSTUC-BULK",""
"M-BSTUC-EM","M-BSTUC-BULK",""
"FW-BSW-EM","FW-BSW-BULK",""
"FW-BSACNE-EM","FW-BSACNE-BULK",""
"FW-BSACNEN2-EM","FW-BSACNE-BULK",""
"M-BSACNE-EM","M-BSACNE-BULK",""
"BRUS-EBS-EM","BRUS-SR0-E",""
"FM-B7DM-EM","MASQ-EMFMBR0-X",""
"P-BSFSBSFW-EM","FW-BS-EM50ML",""
"","FS-BSFS-EM",""
"P-BSFSSBAT30-EM","SS-SBAT30-EM",""
"","FS-BSFS-EM",""
"L-CM16KCC-W","",""
"L-CM17KCC-W","",""
"L-CM18KCC-W","",""
"L-CM19KCC-W","",""
"FM-CTCMP-EM","FM-CTCMP-BULK",""
"FM-CTWOGT-EM","FM-CTWOGT-BULK",""
"FM-CTWOH-EM","FM-CTWOH-BULK",""
"FM-CTGMC-EM","FM-CTGMC-BULK",""
"FM-CTGMR-EM","FM-CTGMR-BULK",""
"BO-CLBSPE-EM","BO-CLBSPE-BULK",""
"BO-CLBSPI-EM","BO-CLBSPI-BULK",""
"BO-CLBBPW-EM","",""
"BO-CLBBPS-EM","BO-CLBBPS-BULK",""
"BO-CLBBPB-EM","BO-CLBBPB-BULK",""
"BO-CLCA-EM","",""
"BO-CLCB-EM","",""
"BO-CLCNB-EM10ML","BO-CLCNB-BULK",""
"BO-CLCPE-EM10ML","BO-CLCPE-BULK",""
"BO-CLCPI-EM10ML","BO-CLCPI-BULK",""
"BO-CLCVI-EM10ML","BO-CLCVI-BULK",""
"FA-CLHP-EM","FA-CLHP-RP-EM3,8GR",""
"BO-CLBSNT-EM","BO-CLBSNT-BULK",""
"BO-CLPBAC-EM","BO-CLPBAC-RP-EM3,5GR",""
"BO-R2CLPBBS-EM","BO-R2CLPBBS-RP-EM3,5GR",""
"BO-CLPPB-EM3.5GR","BO-CLPPB-RP-EM3,5GR",""
